timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,241.51,242.8,237.39,239.18,928335
2025-06-16T10:15:00+05:30,239.18,243.99,239.18,243.69,807302
2025-06-16T11:15:00+05:30,243.58,246.27,242.47,245.94,736030
2025-06-16T12:15:00+05:30,245.84,247.49,245.51,247.32,718048
2025-06-16T13:15:00+05:30,247.37,248.0,246.69,247.72,1071152
2025-06-16T14:15:00+05:30,247.79,249.44,247.04,249.11,1381002
2025-06-16T15:15:00+05:30,249.18,249.35,248.01,248.5,601375
2025-06-17T09:15:00+05:30,248.75,251.6,247.02,251.15,2625815
2025-06-17T10:15:00+05:30,251.05,252.5,250.54,251.31,965039
2025-06-17T11:15:00+05:30,251.21,252.95,250.84,251.57,1051172
2025-06-17T12:15:00+05:30,251.57,252.0,250.0,251.56,1438165
2025-06-17T13:15:00+05:30,251.56,254.5,250.54,254.15,1944083
2025-06-17T14:15:00+05:30,254.15,255.75,254.1,255.28,4298867
2025-06-17T15:15:00+05:30,255.2,255.42,255.0,255.0,730524
2025-06-18T09:15:00+05:30,255.9,259.42,253.75,258.0,4719038
2025-06-18T10:15:00+05:30,257.98,258.79,255.64,256.29,2107166
2025-06-18T11:15:00+05:30,256.29,256.45,253.75,255.84,1621599
2025-06-18T12:15:00+05:30,255.91,256.19,254.37,255.95,849631
2025-06-18T13:15:00+05:30,255.96,256.1,255.01,255.31,513647
2025-06-18T14:15:00+05:30,255.31,257.17,254.65,256.34,1586689
2025-06-18T15:15:00+05:30,256.34,256.34,254.2,254.4,664385
2025-06-19T09:15:00+05:30,255.01,258.65,253.77,257.7,3260547
2025-06-19T10:15:00+05:30,257.79,257.84,255.3,256.35,1387664
2025-06-19T11:15:00+05:30,256.35,256.42,252.78,254.84,1326409
2025-06-19T12:15:00+05:30,254.92,256.17,253.53,254.18,1704831
2025-06-19T13:15:00+05:30,254.18,256.77,253.81,256.75,860876
2025-06-19T14:15:00+05:30,256.72,258.18,255.42,255.75,1839240
2025-06-19T15:15:00+05:30,255.78,255.82,255.02,255.5,376316
2025-06-20T09:15:00+05:30,255.67,259.32,255.0,257.83,2038017
2025-06-20T10:15:00+05:30,257.79,261.8,257.74,261.43,3064768
2025-06-20T11:15:00+05:30,261.43,263.0,261.01,261.2,2062189
2025-06-20T12:15:00+05:30,261.19,261.19,259.81,260.49,954609
2025-06-20T13:15:00+05:30,260.4,260.68,258.8,259.43,1053123
2025-06-20T14:15:00+05:30,259.36,261.25,259.36,260.39,7282022
2025-06-20T15:15:00+05:30,260.39,261.5,259.7,260.83,6868073
2025-06-23T09:15:00+05:30,258.7,262.82,258.12,262.63,2231633
2025-06-23T10:15:00+05:30,262.63,265.85,262.4,265.65,2106211
2025-06-23T11:15:00+05:30,265.65,266.73,265.12,266.23,1684716
2025-06-23T12:15:00+05:30,266.18,266.55,264.25,264.61,802335
2025-06-23T13:15:00+05:30,264.6,265.9,264.49,265.65,689746
2025-06-23T14:15:00+05:30,265.63,265.88,264.12,264.34,977732
2025-06-23T15:15:00+05:30,264.47,265.0,264.0,264.1,471897
2025-06-24T09:15:00+05:30,268.8,269.9,266.2,268.42,2904630
2025-06-24T10:15:00+05:30,268.37,271.68,268.04,271.1,1631431
2025-06-24T11:15:00+05:30,271.1,274.3,270.5,270.85,2140985
2025-06-24T12:15:00+05:30,270.85,274.0,269.87,273.56,1831969
2025-06-24T13:15:00+05:30,273.5,273.7,271.76,273.1,1700091
2025-06-24T14:15:00+05:30,273.06,273.55,270.86,271.3,1795955
2025-06-24T15:15:00+05:30,271.25,271.5,270.85,271.45,576686
2025-06-25T09:15:00+05:30,272.56,273.05,267.45,267.75,2075516
2025-06-25T10:15:00+05:30,267.7,271.14,267.2,270.1,1573172
2025-06-25T11:15:00+05:30,270.14,270.9,269.1,269.2,872021
2025-06-25T12:15:00+05:30,269.2,269.79,268.41,269.7,641297
2025-06-25T13:15:00+05:30,269.7,271.1,269.53,271.1,818834
2025-06-25T14:15:00+05:30,271.13,272.97,271.05,272.69,1695608
2025-06-25T15:15:00+05:30,272.7,273.0,272.0,272.49,428892
2025-06-26T09:15:00+05:30,272.34,274.81,271.96,273.51,1559633
2025-06-26T10:15:00+05:30,273.52,274.02,272.13,272.6,939981
2025-06-26T11:15:00+05:30,272.51,273.81,272.1,273.61,611700
2025-06-26T12:15:00+05:30,273.61,275.55,273.26,274.52,1152339
2025-06-26T13:15:00+05:30,274.52,275.65,274.37,275.55,827892
2025-06-26T14:15:00+05:30,275.58,278.05,275.49,276.49,2027760
2025-06-26T15:15:00+05:30,276.44,278.0,276.42,277.06,693310
2025-06-27T09:15:00+05:30,276.65,277.98,271.05,273.18,1704607
2025-06-27T10:15:00+05:30,273.18,273.6,272.51,272.8,545109
2025-06-27T11:15:00+05:30,272.7,272.8,269.38,269.53,1084721
2025-06-27T12:15:00+05:30,269.51,270.35,268.68,269.44,712748
2025-06-27T13:15:00+05:30,269.44,270.05,269.0,269.79,386595
2025-06-27T14:15:00+05:30,269.71,270.0,269.0,269.51,667079
2025-06-27T15:15:00+05:30,269.51,269.99,268.63,269.2,371223
2025-06-30T09:15:00+05:30,268.01,272.85,268.01,270.63,1092244
2025-06-30T10:15:00+05:30,270.6,273.91,270.1,273.2,2093623
2025-06-30T11:15:00+05:30,273.31,276.72,273.01,275.88,1120558
2025-06-30T12:15:00+05:30,275.92,276.5,275.39,275.95,526312
2025-06-30T13:15:00+05:30,276.0,277.3,275.76,277.07,715612
2025-06-30T14:15:00+05:30,277.05,277.3,275.04,277.09,3995872
2025-06-30T15:15:00+05:30,277.09,278.09,277.0,277.6,885589
2025-07-01T09:15:00+05:30,278.5,279.95,276.6,276.75,1726792
2025-07-01T10:15:00+05:30,276.65,279.9,276.4,279.8,787898
2025-07-01T11:15:00+05:30,279.8,281.9,279.55,281.7,1461863
2025-07-01T12:15:00+05:30,281.7,282.65,281.25,281.7,815759
2025-07-01T13:15:00+05:30,281.7,282.4,280.9,282.2,493982
2025-07-01T14:15:00+05:30,282.25,282.25,279.95,280.95,1099743
2025-07-01T15:15:00+05:30,280.95,282.0,280.35,281.95,481520
2025-07-02T09:15:00+05:30,280.85,280.85,272.55,272.7,2012169
2025-07-02T10:15:00+05:30,272.55,273.95,272.25,273.8,2550930
2025-07-02T11:15:00+05:30,273.8,276.35,273.2,276.3,589371
2025-07-02T12:15:00+05:30,276.3,276.3,274.95,275.4,363838
2025-07-02T13:15:00+05:30,275.35,275.9,274.0,275.7,467036
2025-07-02T14:15:00+05:30,275.7,275.95,273.15,273.7,713502
2025-07-02T15:15:00+05:30,273.7,274.0,273.4,273.6,388667
2025-07-03T09:15:00+05:30,273.45,275.45,271.6,273.05,1098903
2025-07-03T10:15:00+05:30,273.0,274.5,272.65,273.25,341956
2025-07-03T11:15:00+05:30,273.35,273.6,272.0,272.3,168813
2025-07-03T12:15:00+05:30,272.2,274.85,271.8,273.85,295685
2025-07-03T13:15:00+05:30,273.75,274.4,273.0,273.0,161354
2025-07-03T14:15:00+05:30,273.1,273.8,272.25,272.65,325548
2025-07-03T15:15:00+05:30,272.65,273.05,272.2,273.0,277044
2025-07-04T09:15:00+05:30,272.85,276.35,272.75,276.05,854219
2025-07-04T10:15:00+05:30,276.2,277.35,275.6,276.2,445255
2025-07-04T11:15:00+05:30,276.35,276.4,273.3,273.95,441056
2025-07-04T12:15:00+05:30,274.05,274.6,273.7,274.5,173990
2025-07-04T13:15:00+05:30,274.45,276.0,273.9,275.6,384768
2025-07-04T14:15:00+05:30,275.6,276.1,274.8,274.9,393621
2025-07-04T15:15:00+05:30,274.95,275.5,274.3,274.75,234104
2025-07-07T09:15:00+05:30,275.05,276.3,271.35,275.75,1176785
2025-07-07T10:15:00+05:30,275.9,277.7,275.5,276.7,804042
2025-07-07T11:15:00+05:30,276.65,276.9,275.6,276.3,385173
2025-07-07T12:15:00+05:30,276.3,277.15,275.7,276.1,295170
2025-07-07T13:15:00+05:30,276.45,276.9,275.5,276.25,334030
2025-07-07T14:15:00+05:30,276.15,276.85,275.7,276.5,452069
2025-07-07T15:15:00+05:30,276.5,276.65,275.65,275.7,322408
2025-07-08T09:15:00+05:30,276.25,278.45,274.4,275.2,879110
2025-07-08T10:15:00+05:30,275.2,276.3,274.8,275.5,398047
2025-07-08T11:15:00+05:30,275.6,275.85,274.75,275.1,208976
2025-07-08T12:15:00+05:30,275.1,276.2,274.6,275.15,201009
2025-07-08T13:15:00+05:30,275.2,276.8,275.2,275.75,568994
2025-07-08T14:15:00+05:30,275.55,277.6,275.45,277.35,611811
2025-07-08T15:15:00+05:30,277.4,278.0,277.0,277.2,337813
2025-07-09T09:15:00+05:30,276.05,277.1,275.15,275.9,363289
2025-07-09T10:15:00+05:30,276.0,276.9,275.5,276.5,184960
2025-07-09T11:15:00+05:30,276.6,276.7,273.25,274.1,384574
2025-07-09T12:15:00+05:30,274.2,274.5,273.65,273.85,221497
2025-07-09T13:15:00+05:30,273.85,274.45,273.45,273.9,152018
2025-07-09T14:15:00+05:30,274.0,274.15,272.15,273.35,415652
2025-07-09T15:15:00+05:30,273.4,275.0,272.4,275.0,447478
2025-07-10T09:15:00+05:30,275.5,277.45,274.0,274.4,512423
2025-07-10T10:15:00+05:30,274.3,276.0,271.25,272.9,599435
2025-07-10T11:15:00+05:30,272.9,273.15,272.2,272.7,146252
2025-07-10T12:15:00+05:30,272.55,272.8,271.5,271.7,121098
2025-07-10T13:15:00+05:30,271.6,271.95,270.4,271.25,156541
2025-07-10T14:15:00+05:30,271.3,272.85,270.9,271.95,342521
2025-07-10T15:15:00+05:30,272.1,272.7,271.05,271.55,265033
2025-07-11T09:15:00+05:30,270.4,271.65,269.1,270.1,553784
2025-07-11T10:15:00+05:30,270.0,270.2,267.15,268.4,480781
2025-07-11T11:15:00+05:30,268.35,269.0,268.0,268.35,143378
2025-07-11T12:15:00+05:30,268.35,270.0,268.25,269.55,144224
2025-07-11T13:15:00+05:30,269.65,270.7,269.0,269.75,146017
2025-07-11T14:15:00+05:30,269.9,271.0,269.25,269.7,241844
2025-07-11T15:15:00+05:30,269.7,269.7,268.4,269.0,135114
2025-07-14T09:15:00+05:30,268.15,272.4,267.65,272.15,850659
2025-07-14T10:15:00+05:30,272.1,273.15,271.15,271.3,273287
2025-07-14T11:15:00+05:30,271.3,271.4,270.0,271.0,236539
2025-07-14T12:15:00+05:30,271.05,271.55,270.1,270.4,151618
2025-07-14T13:15:00+05:30,270.4,271.2,269.7,270.6,140857
2025-07-14T14:15:00+05:30,270.65,270.85,270.3,270.65,34474
