timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,74.28,74.4,73.08,73.64,1500032
2025-06-16T10:15:00+05:30,73.65,74.15,73.55,74.02,738651
2025-06-16T11:15:00+05:30,74.02,74.24,73.65,74.13,479328
2025-06-16T12:15:00+05:30,74.15,74.65,73.6,74.46,1008077
2025-06-16T13:15:00+05:30,74.46,75.42,74.38,75.35,830361
2025-06-16T14:15:00+05:30,75.36,75.36,74.71,74.94,909972
2025-06-16T15:15:00+05:30,74.93,75.16,74.9,75.05,364151
2025-06-17T09:15:00+05:30,75.0,75.27,74.51,74.88,1148971
2025-06-17T10:15:00+05:30,74.89,75.36,74.81,75.3,583051
2025-06-17T11:15:00+05:30,75.29,75.49,74.61,74.68,583043
2025-06-17T12:15:00+05:30,74.68,74.77,74.34,74.6,381369
2025-06-17T13:15:00+05:30,74.59,74.92,74.49,74.88,300560
2025-06-17T14:15:00+05:30,74.87,74.99,74.57,74.76,487628
2025-06-17T15:15:00+05:30,74.78,74.79,74.51,74.57,229688
2025-06-18T09:15:00+05:30,74.61,75.61,74.25,75.35,1474102
2025-06-18T10:15:00+05:30,75.32,75.48,74.82,74.98,420761
2025-06-18T11:15:00+05:30,75.0,75.13,74.7,75.07,283270
2025-06-18T12:15:00+05:30,75.02,75.12,74.59,74.61,360037
2025-06-18T13:15:00+05:30,74.62,74.74,74.38,74.5,313796
2025-06-18T14:15:00+05:30,74.55,74.72,74.32,74.45,361096
2025-06-18T15:15:00+05:30,74.46,74.5,74.3,74.34,251295
2025-06-19T09:15:00+05:30,74.47,74.69,74.07,74.1,842920
2025-06-19T10:15:00+05:30,74.1,74.13,73.71,73.77,553759
2025-06-19T11:15:00+05:30,73.82,73.84,73.51,73.65,485910
2025-06-19T12:15:00+05:30,73.65,73.65,72.79,72.9,935355
2025-06-19T13:15:00+05:30,72.87,73.04,72.42,73.03,733763
2025-06-19T14:15:00+05:30,73.03,73.35,72.58,72.63,779205
2025-06-19T15:15:00+05:30,72.61,72.64,71.8,72.29,745045
2025-06-20T09:15:00+05:30,72.6,73.25,72.26,72.69,1502488
2025-06-20T10:15:00+05:30,72.72,73.18,72.7,73.16,691415
2025-06-20T11:15:00+05:30,73.16,73.6,73.02,73.53,687621
2025-06-20T12:15:00+05:30,73.53,73.58,72.83,73.0,526920
2025-06-20T13:15:00+05:30,73.01,73.65,73.0,73.62,475699
2025-06-20T14:15:00+05:30,73.63,74.23,73.47,73.7,2300156
2025-06-20T15:15:00+05:30,73.7,73.82,73.43,73.77,1355766
2025-06-23T09:15:00+05:30,72.88,74.35,72.69,74.1,2238810
2025-06-23T10:15:00+05:30,74.1,74.61,73.84,74.58,838509
2025-06-23T11:15:00+05:30,74.56,74.72,74.51,74.65,360086
2025-06-23T12:15:00+05:30,74.62,74.95,74.56,74.8,485430
2025-06-23T13:15:00+05:30,74.8,75.09,74.67,74.82,609849
2025-06-23T14:15:00+05:30,74.85,75.0,74.55,74.64,600167
2025-06-23T15:15:00+05:30,74.62,75.0,74.58,74.72,423925
2025-06-24T09:15:00+05:30,75.36,75.6,74.54,74.88,3080995
2025-06-24T10:15:00+05:30,74.86,75.0,74.45,74.45,856320
2025-06-24T11:15:00+05:30,74.45,74.97,74.45,74.71,660002
2025-06-24T12:15:00+05:30,74.68,74.9,74.33,74.84,542313
2025-06-24T13:15:00+05:30,74.84,74.94,74.21,74.33,745478
2025-06-24T14:15:00+05:30,74.32,74.45,74.0,74.06,734553
2025-06-24T15:15:00+05:30,74.07,74.15,73.95,73.95,563229
2025-06-25T09:15:00+05:30,74.58,75.14,74.2,74.68,1869630
2025-06-25T10:15:00+05:30,74.68,74.85,74.46,74.52,415473
2025-06-25T11:15:00+05:30,74.53,74.74,74.26,74.38,499331
2025-06-25T12:15:00+05:30,74.37,74.74,74.34,74.66,279658
2025-06-25T13:15:00+05:30,74.66,74.84,74.5,74.8,328555
2025-06-25T14:15:00+05:30,74.78,74.94,74.61,74.92,568338
2025-06-25T15:15:00+05:30,74.9,74.98,74.79,74.83,283051
2025-06-26T09:15:00+05:30,74.9,75.27,74.12,74.24,1438455
2025-06-26T10:15:00+05:30,74.25,74.29,73.93,73.95,792343
2025-06-26T11:15:00+05:30,73.99,74.08,73.64,73.81,812251
2025-06-26T12:15:00+05:30,73.77,73.91,73.7,73.79,498566
2025-06-26T13:15:00+05:30,73.77,73.95,73.53,73.79,702113
2025-06-26T14:15:00+05:30,73.76,74.43,73.74,74.31,1193734
2025-06-26T15:15:00+05:30,74.31,74.58,74.27,74.48,625716
2025-06-27T09:15:00+05:30,74.49,75.1,74.4,74.83,1661000
2025-06-27T10:15:00+05:30,74.8,75.1,74.47,74.54,2487825
2025-06-27T11:15:00+05:30,74.54,75.0,74.32,74.94,1367407
2025-06-27T12:15:00+05:30,74.94,75.36,74.62,74.67,1112164
2025-06-27T13:15:00+05:30,74.67,74.92,74.44,74.7,1159348
2025-06-27T14:15:00+05:30,74.7,74.89,74.52,74.78,1402868
2025-06-27T15:15:00+05:30,74.78,74.82,74.66,74.77,479997
2025-06-30T09:15:00+05:30,74.7,75.99,74.7,75.38,3930852
2025-06-30T10:15:00+05:30,75.35,75.4,74.9,75.11,1796847
2025-06-30T11:15:00+05:30,75.11,75.22,74.92,74.95,434123
2025-06-30T12:15:00+05:30,74.97,75.2,74.55,74.61,613868
2025-06-30T13:15:00+05:30,74.6,74.79,74.35,74.54,603703
2025-06-30T14:15:00+05:30,74.54,75.15,74.39,75.02,1354874
2025-06-30T15:15:00+05:30,75.01,75.08,74.51,75.02,738242
2025-07-01T09:15:00+05:30,75.1,75.17,73.75,73.8,2144611
2025-07-01T10:15:00+05:30,73.77,74.63,73.76,74.42,2050932
2025-07-01T11:15:00+05:30,74.42,74.67,74.27,74.66,871373
2025-07-01T12:15:00+05:30,74.66,75.2,74.6,75.08,1554846
2025-07-01T13:15:00+05:30,75.08,75.2,74.33,74.43,2312267
2025-07-01T14:15:00+05:30,74.43,75.29,74.37,74.45,2927411
2025-07-01T15:15:00+05:30,74.46,74.5,74.25,74.49,865320
2025-07-02T09:15:00+05:30,74.51,74.69,74.09,74.19,4202986
2025-07-02T10:15:00+05:30,74.15,74.69,74.04,74.49,3746194
2025-07-02T11:15:00+05:30,74.49,74.93,74.32,74.5,1655873
2025-07-02T12:15:00+05:30,74.5,75.05,74.35,74.66,3014456
2025-07-02T13:15:00+05:30,74.65,76.5,74.41,76.3,5504461
2025-07-02T14:15:00+05:30,76.31,78.3,76.22,78.06,11039155
2025-07-02T15:15:00+05:30,78.08,78.28,77.55,77.75,3057884
2025-07-03T09:15:00+05:30,78.08,78.29,77.03,77.29,4025534
2025-07-03T10:15:00+05:30,77.28,77.49,76.9,76.92,1138418
2025-07-03T11:15:00+05:30,76.9,77.85,76.9,77.79,1399708
2025-07-03T12:15:00+05:30,77.79,77.84,77.33,77.33,519629
2025-07-03T13:15:00+05:30,77.33,77.4,77.0,77.08,640529
2025-07-03T14:15:00+05:30,77.08,77.16,76.49,76.64,1763913
2025-07-03T15:15:00+05:30,76.64,76.65,76.38,76.5,792167
2025-07-04T09:15:00+05:30,76.75,77.71,76.09,77.67,2717854
2025-07-04T10:15:00+05:30,77.65,79.1,77.56,78.43,5934852
2025-07-04T11:15:00+05:30,78.43,78.93,77.71,78.38,3442263
2025-07-04T12:15:00+05:30,78.34,78.39,77.51,77.85,1082764
2025-07-04T13:15:00+05:30,77.84,78.09,77.55,77.78,905802
2025-07-04T14:15:00+05:30,77.73,78.6,77.55,78.37,1912201
2025-07-04T15:15:00+05:30,78.37,78.38,78.01,78.01,814529
2025-07-07T09:15:00+05:30,78.4,78.75,77.73,77.89,1485163
2025-07-07T10:15:00+05:30,77.9,78.89,77.77,78.53,1153691
2025-07-07T11:15:00+05:30,78.53,78.75,78.16,78.38,470874
2025-07-07T12:15:00+05:30,78.4,78.44,77.87,77.96,373517
2025-07-07T13:15:00+05:30,77.99,78.27,77.8,77.96,552471
2025-07-07T14:15:00+05:30,77.92,78.33,77.85,78.1,1090985
2025-07-07T15:15:00+05:30,78.15,78.15,77.79,77.9,341039
2025-07-08T09:15:00+05:30,78.29,78.48,77.53,77.61,1000046
2025-07-08T10:15:00+05:30,77.61,79.05,77.5,78.86,2593987
2025-07-08T11:15:00+05:30,78.86,79.24,78.23,79.05,2616164
2025-07-08T12:15:00+05:30,79.09,79.15,78.22,78.58,1576617
2025-07-08T13:15:00+05:30,78.62,79.5,78.5,79.29,1613441
2025-07-08T14:15:00+05:30,79.29,79.67,79.12,79.6,2374181
2025-07-08T15:15:00+05:30,79.61,79.65,79.34,79.5,955153
2025-07-09T09:15:00+05:30,80.0,80.09,78.72,78.95,1842326
2025-07-09T10:15:00+05:30,78.9,79.47,78.44,78.51,1110055
2025-07-09T11:15:00+05:30,78.52,78.98,78.25,78.41,956228
2025-07-09T12:15:00+05:30,78.41,79.05,78.36,78.78,943925
2025-07-09T13:15:00+05:30,78.82,79.05,78.73,78.99,326992
2025-07-09T14:15:00+05:30,79.0,79.03,78.53,78.85,1359889
2025-07-09T15:15:00+05:30,78.87,78.95,78.75,78.8,519047
2025-07-10T09:15:00+05:30,79.02,79.1,78.41,78.48,676953
2025-07-10T10:15:00+05:30,78.5,78.59,77.7,77.97,882468
2025-07-10T11:15:00+05:30,77.97,78.03,77.4,77.54,607878
2025-07-10T12:15:00+05:30,77.54,77.91,77.51,77.7,238106
2025-07-10T13:15:00+05:30,77.7,77.88,77.4,77.76,434630
2025-07-10T14:15:00+05:30,77.78,78.5,77.57,78.07,1325890
2025-07-10T15:15:00+05:30,78.09,78.1,77.67,77.8,535646
2025-07-11T09:15:00+05:30,77.97,77.99,76.52,76.59,1932273
2025-07-11T10:15:00+05:30,76.54,76.68,76.24,76.48,765569
2025-07-11T11:15:00+05:30,76.49,76.95,76.41,76.74,708826
2025-07-11T12:15:00+05:30,76.7,77.14,76.7,77.11,351537
2025-07-11T13:15:00+05:30,77.06,77.15,76.92,76.99,261571
2025-07-11T14:15:00+05:30,76.99,77.08,76.89,76.95,373984
2025-07-11T15:15:00+05:30,76.95,77.0,76.55,76.65,420235
2025-07-14T09:15:00+05:30,76.9,76.93,76.06,76.68,676270
2025-07-14T10:15:00+05:30,76.65,77.39,76.44,76.9,733794
2025-07-14T11:15:00+05:30,76.9,77.18,76.71,77.04,391654
2025-07-14T12:15:00+05:30,77.04,77.38,76.94,77.23,563348
2025-07-14T13:15:00+05:30,77.2,77.31,76.6,76.7,349084
2025-07-14T14:15:00+05:30,76.74,76.74,76.51,76.58,185240
