timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1849.0,1858.0,1830.6,1838.4,76849
2025-06-16T10:15:00+05:30,1838.7,1847.5,1838.7,1847.2,26063
2025-06-16T11:15:00+05:30,1847.2,1854.8,1843.1,1854.8,37697
2025-06-16T12:15:00+05:30,1854.1,1864.8,1851.6,1862.2,31268
2025-06-16T13:15:00+05:30,1861.8,1873.8,1861.8,1871.5,45496
2025-06-16T14:15:00+05:30,1871.4,1874.4,1865.5,1874.3,21151
2025-06-16T15:15:00+05:30,1874.3,1875.9,1866.9,1870.1,22474
2025-06-17T09:15:00+05:30,1873.6,1876.9,1861.9,1866.1,77522
2025-06-17T10:15:00+05:30,1866.5,1872.1,1860.2,1863.0,68928
2025-06-17T11:15:00+05:30,1863.0,1875.0,1860.6,1868.8,126437
2025-06-17T12:15:00+05:30,1868.8,1871.5,1859.0,1863.7,152877
2025-06-17T13:15:00+05:30,1864.0,1867.1,1857.0,1865.7,55348
2025-06-17T14:15:00+05:30,1865.7,1870.1,1858.0,1859.7,39126
2025-06-17T15:15:00+05:30,1859.7,1860.3,1855.1,1857.0,22810
2025-06-18T09:15:00+05:30,1854.9,1865.6,1851.1,1862.0,37820
2025-06-18T10:15:00+05:30,1862.6,1865.3,1855.4,1858.3,18606
2025-06-18T11:15:00+05:30,1858.6,1858.8,1846.0,1852.4,24679
2025-06-18T12:15:00+05:30,1852.4,1853.0,1844.0,1849.5,24473
2025-06-18T13:15:00+05:30,1849.5,1850.5,1841.0,1843.5,25356
2025-06-18T14:15:00+05:30,1843.0,1846.1,1840.0,1841.0,29930
2025-06-18T15:15:00+05:30,1841.8,1843.8,1835.0,1838.0,35546
2025-06-19T09:15:00+05:30,1840.6,1849.0,1834.3,1837.5,58373
2025-06-19T10:15:00+05:30,1837.3,1843.9,1833.2,1843.2,46915
2025-06-19T11:15:00+05:30,1843.2,1843.2,1831.2,1838.2,28163
2025-06-19T12:15:00+05:30,1838.1,1838.4,1827.0,1830.6,131399
2025-06-19T13:15:00+05:30,1830.2,1837.0,1824.4,1831.7,58951
2025-06-19T14:15:00+05:30,1831.7,1838.0,1826.0,1827.6,67014
2025-06-19T15:15:00+05:30,1827.6,1827.6,1820.0,1827.2,25228
2025-06-20T09:15:00+05:30,1825.6,1833.8,1813.4,1822.4,79888
