timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2500.0,2511.6,2462.0,2489.1,195094
2025-06-16T10:15:00+05:30,2489.3,2539.9,2489.3,2537.3,156851
2025-06-16T11:15:00+05:30,2537.3,2541.7,2526.4,2538.2,82243
2025-06-16T12:15:00+05:30,2538.0,2549.0,2531.7,2544.4,81181
2025-06-16T13:15:00+05:30,2545.6,2563.3,2542.3,2557.3,106192
2025-06-16T14:15:00+05:30,2557.9,2562.0,2542.6,2546.4,137565
2025-06-16T15:15:00+05:30,2546.4,2548.0,2537.0,2539.9,176974
2025-06-17T09:15:00+05:30,2535.0,2539.6,2522.0,2522.1,92645
2025-06-17T10:15:00+05:30,2522.1,2531.0,2515.5,2520.1,44603
2025-06-17T11:15:00+05:30,2520.0,2527.4,2504.4,2508.0,50181
2025-06-17T12:15:00+05:30,2508.0,2513.7,2479.0,2491.2,292068
2025-06-17T13:15:00+05:30,2490.0,2498.4,2488.0,2495.2,63616
2025-06-17T14:15:00+05:30,2495.1,2495.6,2486.4,2490.7,90271
2025-06-17T15:15:00+05:30,2490.7,2490.7,2485.0,2485.2,66940
2025-06-18T09:15:00+05:30,2491.5,2495.9,2475.6,2482.6,146790
2025-06-18T10:15:00+05:30,2483.0,2491.5,2466.5,2474.4,75449
2025-06-18T11:15:00+05:30,2474.4,2477.0,2465.0,2471.1,87564
2025-06-18T12:15:00+05:30,2470.3,2471.4,2450.1,2458.2,96563
2025-06-18T13:15:00+05:30,2458.7,2463.7,2451.0,2452.5,58340
2025-06-18T14:15:00+05:30,2452.4,2464.7,2445.4,2459.8,141660
2025-06-18T15:15:00+05:30,2459.9,2461.0,2455.5,2456.9,58538
2025-06-19T09:15:00+05:30,2466.4,2468.9,2449.6,2452.6,129606
2025-06-19T10:15:00+05:30,2452.5,2454.0,2442.3,2448.1,65278
2025-06-19T11:15:00+05:30,2448.0,2449.9,2432.3,2439.8,48551
2025-06-19T12:15:00+05:30,2439.0,2439.6,2409.5,2417.6,116307
2025-06-19T13:15:00+05:30,2417.0,2424.0,2405.1,2422.0,104320
2025-06-19T14:15:00+05:30,2422.2,2435.0,2417.8,2420.5,156287
2025-06-19T15:15:00+05:30,2420.5,2424.0,2412.9,2414.0,64624
2025-06-20T09:15:00+05:30,2428.9,2443.9,2415.0,2437.9,188647
2025-06-20T10:15:00+05:30,2437.9,2459.1,2436.5,2457.9,163456
2025-06-20T11:15:00+05:30,2457.3,2461.3,2450.8,2456.3,72538
2025-06-20T12:15:00+05:30,2455.3,2456.7,2437.3,2444.0,77503
2025-06-20T13:15:00+05:30,2445.0,2456.5,2441.0,2446.7,67617
2025-06-20T14:15:00+05:30,2446.7,2458.9,2442.3,2445.7,1246812
2025-06-20T15:15:00+05:30,2445.8,2455.0,2440.2,2449.6,1183273
2025-06-23T09:15:00+05:30,2436.0,2456.0,2421.0,2446.4,159656
2025-06-23T10:15:00+05:30,2446.9,2475.6,2445.1,2475.6,154838
2025-06-23T11:15:00+05:30,2475.6,2485.0,2472.3,2479.9,117423
2025-06-23T12:15:00+05:30,2480.0,2486.6,2470.0,2477.9,132434
2025-06-23T13:15:00+05:30,2477.9,2492.6,2477.0,2483.9,67604
2025-06-23T14:15:00+05:30,2483.8,2487.9,2471.0,2471.8,95439
2025-06-23T15:15:00+05:30,2472.0,2473.8,2465.0,2466.0,57211
2025-06-24T09:15:00+05:30,2504.7,2535.0,2503.0,2523.4,313476
2025-06-24T10:15:00+05:30,2523.5,2544.6,2523.0,2535.1,241756
2025-06-24T11:15:00+05:30,2535.3,2540.6,2530.1,2532.0,98306
2025-06-24T12:15:00+05:30,2532.0,2534.5,2516.9,2528.6,112365
2025-06-24T13:15:00+05:30,2528.4,2530.3,2510.0,2512.7,73281
2025-06-24T14:15:00+05:30,2514.0,2519.8,2503.1,2504.1,83134
2025-06-24T15:15:00+05:30,2504.1,2508.9,2500.2,2505.0,60754
2025-06-25T09:15:00+05:30,2518.1,2541.6,2512.1,2527.0,263960
2025-06-25T10:15:00+05:30,2526.8,2534.9,2520.3,2525.8,88103
2025-06-25T11:15:00+05:30,2526.0,2533.4,2522.1,2525.0,81554
2025-06-25T12:15:00+05:30,2525.1,2529.1,2521.1,2524.7,102410
2025-06-25T13:15:00+05:30,2524.8,2532.0,2524.1,2531.9,172198
2025-06-25T14:15:00+05:30,2531.9,2537.4,2524.6,2525.4,139178
2025-06-25T15:15:00+05:30,2525.2,2530.0,2524.6,2530.0,69921
2025-06-26T09:15:00+05:30,2535.0,2549.0,2530.1,2535.5,219712
2025-06-26T10:15:00+05:30,2535.1,2540.3,2522.2,2530.5,115189
2025-06-26T11:15:00+05:30,2530.5,2558.0,2525.3,2554.6,205393
2025-06-26T12:15:00+05:30,2554.3,2569.9,2552.6,2566.1,203582
2025-06-26T13:15:00+05:30,2567.0,2572.9,2560.2,2567.9,144780
