timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,6466.0,6484.5,6290.5,6384.0,72961
2025-06-16T10:15:00+05:30,6384.0,6412.0,6378.5,6390.0,13725
2025-06-16T11:15:00+05:30,6390.0,6418.0,6370.5,6397.0,8861
2025-06-16T12:15:00+05:30,6400.5,6402.0,6381.5,6391.5,7368
2025-06-16T13:15:00+05:30,6394.0,6445.5,6390.0,6445.0,29300
2025-06-16T14:15:00+05:30,6445.5,6495.0,6403.5,6469.0,56138
2025-06-16T15:15:00+05:30,6469.5,6471.0,6437.0,6450.5,16869
2025-06-17T09:15:00+05:30,6475.5,6549.0,6429.0,6483.0,43113
2025-06-17T10:15:00+05:30,6482.5,6576.0,6482.5,6548.5,39318
2025-06-17T11:15:00+05:30,6552.0,6552.0,6481.0,6488.0,10197
2025-06-17T12:15:00+05:30,6487.5,6545.0,6478.5,6535.5,22280
2025-06-17T13:15:00+05:30,6533.5,6555.0,6522.5,6535.0,27845
2025-06-17T14:15:00+05:30,6535.5,6549.5,6441.5,6512.5,70803
2025-06-17T15:15:00+05:30,6512.5,6563.5,6496.5,6540.0,22021
2025-06-18T09:15:00+05:30,6504.0,6620.0,6466.5,6582.5,68217
2025-06-18T10:15:00+05:30,6582.5,6593.0,6513.5,6543.5,23033
2025-06-18T11:15:00+05:30,6544.0,6705.0,6541.0,6626.5,107340
2025-06-18T12:15:00+05:30,6630.0,6728.0,6621.5,6666.5,113894
2025-06-18T13:15:00+05:30,6670.0,6715.0,6661.0,6668.0,37395
2025-06-18T14:15:00+05:30,6665.5,6715.0,6645.0,6692.0,52970
2025-06-18T15:15:00+05:30,6694.0,6709.0,6630.0,6685.0,27773
2025-06-19T09:15:00+05:30,6692.5,6820.5,6672.5,6697.0,194408
2025-06-19T10:15:00+05:30,6695.5,6695.5,6543.0,6549.0,55597
2025-06-19T11:15:00+05:30,6549.5,6573.0,6515.0,6522.0,27868
2025-06-19T12:15:00+05:30,6525.0,6526.5,6436.5,6444.0,54735
2025-06-19T13:15:00+05:30,6444.0,6471.0,6425.0,6462.0,27850
2025-06-19T14:15:00+05:30,6461.5,6475.0,6405.5,6435.0,42925
2025-06-19T15:15:00+05:30,6435.0,6443.5,6402.0,6425.0,24641
2025-06-20T09:15:00+05:30,6445.0,6494.5,6314.0,6405.0,109812
2025-06-20T10:15:00+05:30,6407.0,6499.0,6378.5,6487.0,45409
2025-06-20T11:15:00+05:30,6487.0,6497.5,6466.5,6474.5,15245
2025-06-20T12:15:00+05:30,6472.0,6484.0,6429.5,6467.5,15512
2025-06-20T13:15:00+05:30,6466.0,6472.5,6450.0,6461.5,8622
2025-06-20T14:15:00+05:30,6461.5,6541.5,6457.0,6511.5,54287
2025-06-20T15:15:00+05:30,6513.0,6540.0,6504.0,6519.0,34403
2025-06-23T09:15:00+05:30,6465.0,6597.0,6411.0,6561.5,81417
2025-06-23T10:15:00+05:30,6561.5,6605.0,6561.0,6586.5,23680
2025-06-23T11:15:00+05:30,6589.0,6711.0,6582.0,6710.5,63839
2025-06-23T12:15:00+05:30,6710.5,6720.0,6667.0,6681.0,21938
