timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,543.95,546.6,537.3,539.5,150401
2025-06-16T10:15:00+05:30,539.5,542.0,539.5,541.85,182181
2025-06-16T11:15:00+05:30,541.9,545.0,540.0,544.95,214444
2025-06-16T12:15:00+05:30,544.9,548.65,544.25,548.5,239333
2025-06-16T13:15:00+05:30,548.55,552.9,547.75,552.25,161242
2025-06-16T14:15:00+05:30,552.4,552.75,549.9,550.3,162263
2025-06-16T15:15:00+05:30,550.3,550.85,548.6,550.55,140911
2025-06-17T09:15:00+05:30,552.95,553.45,546.8,551.45,161473
2025-06-17T10:15:00+05:30,551.4,555.0,550.6,554.35,146673
2025-06-17T11:15:00+05:30,554.35,556.6,553.5,554.4,198626
2025-06-17T12:15:00+05:30,554.25,554.5,551.05,552.05,237018
2025-06-17T13:15:00+05:30,552.05,554.45,550.3,554.2,174134
2025-06-17T14:15:00+05:30,554.2,554.3,550.35,551.4,387468
2025-06-17T15:15:00+05:30,551.4,551.7,548.8,548.8,97564
2025-06-18T09:15:00+05:30,551.95,553.15,547.5,551.05,112058
2025-06-18T10:15:00+05:30,551.05,551.5,547.85,549.95,142274
2025-06-18T11:15:00+05:30,549.9,549.9,547.0,549.35,61947
2025-06-18T12:15:00+05:30,549.1,549.3,545.1,547.15,45326
2025-06-18T13:15:00+05:30,547.05,547.1,545.25,545.7,44621
2025-06-18T14:15:00+05:30,545.4,546.8,543.95,545.05,98694
2025-06-18T15:15:00+05:30,545.0,545.6,543.7,545.0,59295
2025-06-19T09:15:00+05:30,545.0,546.45,539.4,539.8,189058
2025-06-19T10:15:00+05:30,539.8,541.85,538.25,539.9,811949
2025-06-19T11:15:00+05:30,539.9,540.5,537.5,539.1,167797
2025-06-19T12:15:00+05:30,539.1,539.25,532.6,533.5,465004
2025-06-19T13:15:00+05:30,533.35,534.7,531.2,534.2,83015
2025-06-19T14:15:00+05:30,534.2,535.8,532.65,533.1,118515
2025-06-19T15:15:00+05:30,533.1,533.25,531.0,531.7,123107
2025-06-20T09:15:00+05:30,532.75,535.55,528.45,531.25,288888
2025-06-20T10:15:00+05:30,531.0,533.7,530.9,533.0,175073
2025-06-20T11:15:00+05:30,532.8,534.2,530.0,532.3,335385
2025-06-20T12:15:00+05:30,532.3,532.5,529.0,530.1,240381
2025-06-20T13:15:00+05:30,530.1,534.4,530.0,533.85,346669
2025-06-20T14:15:00+05:30,533.85,535.65,532.65,533.95,698015
2025-06-20T15:15:00+05:30,533.9,534.85,531.75,532.25,568863
2025-06-23T09:15:00+05:30,529.0,535.2,528.45,534.7,114906
2025-06-23T10:15:00+05:30,534.7,539.5,534.35,536.85,130391
2025-06-23T11:15:00+05:30,537.05,537.95,535.25,536.3,219518
2025-06-23T12:15:00+05:30,536.35,537.0,535.0,536.45,73526
2025-06-23T13:15:00+05:30,536.45,537.25,535.1,536.9,144445
2025-06-23T14:15:00+05:30,536.9,538.3,534.9,535.1,274374
2025-06-23T15:15:00+05:30,535.35,536.25,534.0,534.85,50792
2025-06-24T09:15:00+05:30,539.95,547.65,539.0,546.2,1238933
2025-06-24T10:15:00+05:30,546.0,557.8,546.0,557.1,987688
2025-06-24T11:15:00+05:30,557.0,561.2,555.8,560.2,714580
2025-06-24T12:15:00+05:30,560.2,562.8,558.25,558.65,704641
2025-06-24T13:15:00+05:30,558.65,560.0,552.65,555.25,956217
2025-06-24T14:15:00+05:30,555.1,557.75,552.65,553.75,874851
2025-06-24T15:15:00+05:30,553.7,557.5,553.65,557.5,237363
2025-06-25T09:15:00+05:30,557.0,560.45,552.05,553.1,352454
2025-06-25T10:15:00+05:30,553.25,554.85,551.3,551.85,368308
2025-06-25T11:15:00+05:30,551.95,555.9,551.55,553.8,405283
2025-06-25T12:15:00+05:30,553.55,558.15,553.25,557.15,363060
2025-06-25T13:15:00+05:30,557.25,558.45,556.25,557.65,317352
2025-06-25T14:15:00+05:30,557.55,560.65,557.35,560.3,488955
2025-06-25T15:15:00+05:30,560.3,560.7,558.65,559.3,145515
2025-06-26T09:15:00+05:30,562.5,563.45,558.95,561.75,390145
2025-06-26T10:15:00+05:30,561.75,566.9,560.15,566.6,524052
2025-06-26T11:15:00+05:30,566.6,566.85,562.9,565.05,387105
2025-06-26T12:15:00+05:30,565.05,569.4,564.1,568.55,590939
2025-06-26T13:15:00+05:30,568.8,568.8,563.05,565.55,493030
2025-06-26T14:15:00+05:30,565.25,567.3,564.65,565.95,475252
2025-06-26T15:15:00+05:30,566.0,567.9,566.0,566.0,183726
2025-06-27T09:15:00+05:30,569.5,573.8,565.1,571.0,664566
2025-06-27T10:15:00+05:30,570.8,577.0,570.8,576.5,517456
2025-06-27T11:15:00+05:30,576.5,576.7,570.1,572.85,290068
2025-06-27T12:15:00+05:30,572.85,575.75,572.05,573.85,381486
2025-06-27T13:15:00+05:30,573.5,579.75,571.5,578.3,537491
2025-06-27T14:15:00+05:30,578.3,579.0,574.55,574.65,681556
2025-06-27T15:15:00+05:30,574.8,575.6,572.55,575.0,479465
2025-06-30T09:15:00+05:30,575.05,576.95,573.15,575.3,209455
2025-06-30T10:15:00+05:30,575.05,577.8,572.2,574.3,199996
2025-06-30T11:15:00+05:30,574.05,576.25,573.9,576.0,112266
2025-06-30T12:15:00+05:30,576.0,577.7,574.2,575.6,283074
2025-06-30T13:15:00+05:30,575.5,576.25,573.0,575.0,319390
2025-06-30T14:15:00+05:30,575.2,577.35,573.7,577.1,463007
2025-06-30T15:15:00+05:30,577.0,579.05,575.8,577.3,411881
2025-07-01T09:15:00+05:30,582.1,587.4,580.2,583.0,1211229
2025-07-01T10:15:00+05:30,583.05,587.8,582.05,582.9,500382
2025-07-01T11:15:00+05:30,583.0,587.0,582.9,586.0,258174
2025-07-01T12:15:00+05:30,586.1,587.05,580.2,580.2,384638
2025-07-01T13:15:00+05:30,580.25,580.7,578.6,580.0,210782
2025-07-01T14:15:00+05:30,580.25,581.5,579.45,580.4,183284
2025-07-01T15:15:00+05:30,580.4,581.25,579.55,581.0,110802
2025-07-02T09:15:00+05:30,581.95,586.35,581.55,583.85,312728
2025-07-02T10:15:00+05:30,584.0,587.3,582.5,585.1,446623
2025-07-02T11:15:00+05:30,585.25,590.75,583.95,590.6,588941
