timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2919.8,2952.0,2850.0,2873.6,311763
2025-06-16T10:15:00+05:30,2872.4,2917.9,2872.4,2902.8,106176
2025-06-16T11:15:00+05:30,2903.9,2904.1,2878.0,2883.0,75502
2025-06-16T12:15:00+05:30,2883.0,2904.0,2873.4,2895.0,63042
2025-06-16T13:15:00+05:30,2895.0,2917.0,2891.0,2915.9,67040
2025-06-16T14:15:00+05:30,2914.9,2937.6,2910.2,2933.2,120011
2025-06-16T15:15:00+05:30,2933.2,2935.1,2926.8,2933.0,35050
2025-06-17T09:15:00+05:30,2933.0,2942.8,2893.2,2911.0,203235
2025-06-17T10:15:00+05:30,2909.4,2915.5,2884.9,2898.0,82535
2025-06-17T11:15:00+05:30,2897.2,2898.0,2875.0,2880.0,73930
2025-06-17T12:15:00+05:30,2881.1,2883.6,2862.6,2868.1,70901
2025-06-17T13:15:00+05:30,2868.1,2880.0,2860.5,2874.4,57726
2025-06-17T14:15:00+05:30,2873.2,2884.0,2860.8,2883.1,117067
2025-06-17T15:15:00+05:30,2882.9,2883.5,2865.1,2875.0,62349
2025-06-18T09:15:00+05:30,2873.6,2919.1,2853.6,2905.6,232614
2025-06-18T10:15:00+05:30,2905.6,2915.4,2873.0,2885.7,86346
2025-06-18T11:15:00+05:30,2886.0,2889.3,2865.0,2885.0,53415
2025-06-18T12:15:00+05:30,2885.9,2887.9,2865.0,2871.0,33012
2025-06-18T13:15:00+05:30,2870.5,2878.8,2865.1,2867.6,31231
2025-06-18T14:15:00+05:30,2868.2,2879.4,2860.7,2867.0,72245
2025-06-18T15:15:00+05:30,2866.2,2867.5,2860.1,2864.0,40469
2025-06-19T09:15:00+05:30,2867.0,2909.5,2864.1,2872.4,174567
2025-06-19T10:15:00+05:30,2872.1,2872.3,2836.0,2844.7,127692
2025-06-19T11:15:00+05:30,2845.3,2846.3,2822.5,2823.7,53692
2025-06-19T12:15:00+05:30,2823.5,2823.8,2792.0,2808.3,95318
2025-06-19T13:15:00+05:30,2807.2,2807.5,2789.2,2802.8,78322
2025-06-19T14:15:00+05:30,2801.9,2807.5,2777.5,2787.3,97271
2025-06-19T15:15:00+05:30,2787.3,2787.4,2775.3,2778.9,46603
2025-06-20T09:15:00+05:30,2781.0,2813.7,2758.0,2778.5,250286
2025-06-20T10:15:00+05:30,2778.1,2819.9,2778.1,2819.7,140510
2025-06-20T11:15:00+05:30,2819.2,2839.7,2812.7,2825.5,119249
2025-06-20T12:15:00+05:30,2825.4,2828.0,2797.1,2819.1,95485
2025-06-20T13:15:00+05:30,2819.7,2824.8,2808.1,2810.0,65540
2025-06-20T14:15:00+05:30,2809.9,2842.9,2808.3,2829.6,406682
2025-06-20T15:15:00+05:30,2828.7,2832.7,2817.3,2825.0,365115
2025-06-23T09:15:00+05:30,2799.4,2848.9,2781.8,2842.0,222002
2025-06-23T10:15:00+05:30,2842.0,2853.0,2820.2,2852.4,145124
2025-06-23T11:15:00+05:30,2852.4,2897.0,2846.0,2878.5,180608
2025-06-23T12:15:00+05:30,2879.9,2932.0,2879.7,2924.0,254091
2025-06-23T13:15:00+05:30,2924.6,2940.0,2919.0,2927.3,134455
2025-06-23T14:15:00+05:30,2928.3,2943.9,2917.1,2936.0,180744
2025-06-23T15:15:00+05:30,2936.1,2939.1,2927.0,2934.5,59460
2025-06-24T09:15:00+05:30,2986.1,3008.2,2945.6,2960.3,468448
2025-06-24T10:15:00+05:30,2959.9,2984.9,2938.0,2974.1,181981
2025-06-24T11:15:00+05:30,2973.1,2989.3,2968.1,2975.0,94854
2025-06-24T12:15:00+05:30,2975.6,2978.0,2958.5,2971.6,87554
2025-06-24T13:15:00+05:30,2972.6,2974.7,2949.1,2957.3,85356
2025-06-24T14:15:00+05:30,2957.5,2969.0,2950.0,2954.9,94088
2025-06-24T15:15:00+05:30,2954.6,2965.0,2950.5,2964.5,67168
2025-06-25T09:15:00+05:30,2970.0,3015.0,2959.6,3004.2,292910
2025-06-25T10:15:00+05:30,3004.0,3013.0,2978.1,2983.5,159282
2025-06-25T11:15:00+05:30,2983.5,2997.0,2979.8,2981.5,120773
2025-06-25T12:15:00+05:30,2981.6,2984.7,2970.0,2973.2,85700
2025-06-25T13:15:00+05:30,2972.2,2975.0,2865.0,2871.9,280579
2025-06-25T14:15:00+05:30,2871.9,2885.3,2851.0,2871.1,367163
2025-06-25T15:15:00+05:30,2871.1,2871.4,2841.5,2848.5,137708
2025-06-26T09:15:00+05:30,2879.0,2890.0,2843.0,2851.9,313805
2025-06-26T10:15:00+05:30,2851.2,2879.8,2847.3,2856.7,123601
2025-06-26T11:15:00+05:30,2857.1,2873.4,2831.7,2872.5,160294
2025-06-26T12:15:00+05:30,2871.4,2887.4,2865.1,2882.5,110990
2025-06-26T13:15:00+05:30,2882.2,2887.4,2868.9,2884.1,88361
2025-06-26T14:15:00+05:30,2882.7,2908.0,2882.7,2899.4,211689
2025-06-26T15:15:00+05:30,2898.2,2915.0,2898.2,2903.0,95501
2025-06-27T09:15:00+05:30,2917.0,2983.0,2910.6,2969.5,397102
2025-06-27T10:15:00+05:30,2969.5,2976.0,2916.5,2925.0,245195
2025-06-27T11:15:00+05:30,2924.0,2929.7,2911.2,2913.4,76264
2025-06-27T12:15:00+05:30,2914.5,2926.0,2895.1,2895.1,107275
2025-06-27T13:15:00+05:30,2895.6,2925.0,2888.1,2919.0,141345
2025-06-27T14:15:00+05:30,2919.0,2922.0,2900.0,2908.0,141216
2025-06-27T15:15:00+05:30,2908.0,2923.0,2906.7,2920.0,70830
2025-06-30T09:15:00+05:30,2925.8,2970.0,2921.1,2951.4,239477
2025-06-30T10:15:00+05:30,2951.3,2963.4,2943.7,2948.4,60666
2025-06-30T11:15:00+05:30,2948.4,2962.0,2938.1,2956.6,97366
