timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,7011.0,7034.5,6982.0,7007.5,46753
2025-06-16T10:15:00+05:30,7007.5,7075.0,7000.0,7060.0,91547
2025-06-16T11:15:00+05:30,7060.0,7086.0,7051.0,7078.0,84612
2025-06-16T12:15:00+05:30,7078.0,7098.0,7070.5,7090.5,81449
2025-06-16T13:15:00+05:30,7090.5,7115.0,7080.0,7110.0,74223
2025-06-16T14:15:00+05:30,7110.0,7138.0,7109.5,7120.0,142470
2025-06-16T15:15:00+05:30,7120.0,7121.5,7096.5,7104.5,65812
2025-06-17T09:15:00+05:30,7120.5,7134.5,7075.5,7085.0,55949
2025-06-17T10:15:00+05:30,7085.0,7100.0,7061.5,7066.0,32723
2025-06-17T11:15:00+05:30,7065.5,7067.5,7035.0,7037.5,29253
2025-06-17T12:15:00+05:30,7039.0,7050.0,7020.0,7047.0,29008
2025-06-17T13:15:00+05:30,7048.5,7051.0,7038.0,7043.5,35949
2025-06-17T14:15:00+05:30,7045.0,7045.0,7000.0,7002.0,51220
2025-06-17T15:15:00+05:30,7001.5,7019.0,6999.5,7019.0,26836
2025-06-18T09:15:00+05:30,7006.5,7030.0,6995.5,7023.0,38793
2025-06-18T10:15:00+05:30,7024.0,7027.0,6976.5,6990.0,151545
2025-06-18T11:15:00+05:30,6990.0,6999.5,6932.5,6946.5,85677
2025-06-18T12:15:00+05:30,6947.0,6949.0,6925.0,6935.0,21999
2025-06-18T13:15:00+05:30,6934.5,6946.5,6925.0,6940.5,28132
2025-06-18T14:15:00+05:30,6939.0,6941.5,6917.0,6933.5,41580
2025-06-18T15:15:00+05:30,6933.5,6944.0,6925.5,6943.0,25696
2025-06-19T09:15:00+05:30,6937.5,7010.5,6912.0,7003.5,83469
2025-06-19T10:15:00+05:30,7003.5,7009.0,6986.0,6991.0,67184
2025-06-19T11:15:00+05:30,6991.5,7003.5,6983.0,7000.0,37521
2025-06-19T12:15:00+05:30,7000.0,7009.0,6980.5,7000.0,120353
2025-06-19T13:15:00+05:30,7000.0,7008.0,6988.5,6994.5,31676
