timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2214.1,2237.9,2209.3,2224.7,402566
2025-06-16T10:15:00+05:30,2224.6,2233.6,2222.0,2227.5,144741
2025-06-16T11:15:00+05:30,2227.5,2233.4,2224.3,2232.6,106396
2025-06-16T12:15:00+05:30,2232.6,2237.4,2230.7,2237.2,109728
2025-06-16T13:15:00+05:30,2237.2,2247.7,2235.6,2244.3,193193
2025-06-16T14:15:00+05:30,2244.8,2247.6,2242.4,2246.8,206077
2025-06-16T15:15:00+05:30,2247.0,2250.0,2238.0,2241.0,124279
2025-06-17T09:15:00+05:30,2231.0,2281.0,2227.0,2268.8,692706
2025-06-17T10:15:00+05:30,2269.4,2277.3,2266.6,2275.1,231906
2025-06-17T11:15:00+05:30,2275.2,2276.2,2265.0,2265.3,138104
2025-06-17T12:15:00+05:30,2265.1,2268.0,2261.0,2266.6,104714
2025-06-17T13:15:00+05:30,2265.9,2266.9,2261.0,2265.6,78768
2025-06-17T14:15:00+05:30,2265.6,2269.7,2261.3,2264.7,174221
2025-06-17T15:15:00+05:30,2264.5,2265.0,2261.0,2264.0,109298
2025-06-18T09:15:00+05:30,2256.0,2277.3,2255.0,2267.1,180343
2025-06-18T10:15:00+05:30,2267.1,2271.4,2259.2,2269.5,126021
2025-06-18T11:15:00+05:30,2269.5,2269.8,2259.1,2264.0,80239
2025-06-18T12:15:00+05:30,2264.0,2268.5,2259.7,2266.8,92312
2025-06-18T13:15:00+05:30,2267.4,2277.1,2264.0,2277.1,106027
2025-06-18T14:15:00+05:30,2277.1,2284.0,2269.2,2280.6,352103
2025-06-18T15:15:00+05:30,2280.5,2284.0,2276.0,2277.8,190744
2025-06-19T09:15:00+05:30,2269.4,2283.0,2264.1,2277.0,107920
2025-06-19T10:15:00+05:30,2277.0,2285.0,2276.4,2281.7,74063
2025-06-19T11:15:00+05:30,2282.4,2283.0,2277.5,2278.9,52532
2025-06-19T12:15:00+05:30,2279.0,2281.7,2271.7,2272.4,66467
2025-06-19T13:15:00+05:30,2272.0,2279.2,2270.0,2278.8,45464
2025-06-19T14:15:00+05:30,2278.8,2281.4,2267.0,2267.1,117737
2025-06-19T15:15:00+05:30,2267.2,2270.4,2264.0,2266.7,56336
2025-06-20T09:15:00+05:30,2266.7,2282.9,2263.0,2272.7,91692
2025-06-20T10:15:00+05:30,2272.7,2277.5,2271.0,2271.5,43514
2025-06-20T11:15:00+05:30,2271.1,2280.0,2269.4,2277.9,47851
2025-06-20T12:15:00+05:30,2278.3,2279.7,2267.9,2275.7,62666
2025-06-20T13:15:00+05:30,2275.7,2281.6,2275.0,2277.2,71486
2025-06-20T14:15:00+05:30,2277.2,2288.8,2272.0,2286.1,979812
2025-06-20T15:15:00+05:30,2286.1,2289.9,2277.3,2279.5,646694
2025-06-23T09:15:00+05:30,2264.2,2272.8,2253.9,2265.0,221912
2025-06-23T10:15:00+05:30,2263.6,2266.5,2258.5,2263.9,71847
2025-06-23T11:15:00+05:30,2263.1,2270.2,2261.0,2265.2,55237
2025-06-23T12:15:00+05:30,2265.1,2267.3,2261.4,2262.6,37285
2025-06-23T13:15:00+05:30,2262.5,2269.9,2262.4,2264.3,46916
2025-06-23T14:15:00+05:30,2264.1,2266.4,2261.5,2265.0,94210
2025-06-23T15:15:00+05:30,2264.9,2266.2,2261.4,2264.0,59453
2025-06-24T09:15:00+05:30,2305.1,2309.7,2286.3,2295.0,329311
2025-06-24T10:15:00+05:30,2294.8,2297.4,2286.0,2291.5,83155
2025-06-24T11:15:00+05:30,2292.3,2294.0,2287.1,2289.5,61591
2025-06-24T12:15:00+05:30,2289.5,2290.1,2277.1,2283.0,115977
