timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,658.05,662.5,642.8,647.9,325667
2025-06-16T10:15:00+05:30,647.9,661.3,647.9,657.0,144945
2025-06-16T11:15:00+05:30,656.65,658.0,653.1,655.85,46374
2025-06-16T12:15:00+05:30,655.85,659.6,654.65,658.8,45621
2025-06-16T13:15:00+05:30,658.8,660.8,657.05,660.25,50794
2025-06-16T14:15:00+05:30,660.25,660.95,658.0,659.7,59187
2025-06-16T15:15:00+05:30,659.7,659.9,657.0,657.6,52587
2025-06-17T09:15:00+05:30,662.05,662.25,653.5,655.0,180773
2025-06-17T10:15:00+05:30,655.0,657.05,652.0,654.75,78690
2025-06-17T11:15:00+05:30,654.75,655.3,650.35,650.5,54714
2025-06-17T12:15:00+05:30,650.85,653.4,647.5,649.3,89883
2025-06-17T13:15:00+05:30,649.35,650.45,647.65,648.5,56269
2025-06-17T14:15:00+05:30,648.5,649.85,646.55,648.05,92571
2025-06-17T15:15:00+05:30,648.1,648.4,645.0,645.9,75158
2025-06-18T09:15:00+05:30,648.95,661.0,645.35,659.7,259970
2025-06-18T10:15:00+05:30,659.65,664.5,654.4,659.0,243840
2025-06-18T11:15:00+05:30,658.8,660.9,653.2,658.4,142871
2025-06-18T12:15:00+05:30,658.6,658.6,650.65,653.45,87880
2025-06-18T13:15:00+05:30,653.55,655.0,651.2,651.45,34827
2025-06-18T14:15:00+05:30,651.5,653.9,649.35,651.8,85812
2025-06-18T15:15:00+05:30,651.8,651.9,648.15,650.0,67872
2025-06-19T09:15:00+05:30,651.4,653.15,641.4,643.5,236417
2025-06-19T10:15:00+05:30,643.15,643.4,636.5,639.45,143329
2025-06-19T11:15:00+05:30,639.5,639.5,631.55,633.05,127048
2025-06-19T12:15:00+05:30,633.05,633.05,626.0,626.65,157280
2025-06-19T13:15:00+05:30,626.65,627.0,621.25,627.0,238964
2025-06-19T14:15:00+05:30,627.0,630.85,622.5,622.85,289079
2025-06-19T15:15:00+05:30,623.05,625.0,621.0,624.0,126126
2025-06-20T09:15:00+05:30,622.55,633.55,622.55,626.6,271139
2025-06-20T10:15:00+05:30,627.15,632.85,626.85,631.2,171042
2025-06-20T11:15:00+05:30,631.2,631.65,626.1,626.6,104291
2025-06-20T12:15:00+05:30,626.6,626.75,621.3,621.7,97905
