timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,768.6,771.7,758.8,766.75,275098
2025-06-16T10:15:00+05:30,766.85,769.5,765.4,766.65,88239
2025-06-16T11:15:00+05:30,766.7,772.4,766.7,771.7,80833
2025-06-16T12:15:00+05:30,771.6,782.7,771.5,781.55,373819
2025-06-16T13:15:00+05:30,781.5,782.2,776.5,779.45,188113
2025-06-16T14:15:00+05:30,779.75,781.55,777.75,780.7,296130
2025-06-16T15:15:00+05:30,780.7,783.5,780.0,781.0,220701
2025-06-17T09:15:00+05:30,781.8,783.95,775.5,777.55,173517
2025-06-17T10:15:00+05:30,777.6,778.9,774.7,776.0,106876
2025-06-17T11:15:00+05:30,776.3,777.85,773.0,773.85,135934
2025-06-17T12:15:00+05:30,773.8,776.1,772.0,773.3,137264
2025-06-17T13:15:00+05:30,773.25,776.65,771.5,775.75,165055
2025-06-17T14:15:00+05:30,775.75,776.5,771.55,774.4,417741
2025-06-17T15:15:00+05:30,774.3,774.3,771.3,771.65,165782
2025-06-18T09:15:00+05:30,773.15,787.3,765.0,782.4,448690
2025-06-18T10:15:00+05:30,782.3,790.8,780.55,789.65,694711
2025-06-18T11:15:00+05:30,789.65,796.15,785.65,795.95,637124
2025-06-18T12:15:00+05:30,796.0,798.5,793.15,794.35,561961
2025-06-18T13:15:00+05:30,794.35,797.85,792.35,793.55,422944
2025-06-18T14:15:00+05:30,793.2,795.3,791.5,794.65,623472
2025-06-18T15:15:00+05:30,794.65,795.65,792.05,794.9,319120
2025-06-19T09:15:00+05:30,798.85,808.0,795.3,800.65,1426607
2025-06-19T10:15:00+05:30,800.65,802.0,797.45,798.45,437035
2025-06-19T11:15:00+05:30,798.2,803.0,797.4,802.0,426627
2025-06-19T12:15:00+05:30,802.0,802.0,787.75,792.6,1049397
2025-06-19T13:15:00+05:30,792.45,794.55,790.3,793.15,261638
2025-06-19T14:15:00+05:30,792.9,794.85,790.0,790.05,368818
2025-06-19T15:15:00+05:30,790.3,790.6,788.3,789.05,241537
2025-06-20T09:15:00+05:30,790.9,797.7,789.0,790.5,219751
2025-06-20T10:15:00+05:30,790.25,793.0,788.0,789.95,169646
2025-06-20T11:15:00+05:30,790.1,791.35,784.6,786.75,328433
2025-06-20T12:15:00+05:30,786.75,787.4,784.65,785.9,134967
2025-06-20T13:15:00+05:30,785.9,789.2,785.9,786.6,113757
2025-06-20T14:15:00+05:30,786.65,795.9,784.6,795.3,752011
2025-06-20T15:15:00+05:30,795.0,798.85,792.7,793.35,389088
2025-06-23T09:15:00+05:30,798.35,802.0,792.35,796.85,715817
2025-06-23T10:15:00+05:30,796.85,801.45,795.2,799.85,291829
2025-06-23T11:15:00+05:30,799.5,799.75,789.35,790.65,527921
2025-06-23T12:15:00+05:30,790.5,799.2,789.85,798.65,511366
2025-06-23T13:15:00+05:30,798.55,800.9,797.0,798.9,254035
2025-06-23T14:15:00+05:30,798.9,799.3,795.5,796.75,186371
2025-06-23T15:15:00+05:30,796.6,797.35,795.15,797.0,106031
2025-06-24T09:15:00+05:30,801.4,805.85,798.55,799.1,291027
2025-06-24T10:15:00+05:30,799.1,800.25,795.6,796.6,110642
2025-06-24T11:15:00+05:30,796.6,797.1,791.7,791.8,146576
2025-06-24T12:15:00+05:30,792.2,795.5,790.65,794.7,161414
2025-06-24T13:15:00+05:30,794.4,798.55,790.8,797.95,153742
2025-06-24T14:15:00+05:30,798.1,803.15,797.6,800.65,288035
2025-06-24T15:15:00+05:30,800.6,801.25,799.95,800.0,134931
2025-06-25T09:15:00+05:30,802.2,804.6,794.25,803.5,588016
2025-06-25T10:15:00+05:30,803.7,810.9,802.5,806.6,949270
2025-06-25T11:15:00+05:30,806.85,807.7,803.3,804.1,132319
2025-06-25T12:15:00+05:30,804.15,806.9,803.5,806.5,133502
2025-06-25T13:15:00+05:30,806.2,806.8,803.6,805.6,92568
2025-06-25T14:15:00+05:30,805.6,807.3,804.65,807.3,215226
2025-06-25T15:15:00+05:30,807.05,809.0,806.95,808.5,118457
2025-06-26T09:15:00+05:30,810.15,820.75,806.15,812.0,954880
2025-06-26T10:15:00+05:30,812.0,815.0,809.3,811.05,816765
2025-06-26T11:15:00+05:30,811.05,818.75,809.15,815.0,617943
2025-06-26T12:15:00+05:30,815.0,815.7,809.6,815.45,658128
2025-06-26T13:15:00+05:30,815.45,816.5,811.45,814.7,630101
2025-06-26T14:15:00+05:30,814.95,824.0,814.45,819.8,1740540
2025-06-26T15:15:00+05:30,819.75,823.4,817.65,821.0,389370
2025-06-27T09:15:00+05:30,820.1,820.9,803.65,810.15,663333
2025-06-27T10:15:00+05:30,810.4,811.6,806.3,806.7,233872
2025-06-27T11:15:00+05:30,807.0,814.3,806.3,811.85,260447
2025-06-27T12:15:00+05:30,811.75,811.75,805.2,808.1,177390
2025-06-27T13:15:00+05:30,808.5,810.5,806.4,807.0,319395
2025-06-27T14:15:00+05:30,807.0,812.0,803.8,810.0,1851689
2025-06-27T15:15:00+05:30,810.0,816.0,808.0,815.0,948116
2025-06-30T09:15:00+05:30,813.75,822.25,810.2,811.0,356121
2025-06-30T10:15:00+05:30,811.05,816.0,808.8,815.2,262172
2025-06-30T11:15:00+05:30,815.5,819.95,814.4,818.55,249273
2025-06-30T12:15:00+05:30,818.95,820.75,815.1,816.85,166697
2025-06-30T13:15:00+05:30,816.85,818.8,813.6,817.15,348548
2025-06-30T14:15:00+05:30,816.9,821.0,816.45,818.05,623379
2025-06-30T15:15:00+05:30,818.05,819.95,816.3,819.85,384371
2025-07-01T09:15:00+05:30,820.0,830.25,820.0,829.9,794372
2025-07-01T10:15:00+05:30,829.6,832.1,826.0,827.3,493344
2025-07-01T11:15:00+05:30,827.2,835.15,827.05,831.8,751940
2025-07-01T12:15:00+05:30,831.85,835.8,830.0,834.75,311360
2025-07-01T13:15:00+05:30,835.0,837.25,833.55,835.5,471086
2025-07-01T14:15:00+05:30,835.8,840.0,835.15,838.1,657669
2025-07-01T15:15:00+05:30,838.15,840.0,837.05,837.6,266532
2025-07-02T09:15:00+05:30,840.0,841.0,825.0,826.6,429471
2025-07-02T10:15:00+05:30,826.4,831.15,824.15,828.6,325013
2025-07-02T11:15:00+05:30,828.5,829.55,822.05,822.85,248345
2025-07-02T12:15:00+05:30,822.85,823.55,819.3,821.1,243926
2025-07-02T13:15:00+05:30,821.15,822.8,818.8,822.0,232565
2025-07-02T14:15:00+05:30,822.0,822.65,816.4,817.65,721420
2025-07-02T15:15:00+05:30,817.65,822.0,816.0,821.95,295476
2025-07-03T09:15:00+05:30,819.95,822.1,809.55,812.9,893174
2025-07-03T10:15:00+05:30,812.9,817.75,812.15,815.0,518602
2025-07-03T11:15:00+05:30,814.8,815.95,810.4,812.85,578604
2025-07-03T12:15:00+05:30,812.85,813.8,811.0,811.95,114334
2025-07-03T13:15:00+05:30,812.0,814.2,810.7,813.55,118167
2025-07-03T14:15:00+05:30,813.65,816.95,811.65,812.35,773770
2025-07-03T15:15:00+05:30,812.3,812.45,810.4,810.55,216197
2025-07-04T09:15:00+05:30,814.9,816.6,807.0,813.9,240144
2025-07-04T10:15:00+05:30,813.65,819.8,813.25,819.2,122331
2025-07-04T11:15:00+05:30,819.1,820.4,815.15,816.5,143532
2025-07-04T12:15:00+05:30,816.9,819.85,815.15,818.0,85168
2025-07-04T13:15:00+05:30,817.95,820.4,815.3,818.45,63058
2025-07-04T14:15:00+05:30,818.45,820.75,817.0,820.7,107428
2025-07-04T15:15:00+05:30,820.7,820.9,818.3,818.3,97780
2025-07-07T09:15:00+05:30,819.55,823.95,811.35,814.9,361840
