timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1152.2,1157.0,1137.6,1142.0,105457
2025-06-16T10:15:00+05:30,1141.9,1147.0,1141.1,1143.6,45126
2025-06-16T11:15:00+05:30,1143.7,1149.8,1140.1,1149.3,92097
2025-06-16T12:15:00+05:30,1149.0,1149.0,1143.1,1144.8,134443
2025-06-16T13:15:00+05:30,1144.8,1150.0,1142.5,1148.6,139550
2025-06-16T14:15:00+05:30,1148.9,1150.9,1143.4,1146.1,213748
2025-06-16T15:15:00+05:30,1146.1,1147.3,1142.0,1142.5,146058
2025-06-17T09:15:00+05:30,1145.4,1149.8,1134.1,1134.5,130146
2025-06-17T10:15:00+05:30,1134.4,1138.8,1126.2,1126.5,130608
2025-06-17T11:15:00+05:30,1126.5,1127.0,1110.2,1111.6,308465
2025-06-17T12:15:00+05:30,1111.6,1113.2,1105.4,1111.4,193388
2025-06-17T13:15:00+05:30,1111.4,1120.5,1107.3,1118.5,282080
2025-06-17T14:15:00+05:30,1118.5,1119.0,1094.4,1111.2,1026175
2025-06-17T15:15:00+05:30,1111.6,1112.8,1106.6,1110.0,619365
2025-06-18T09:15:00+05:30,1109.7,1123.9,1107.7,1116.0,250234
2025-06-18T10:15:00+05:30,1116.6,1120.3,1109.0,1113.1,113597
2025-06-18T11:15:00+05:30,1113.7,1113.9,1103.6,1109.5,89867
2025-06-18T12:15:00+05:30,1109.6,1112.9,1106.1,1112.4,49703
2025-06-18T13:15:00+05:30,1112.3,1113.8,1108.3,1109.5,50128
2025-06-18T14:15:00+05:30,1109.5,1110.8,1103.1,1105.0,168628
2025-06-18T15:15:00+05:30,1105.0,1106.4,1101.0,1104.0,136384
2025-06-19T09:15:00+05:30,1105.6,1111.4,1096.0,1097.8,116665
2025-06-19T10:15:00+05:30,1097.8,1097.8,1092.0,1094.7,60926
2025-06-19T11:15:00+05:30,1094.7,1095.7,1086.5,1087.0,211919
2025-06-19T12:15:00+05:30,1087.1,1089.0,1082.1,1083.1,249714
2025-06-19T13:15:00+05:30,1083.1,1086.6,1080.3,1085.0,53582
2025-06-19T14:15:00+05:30,1085.0,1085.7,1080.5,1084.4,177532
2025-06-19T15:15:00+05:30,1084.4,1084.6,1078.5,1079.6,103284
2025-06-20T09:15:00+05:30,1087.0,1097.5,1081.0,1090.9,401563
2025-06-20T10:15:00+05:30,1090.9,1103.0,1089.5,1099.5,259423
2025-06-20T11:15:00+05:30,1099.6,1101.8,1094.0,1094.9,100673
2025-06-20T12:15:00+05:30,1094.5,1094.5,1087.6,1090.0,113810
2025-06-20T13:15:00+05:30,1089.9,1096.4,1089.9,1093.9,192806
2025-06-20T14:15:00+05:30,1094.0,1098.9,1092.3,1097.7,809789
2025-06-20T15:15:00+05:30,1097.7,1102.8,1094.0,1094.1,586984
2025-06-23T09:15:00+05:30,1093.0,1099.4,1087.2,1089.4,86848
2025-06-23T10:15:00+05:30,1089.1,1097.2,1088.1,1096.8,28365
2025-06-23T11:15:00+05:30,1096.9,1100.9,1096.5,1099.0,31695
2025-06-23T12:15:00+05:30,1098.9,1103.5,1098.9,1102.2,42749
2025-06-23T13:15:00+05:30,1102.1,1105.4,1100.9,1102.0,25730
2025-06-23T14:15:00+05:30,1102.1,1103.0,1098.0,1100.3,61223
2025-06-23T15:15:00+05:30,1100.2,1100.9,1097.1,1098.4,66119
2025-06-24T09:15:00+05:30,1104.9,1116.8,1103.0,1112.3,148856
2025-06-24T10:15:00+05:30,1112.9,1114.5,1109.0,1111.8,47269
2025-06-24T11:15:00+05:30,1111.8,1118.5,1111.8,1116.4,44993
2025-06-24T12:15:00+05:30,1116.6,1117.1,1111.5,1111.6,27184
2025-06-24T13:15:00+05:30,1112.0,1112.0,1101.1,1105.3,48499
2025-06-24T14:15:00+05:30,1105.2,1107.4,1103.7,1104.1,46036
2025-06-24T15:15:00+05:30,1104.2,1106.5,1102.5,1102.5,31852
2025-06-25T09:15:00+05:30,1117.0,1121.3,1112.4,1115.9,218725
2025-06-25T10:15:00+05:30,1115.9,1118.0,1111.3,1113.0,102133
2025-06-25T11:15:00+05:30,1113.3,1113.6,1108.0,1108.6,57302
2025-06-25T12:15:00+05:30,1108.7,1118.6,1106.8,1117.7,83721
2025-06-25T13:15:00+05:30,1117.7,1119.4,1116.0,1118.3,72335
2025-06-25T14:15:00+05:30,1118.3,1120.8,1117.1,1119.6,171617
2025-06-25T15:15:00+05:30,1119.6,1122.1,1118.1,1121.0,100400
2025-06-26T09:15:00+05:30,1133.0,1135.0,1117.4,1118.4,265814
2025-06-26T10:15:00+05:30,1118.0,1125.1,1117.0,1117.8,149900
2025-06-26T11:15:00+05:30,1117.5,1126.4,1114.1,1125.3,249214
2025-06-26T12:15:00+05:30,1125.3,1126.3,1119.6,1120.5,99200
2025-06-26T13:15:00+05:30,1120.5,1127.5,1120.5,1123.6,80521
