timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1206.1,1208.0,1196.0,1200.4,797756
2025-06-16T10:15:00+05:30,1200.2,1214.9,1200.1,1212.4,793740
2025-06-16T11:15:00+05:30,1212.3,1217.9,1211.0,1212.8,479808
2025-06-16T12:15:00+05:30,1212.8,1215.3,1210.6,1212.5,583431
2025-06-16T13:15:00+05:30,1212.6,1217.0,1212.0,1216.9,1006569
2025-06-16T14:15:00+05:30,1216.5,1217.6,1212.1,1215.5,1525872
2025-06-16T15:15:00+05:30,1215.6,1218.0,1214.7,1215.4,496795
2025-06-17T09:15:00+05:30,1215.4,1226.4,1213.4,1221.4,1231974
2025-06-17T10:15:00+05:30,1221.8,1227.0,1221.5,1223.8,532520
2025-06-17T11:15:00+05:30,1223.8,1225.3,1217.1,1217.2,316991
2025-06-17T12:15:00+05:30,1217.2,1219.8,1216.0,1218.5,298730
2025-06-17T13:15:00+05:30,1218.4,1219.5,1215.2,1217.3,344938
2025-06-17T14:15:00+05:30,1217.3,1219.1,1216.1,1217.8,799737
2025-06-17T15:15:00+05:30,1217.8,1218.4,1211.3,1214.0,936009
2025-06-18T09:15:00+05:30,1209.5,1221.5,1203.9,1219.5,395028
2025-06-18T10:15:00+05:30,1219.5,1223.3,1215.0,1221.0,474701
2025-06-18T11:15:00+05:30,1220.9,1222.0,1216.8,1221.4,292348
2025-06-18T12:15:00+05:30,1221.4,1221.8,1217.5,1220.0,241859
2025-06-18T13:15:00+05:30,1220.0,1222.4,1217.2,1217.5,379988
2025-06-18T14:15:00+05:30,1217.7,1222.0,1216.8,1220.9,884306
2025-06-18T15:15:00+05:30,1220.8,1222.0,1218.5,1220.0,464316
2025-06-19T09:15:00+05:30,1218.5,1227.8,1217.0,1226.0,585853
2025-06-19T10:15:00+05:30,1226.0,1226.5,1218.0,1219.9,422700
2025-06-19T11:15:00+05:30,1219.9,1225.9,1218.3,1225.6,327424
2025-06-19T12:15:00+05:30,1225.6,1226.5,1216.6,1218.5,611570
2025-06-19T13:15:00+05:30,1218.6,1223.7,1218.1,1222.4,480155
2025-06-19T14:15:00+05:30,1222.4,1224.1,1216.7,1217.3,1492327
2025-06-19T15:15:00+05:30,1217.2,1217.8,1213.8,1213.9,314915
2025-06-20T09:15:00+05:30,1217.9,1226.0,1214.2,1215.6,354017
2025-06-20T10:15:00+05:30,1215.8,1225.0,1215.6,1224.0,300644
2025-06-20T11:15:00+05:30,1224.0,1224.8,1220.9,1223.2,329160
2025-06-20T12:15:00+05:30,1223.0,1223.5,1216.2,1216.3,309939
2025-06-20T13:15:00+05:30,1216.2,1219.6,1216.1,1217.7,257531
2025-06-20T14:15:00+05:30,1217.9,1222.2,1215.3,1221.3,1808429
2025-06-20T15:15:00+05:30,1221.3,1223.2,1215.9,1216.1,1289937
2025-06-23T09:15:00+05:30,1214.5,1218.3,1205.6,1208.1,421737
2025-06-23T10:15:00+05:30,1207.7,1211.4,1207.0,1211.1,213561
2025-06-23T11:15:00+05:30,1211.2,1214.3,1209.1,1212.0,248088
2025-06-23T12:15:00+05:30,1211.8,1214.4,1211.1,1214.3,222661
2025-06-23T13:15:00+05:30,1214.3,1222.9,1213.9,1217.6,476936
2025-06-23T14:15:00+05:30,1217.6,1218.1,1213.5,1214.4,517144
2025-06-23T15:15:00+05:30,1214.2,1215.1,1212.8,1214.8,194854
2025-06-24T09:15:00+05:30,1223.1,1238.4,1221.5,1227.1,2028679
