timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,8486.5,8515.5,8451.0,8497.5,55809
2025-06-16T10:15:00+05:30,8497.0,8575.5,8492.0,8566.0,32093
2025-06-16T11:15:00+05:30,8568.0,8595.0,8531.5,8554.5,27773
2025-06-16T12:15:00+05:30,8554.5,8585.0,8543.5,8563.5,12710
2025-06-16T13:15:00+05:30,8563.5,8585.0,8561.5,8577.5,13223
2025-06-16T14:15:00+05:30,8576.5,8577.0,8525.5,8530.0,36087
2025-06-16T15:15:00+05:30,8532.0,8541.5,8517.5,8538.0,24697
2025-06-17T09:15:00+05:30,8529.5,8529.5,8455.0,8459.5,60429
2025-06-17T10:15:00+05:30,8459.5,8489.0,8455.0,8471.5,24229
2025-06-17T11:15:00+05:30,8471.5,8492.0,8470.0,8478.5,42292
2025-06-17T12:15:00+05:30,8478.5,8540.5,8475.0,8519.0,49884
2025-06-17T13:15:00+05:30,8519.0,8554.0,8502.0,8540.0,34362
2025-06-17T14:15:00+05:30,8540.0,8540.0,8488.5,8495.5,40348
2025-06-17T15:15:00+05:30,8495.0,8513.0,8482.0,8500.0,33039
2025-06-18T09:15:00+05:30,8508.0,8657.5,8463.0,8635.0,129239
2025-06-18T10:15:00+05:30,8633.5,8640.0,8545.0,8556.5,53824
2025-06-18T11:15:00+05:30,8556.5,8561.5,8506.0,8529.0,39472
2025-06-18T12:15:00+05:30,8528.0,8542.0,8512.0,8521.0,33779
2025-06-18T13:15:00+05:30,8520.0,8539.0,8512.0,8525.5,99883
2025-06-18T14:15:00+05:30,8525.0,8533.0,8511.5,8521.0,35883
2025-06-18T15:15:00+05:30,8520.5,8521.5,8440.5,8447.5,168017
2025-06-19T09:15:00+05:30,8486.0,8516.5,8451.5,8513.0,78741
2025-06-19T10:15:00+05:30,8513.0,8555.0,8503.5,8542.5,42955
2025-06-19T11:15:00+05:30,8543.5,8549.5,8512.5,8542.0,42599
2025-06-19T12:15:00+05:30,8541.5,8544.0,8495.0,8500.0,34769
2025-06-19T13:15:00+05:30,8500.0,8510.0,8490.5,8500.0,28381
2025-06-19T14:15:00+05:30,8500.0,8515.0,8490.0,8502.5,55838
2025-06-19T15:15:00+05:30,8502.5,8503.5,8472.5,8493.0,47361
2025-06-20T09:15:00+05:30,8319.0,8337.5,8250.0,8327.0,134713
2025-06-20T10:15:00+05:30,8328.0,8343.5,8300.0,8312.5,42682
2025-06-20T11:15:00+05:30,8312.5,8370.5,8310.0,8365.0,104512
2025-06-20T12:15:00+05:30,8365.0,8403.0,8319.0,8392.0,83101
2025-06-20T13:15:00+05:30,8391.5,8396.0,8343.0,8354.5,24466
2025-06-20T14:15:00+05:30,8354.5,8387.5,8344.0,8368.5,100809
2025-06-20T15:15:00+05:30,8370.0,8379.0,8345.0,8345.0,72150
2025-06-23T09:15:00+05:30,8299.5,8328.5,8255.0,8265.0,57722
2025-06-23T10:15:00+05:30,8265.0,8309.5,8261.0,8302.5,28479
2025-06-23T11:15:00+05:30,8302.5,8320.5,8287.0,8314.5,36156
2025-06-23T12:15:00+05:30,8314.5,8319.0,8280.5,8291.0,44896
2025-06-23T13:15:00+05:30,8290.0,8312.5,8288.0,8289.0,31318
2025-06-23T14:15:00+05:30,8289.0,8296.0,8278.0,8293.5,48093
2025-06-23T15:15:00+05:30,8293.0,8296.5,8275.0,8277.0,20705
2025-06-24T09:15:00+05:30,8360.0,8410.0,8331.5,8399.0,77540
2025-06-24T10:15:00+05:30,8399.0,8408.0,8385.0,8402.0,16194
2025-06-24T11:15:00+05:30,8400.0,8420.0,8386.0,8409.0,25657
