timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2007.9,2029.7,1998.0,2011.1,457383
2025-06-16T10:15:00+05:30,2011.1,2026.0,2010.1,2022.1,190345
2025-06-16T11:15:00+05:30,2022.3,2027.7,2017.0,2026.5,166723
2025-06-16T12:15:00+05:30,2027.0,2027.2,2016.9,2020.0,134116
2025-06-16T13:15:00+05:30,2020.4,2040.0,2017.4,2036.0,227087
2025-06-16T14:15:00+05:30,2035.6,2036.0,2023.8,2029.1,316471
2025-06-16T15:15:00+05:30,2029.1,2029.5,2025.7,2027.0,145897
2025-06-17T09:15:00+05:30,2030.0,2033.9,2003.1,2011.0,271955
2025-06-17T10:15:00+05:30,2011.7,2024.5,2010.6,2021.0,163275
2025-06-17T11:15:00+05:30,2021.0,2025.9,2000.2,2001.0,304551
2025-06-17T12:15:00+05:30,2001.0,2004.1,1996.2,2001.3,117619
2025-06-17T13:15:00+05:30,2001.0,2006.3,2001.0,2004.5,56233
2025-06-17T14:15:00+05:30,2004.3,2005.5,2000.0,2005.0,190528
2025-06-17T15:15:00+05:30,2004.9,2005.2,1998.0,2001.0,113932
2025-06-18T09:15:00+05:30,2001.3,2018.0,1995.7,2013.5,142570
2025-06-18T10:15:00+05:30,2013.9,2017.0,1991.4,1995.0,249565
2025-06-18T11:15:00+05:30,1994.9,2000.0,1983.8,1997.9,338229
2025-06-18T12:15:00+05:30,1997.9,1997.9,1987.3,1990.0,101935
2025-06-18T13:15:00+05:30,1990.0,1990.4,1976.0,1980.9,237029
2025-06-18T14:15:00+05:30,1980.9,1986.1,1975.8,1981.7,228803
2025-06-18T15:15:00+05:30,1981.4,1982.1,1976.0,1979.0,101674
2025-06-19T09:15:00+05:30,1981.5,1994.9,1979.3,1986.5,156906
2025-06-19T10:15:00+05:30,1987.1,1996.2,1982.0,1986.8,95471
2025-06-19T11:15:00+05:30,1986.9,1987.0,1973.1,1979.9,105280
2025-06-19T12:15:00+05:30,1979.9,1980.0,1968.5,1974.7,85026
2025-06-19T13:15:00+05:30,1974.1,1978.7,1970.5,1974.9,67836
2025-06-19T14:15:00+05:30,1975.0,1977.2,1966.6,1967.9,147709
2025-06-19T15:15:00+05:30,1967.8,1970.3,1957.4,1957.4,85060
2025-06-20T09:15:00+05:30,1973.0,1998.9,1965.4,1974.9,223933
2025-06-20T10:15:00+05:30,1975.0,1992.0,1974.8,1984.4,336574
2025-06-20T11:15:00+05:30,1984.2,1989.0,1980.0,1980.4,166803
2025-06-20T12:15:00+05:30,1980.9,1983.0,1965.0,1973.1,231154
2025-06-20T13:15:00+05:30,1973.7,1985.1,1973.1,1981.8,158287
2025-06-20T14:15:00+05:30,1981.6,1991.3,1975.2,1987.8,445749
2025-06-20T15:15:00+05:30,1987.6,1989.6,1973.5,1976.8,366580
2025-06-23T09:15:00+05:30,1976.2,1982.0,1950.7,1956.2,346744
