timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,956.0,956.0,925.0,931.5,2929664
2025-06-16T10:15:00+05:30,931.0,940.5,930.0,937.0,902594
2025-06-16T11:15:00+05:30,937.0,940.5,934.5,940.5,659721
2025-06-16T12:15:00+05:30,940.5,940.5,937.0,938.5,453754
2025-06-16T13:15:00+05:30,938.5,940.5,937.5,940.0,467722
2025-06-16T14:15:00+05:30,939.5,940.5,935.0,938.0,821891
2025-06-16T15:15:00+05:30,938.0,940.0,937.0,938.5,662072
2025-06-17T09:15:00+05:30,941.5,943.5,923.5,927.0,1703149
2025-06-17T10:15:00+05:30,927.0,928.5,922.5,923.0,816731
2025-06-17T11:15:00+05:30,923.0,927.0,920.0,920.5,700489
2025-06-17T12:15:00+05:30,921.0,922.0,917.5,920.5,617931
2025-06-17T13:15:00+05:30,920.5,922.5,918.5,920.5,680181
2025-06-17T14:15:00+05:30,920.5,925.0,920.0,923.0,992867
2025-06-17T15:15:00+05:30,922.5,924.5,921.5,924.0,543489
2025-06-18T09:15:00+05:30,926.0,932.0,918.5,931.0,1581643
2025-06-18T10:15:00+05:30,931.0,932.5,922.0,924.0,714891
2025-06-18T11:15:00+05:30,924.0,927.0,920.0,925.0,555987
2025-06-18T12:15:00+05:30,925.5,926.5,921.0,922.5,386040
2025-06-18T13:15:00+05:30,922.5,923.0,915.5,917.5,507192
2025-06-18T14:15:00+05:30,917.0,920.5,915.0,920.0,860823
2025-06-18T15:15:00+05:30,920.0,920.0,917.0,918.0,353676
2025-06-19T09:15:00+05:30,919.0,922.5,913.0,915.0,707865
2025-06-19T10:15:00+05:30,914.5,918.5,913.5,916.0,351030
2025-06-19T11:15:00+05:30,916.0,917.0,906.5,908.0,739421
2025-06-19T12:15:00+05:30,908.0,908.0,902.5,903.5,1146921
2025-06-19T13:15:00+05:30,903.5,904.5,900.0,901.5,1128436
2025-06-19T14:15:00+05:30,901.5,904.0,898.0,901.5,1963088
2025-06-19T15:15:00+05:30,901.0,902.5,894.0,898.0,525233
2025-06-20T09:15:00+05:30,897.5,899.5,886.0,891.0,2316723
2025-06-20T10:15:00+05:30,891.0,903.5,891.0,901.5,2683412
2025-06-20T11:15:00+05:30,901.5,902.0,897.5,901.0,1039755
2025-06-20T12:15:00+05:30,901.0,902.0,895.0,896.5,942262
2025-06-20T13:15:00+05:30,897.0,901.0,896.5,900.5,1030097
2025-06-20T14:15:00+05:30,900.0,907.0,898.5,906.0,3392048
2025-06-20T15:15:00+05:30,906.0,907.5,901.0,902.0,2873471
2025-06-23T09:15:00+05:30,899.0,903.0,890.5,898.5,1285160
2025-06-23T10:15:00+05:30,899.0,908.0,897.0,904.0,826275
2025-06-23T11:15:00+05:30,904.5,913.5,903.0,912.0,1026602
2025-06-23T12:15:00+05:30,912.0,913.0,906.0,910.5,600106
2025-06-23T13:15:00+05:30,910.5,917.5,910.0,915.5,816122
