timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2463.0,2463.3,2417.0,2428.6,37696
2025-06-16T10:15:00+05:30,2428.2,2443.3,2427.8,2440.0,31954
2025-06-16T11:15:00+05:30,2440.0,2457.9,2440.0,2453.8,26077
2025-06-16T12:15:00+05:30,2453.8,2456.4,2448.0,2452.5,20820
2025-06-16T13:15:00+05:30,2453.0,2467.9,2449.0,2462.8,25819
2025-06-16T14:15:00+05:30,2463.2,2464.7,2454.0,2462.6,41989
2025-06-16T15:15:00+05:30,2462.6,2463.2,2448.1,2453.9,19284
2025-06-17T09:15:00+05:30,2463.0,2481.6,2445.1,2460.9,48053
2025-06-17T10:15:00+05:30,2461.5,2473.3,2460.0,2469.6,19008
2025-06-17T11:15:00+05:30,2469.6,2471.9,2456.3,2458.0,10421
2025-06-17T12:15:00+05:30,2458.2,2461.2,2444.2,2450.8,10696
2025-06-17T13:15:00+05:30,2450.0,2456.9,2447.2,2455.1,9091
2025-06-17T14:15:00+05:30,2455.0,2455.0,2447.2,2450.2,17650
2025-06-17T15:15:00+05:30,2450.1,2450.1,2441.0,2441.0,10691
2025-06-18T09:15:00+05:30,2453.7,2454.8,2436.6,2447.2,27863
2025-06-18T10:15:00+05:30,2448.5,2449.3,2431.0,2443.1,20196
2025-06-18T11:15:00+05:30,2443.1,2448.4,2432.0,2445.6,13375
2025-06-18T12:15:00+05:30,2445.6,2447.9,2434.9,2439.0,69438
2025-06-18T13:15:00+05:30,2438.8,2441.7,2434.5,2437.8,17065
2025-06-18T14:15:00+05:30,2437.8,2444.3,2435.9,2444.1,31378
2025-06-18T15:15:00+05:30,2444.1,2447.4,2442.8,2445.0,19222
2025-06-19T09:15:00+05:30,2447.9,2467.5,2445.4,2455.1,26470
2025-06-19T10:15:00+05:30,2455.1,2464.1,2445.1,2461.3,20440
2025-06-19T11:15:00+05:30,2459.9,2467.0,2452.8,2456.4,40141
2025-06-19T12:15:00+05:30,2455.7,2456.3,2427.1,2430.0,14543
