timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,175.18,175.79,172.0,173.33,2031697
2025-06-16T10:15:00+05:30,173.39,174.83,173.28,174.52,415432
2025-06-16T11:15:00+05:30,174.55,175.87,174.13,175.65,481623
2025-06-16T12:15:00+05:30,175.68,176.4,175.62,176.3,667727
2025-06-16T13:15:00+05:30,176.3,178.3,176.17,178.28,1101998
2025-06-16T14:15:00+05:30,178.24,178.81,177.8,178.44,2183622
2025-06-16T15:15:00+05:30,178.45,178.8,178.02,178.32,941881
2025-06-17T09:15:00+05:30,178.33,179.9,177.02,177.87,1056100
2025-06-17T10:15:00+05:30,177.8,179.0,177.65,178.64,671007
2025-06-17T11:15:00+05:30,178.64,178.7,176.9,177.14,447109
2025-06-17T12:15:00+05:30,177.12,177.32,175.65,176.16,413426
2025-06-17T13:15:00+05:30,176.16,176.6,175.75,176.06,262107
2025-06-17T14:15:00+05:30,176.05,176.07,174.79,174.94,604561
2025-06-17T15:15:00+05:30,174.98,175.25,174.25,174.98,391375
2025-06-18T09:15:00+05:30,175.9,181.67,175.57,179.0,5442224
2025-06-18T10:15:00+05:30,179.05,179.55,177.82,178.59,1779681
2025-06-18T11:15:00+05:30,178.54,180.62,177.34,180.18,2049661
2025-06-18T12:15:00+05:30,180.18,181.0,179.76,180.39,2452009
2025-06-18T13:15:00+05:30,180.42,181.29,180.2,180.93,1808294
2025-06-18T14:15:00+05:30,180.94,181.2,179.82,180.87,2807764
2025-06-18T15:15:00+05:30,180.87,180.95,180.0,180.15,1198599
2025-06-19T09:15:00+05:30,180.65,180.65,179.0,179.38,1439459
2025-06-19T10:15:00+05:30,179.32,180.75,179.1,180.74,1395318
2025-06-19T11:15:00+05:30,180.75,180.77,178.8,179.23,1406623
2025-06-19T12:15:00+05:30,179.15,179.23,177.66,178.23,1305171
2025-06-19T13:15:00+05:30,178.21,178.85,177.2,178.7,1017281
2025-06-19T14:15:00+05:30,178.6,179.54,178.12,178.45,1504342
2025-06-19T15:15:00+05:30,178.47,178.66,177.0,177.0,700757
2025-06-20T09:15:00+05:30,177.52,179.36,177.5,178.35,788928
2025-06-20T10:15:00+05:30,178.45,181.18,178.36,180.95,850021
2025-06-20T11:15:00+05:30,180.95,181.2,180.19,180.33,444325
2025-06-20T12:15:00+05:30,180.3,180.38,179.43,179.76,323593
2025-06-20T13:15:00+05:30,179.76,180.38,179.68,180.1,335676
2025-06-20T14:15:00+05:30,180.15,180.35,179.4,179.98,691410
2025-06-20T15:15:00+05:30,179.98,180.38,179.25,179.25,444021
2025-06-23T09:15:00+05:30,178.01,179.4,177.44,178.5,1341968
2025-06-23T10:15:00+05:30,178.42,179.5,177.7,178.72,1907182
2025-06-23T11:15:00+05:30,178.66,179.1,178.04,178.89,410898
