timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,238.99,244.95,236.3,236.9,1826094
2025-06-16T10:15:00+05:30,236.93,238.27,236.81,237.78,1405152
2025-06-16T11:15:00+05:30,237.8,239.4,237.47,239.27,602418
2025-06-16T12:15:00+05:30,239.27,239.5,237.78,239.17,939639
2025-06-16T13:15:00+05:30,239.2,241.1,239.07,240.79,1104086
2025-06-16T14:15:00+05:30,240.8,240.99,240.28,240.55,758342
2025-06-16T15:15:00+05:30,240.53,241.04,240.49,240.92,585003
2025-06-17T09:15:00+05:30,240.9,242.78,239.52,240.96,1382694
2025-06-17T10:15:00+05:30,241.0,241.25,239.41,239.56,736876
2025-06-17T11:15:00+05:30,239.62,239.85,238.5,239.0,904884
2025-06-17T12:15:00+05:30,239.0,239.07,237.5,238.14,785233
2025-06-17T13:15:00+05:30,238.12,238.87,237.75,238.69,961420
2025-06-17T14:15:00+05:30,238.59,238.8,237.95,238.19,1415086
2025-06-17T15:15:00+05:30,238.18,238.26,237.6,237.8,1058275
2025-06-18T09:15:00+05:30,238.04,239.63,237.08,239.15,1001385
2025-06-18T10:15:00+05:30,239.15,239.2,237.5,238.5,1681854
2025-06-18T11:15:00+05:30,238.41,238.78,237.51,238.3,473497
2025-06-18T12:15:00+05:30,238.27,238.41,236.31,236.98,1116203
2025-06-18T13:15:00+05:30,236.88,237.28,236.07,236.1,674303
2025-06-18T14:15:00+05:30,236.12,237.04,235.59,236.64,1022897
2025-06-18T15:15:00+05:30,236.64,236.78,236.1,236.2,672261
2025-06-19T09:15:00+05:30,236.54,236.99,232.7,233.26,2470514
2025-06-19T10:15:00+05:30,233.16,233.3,231.18,231.8,1966871
2025-06-19T11:15:00+05:30,231.73,233.02,231.11,231.6,1922001
2025-06-19T12:15:00+05:30,231.65,233.05,230.52,232.23,2100164
2025-06-19T13:15:00+05:30,232.25,232.74,231.84,232.5,1109022
2025-06-19T14:15:00+05:30,232.5,233.48,231.51,231.62,1535671
2025-06-19T15:15:00+05:30,231.62,231.83,231.03,231.4,948280
2025-06-20T09:15:00+05:30,231.31,233.79,231.31,232.06,890121
2025-06-20T10:15:00+05:30,232.17,235.92,232.09,235.92,1455333
2025-06-20T11:15:00+05:30,235.9,236.95,234.4,234.71,970503
2025-06-20T12:15:00+05:30,234.71,235.01,233.23,233.68,842300
2025-06-20T13:15:00+05:30,233.76,234.0,232.63,232.75,646509
2025-06-20T14:15:00+05:30,232.75,234.48,232.5,234.16,1971323
2025-06-20T15:15:00+05:30,234.05,234.97,234.0,234.3,1372104
2025-06-23T09:15:00+05:30,231.99,234.18,231.89,233.25,988798
2025-06-23T10:15:00+05:30,233.29,233.93,232.05,233.87,653976
2025-06-23T11:15:00+05:30,233.85,235.4,233.59,234.22,898255
2025-06-23T12:15:00+05:30,234.22,234.85,234.05,234.46,382256
2025-06-23T13:15:00+05:30,234.46,235.79,234.38,235.29,739234
2025-06-23T14:15:00+05:30,235.27,235.34,233.71,233.73,1458563
2025-06-23T15:15:00+05:30,233.78,234.12,233.1,233.9,540438
2025-06-24T09:15:00+05:30,236.17,240.6,236.02,239.11,2413530
2025-06-24T10:15:00+05:30,239.11,239.98,238.98,239.43,560764
2025-06-24T11:15:00+05:30,239.51,240.28,239.3,239.71,489539
2025-06-24T12:15:00+05:30,239.75,239.9,239.0,239.1,569112
2025-06-24T13:15:00+05:30,239.1,239.49,237.5,237.82,1007198
2025-06-24T14:15:00+05:30,237.82,238.45,237.6,237.69,743403
2025-06-24T15:15:00+05:30,237.66,237.98,237.4,237.6,555992
2025-06-25T09:15:00+05:30,238.9,239.85,238.0,238.9,772424
2025-06-25T10:15:00+05:30,238.9,240.05,238.6,238.94,1005974
2025-06-25T11:15:00+05:30,238.97,240.0,238.96,239.45,589936
2025-06-25T12:15:00+05:30,239.5,240.98,239.4,239.76,1204842
2025-06-25T13:15:00+05:30,239.85,239.87,239.0,239.01,424411
2025-06-25T14:15:00+05:30,239.01,239.24,238.76,238.98,517047
2025-06-25T15:15:00+05:30,239.03,239.69,238.81,239.1,344811
2025-06-26T09:15:00+05:30,239.56,239.95,236.25,236.75,1595077
2025-06-26T10:15:00+05:30,236.83,237.0,235.62,235.76,1152900
2025-06-26T11:15:00+05:30,235.75,238.45,235.11,237.35,1407566
2025-06-26T12:15:00+05:30,237.4,237.64,236.43,236.89,628247
2025-06-26T13:15:00+05:30,236.92,237.53,236.62,237.09,553837
2025-06-26T14:15:00+05:30,237.18,239.36,237.07,239.14,2308095
2025-06-26T15:15:00+05:30,239.13,240.0,239.03,239.6,1274466
2025-06-27T09:15:00+05:30,239.34,243.8,239.01,242.42,2834871
2025-06-27T10:15:00+05:30,242.45,245.09,242.12,243.51,2492670
2025-06-27T11:15:00+05:30,243.51,243.6,242.51,243.12,686807
2025-06-27T12:15:00+05:30,243.16,243.33,242.12,242.3,398925
2025-06-27T13:15:00+05:30,242.3,242.49,241.6,241.71,692483
2025-06-27T14:15:00+05:30,241.71,242.15,240.76,241.57,5276656
2025-06-27T15:15:00+05:30,241.57,242.0,241.13,241.99,3614420
2025-06-30T09:15:00+05:30,242.45,248.5,242.31,248.01,6207683
2025-06-30T10:15:00+05:30,248.01,249.0,246.81,247.6,3247466
2025-06-30T11:15:00+05:30,247.61,249.68,247.29,248.0,2242066
2025-06-30T12:15:00+05:30,248.0,248.69,247.21,248.49,884428
2025-06-30T13:15:00+05:30,248.49,249.45,247.41,248.04,2286171
2025-06-30T14:15:00+05:30,247.92,249.15,247.55,248.87,2144235
2025-06-30T15:15:00+05:30,248.83,249.16,248.01,248.5,1991718
2025-07-01T09:15:00+05:30,248.79,249.39,244.55,244.55,2143965
2025-07-01T10:15:00+05:30,244.6,245.37,243.52,245.34,1741103
2025-07-01T11:15:00+05:30,245.27,245.58,244.11,244.42,946502
2025-07-01T12:15:00+05:30,244.53,247.74,244.23,247.1,2449536
2025-07-01T13:15:00+05:30,247.0,247.71,246.36,247.45,2267929
2025-07-01T14:15:00+05:30,247.4,247.89,246.85,247.5,1854438
2025-07-01T15:15:00+05:30,247.5,247.95,246.84,247.52,1330472
2025-07-02T09:15:00+05:30,247.7,247.78,242.7,243.12,8169016
2025-07-02T10:15:00+05:30,243.12,244.32,242.86,244.11,2300172
2025-07-02T11:15:00+05:30,244.15,245.52,243.7,244.97,1287525
2025-07-02T12:15:00+05:30,244.91,245.18,243.35,243.61,815030
2025-07-02T13:15:00+05:30,243.69,243.74,242.0,242.7,2049070
2025-07-02T14:15:00+05:30,242.66,243.49,242.49,243.0,1105980
2025-07-02T15:15:00+05:30,243.04,243.3,242.6,242.99,657781
2025-07-03T09:15:00+05:30,243.89,244.7,242.3,242.79,1385117
2025-07-03T10:15:00+05:30,242.81,243.5,241.8,242.14,1061394
2025-07-03T11:15:00+05:30,242.14,242.88,242.0,242.81,449815
2025-07-03T12:15:00+05:30,242.81,242.96,241.23,242.42,1366519
2025-07-03T13:15:00+05:30,242.42,243.33,242.04,242.92,631542
2025-07-03T14:15:00+05:30,242.9,243.18,241.68,242.68,1044206
2025-07-03T15:15:00+05:30,242.68,242.72,241.81,242.1,617388
2025-07-04T09:15:00+05:30,243.21,243.54,239.93,240.7,4631171
2025-07-04T10:15:00+05:30,240.74,241.29,240.5,240.65,939121
2025-07-04T11:15:00+05:30,240.65,240.65,239.25,239.98,1059671
2025-07-04T12:15:00+05:30,239.98,240.7,239.73,240.6,520015
2025-07-04T13:15:00+05:30,240.6,240.65,239.73,240.15,1580674
2025-07-04T14:15:00+05:30,240.13,241.41,239.62,240.79,1775992
2025-07-04T15:15:00+05:30,240.75,240.9,240.4,240.79,808059
2025-07-07T09:15:00+05:30,240.9,244.19,240.11,243.61,2132549
2025-07-07T10:15:00+05:30,243.72,245.0,243.53,244.01,1365031
2025-07-07T11:15:00+05:30,244.01,244.26,242.75,242.78,639489
2025-07-07T12:15:00+05:30,242.8,243.13,241.58,241.68,2144656
2025-07-07T13:15:00+05:30,241.68,241.85,241.02,241.23,520521
2025-07-07T14:15:00+05:30,241.23,241.41,240.67,240.96,973805
2025-07-07T15:15:00+05:30,240.97,241.8,240.89,241.8,603342
2025-07-08T09:15:00+05:30,242.27,242.27,239.6,240.11,1344525
2025-07-08T10:15:00+05:30,240.17,240.49,239.1,239.23,625096
2025-07-08T11:15:00+05:30,239.26,239.59,238.41,238.63,713030
2025-07-08T12:15:00+05:30,238.62,239.99,238.48,239.5,690655
2025-07-08T13:15:00+05:30,239.45,239.76,238.7,238.78,495922
2025-07-08T14:15:00+05:30,238.86,239.99,238.4,239.9,1334141
2025-07-08T15:15:00+05:30,239.9,239.99,239.62,239.88,637268
2025-07-09T09:15:00+05:30,240.2,241.6,239.39,241.09,1232703
2025-07-09T10:15:00+05:30,241.02,242.1,240.99,241.62,694165
2025-07-09T11:15:00+05:30,241.63,241.75,240.72,241.05,412723
