timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1905.2,1916.5,1816.6,1835.4,1462650
2025-06-16T10:15:00+05:30,1836.1,1845.8,1827.1,1840.1,445126
2025-06-16T11:15:00+05:30,1840.1,1873.8,1840.0,1866.2,561458
2025-06-16T12:15:00+05:30,1865.4,1885.4,1861.0,1882.2,344789
2025-06-16T13:15:00+05:30,1882.8,1901.9,1878.5,1891.4,376910
2025-06-16T14:15:00+05:30,1892.2,1895.9,1879.6,1889.3,263009
2025-06-16T15:15:00+05:30,1890.0,1892.0,1878.0,1883.9,176378
2025-06-17T09:15:00+05:30,1890.9,1921.7,1878.4,1917.2,914807
2025-06-17T10:15:00+05:30,1917.0,1939.0,1914.0,1937.5,603688
2025-06-17T11:15:00+05:30,1937.5,1941.0,1908.4,1910.9,510877
2025-06-17T12:15:00+05:30,1910.9,1920.0,1897.0,1902.6,349289
2025-06-17T13:15:00+05:30,1902.6,1912.0,1901.4,1908.4,153706
2025-06-17T14:15:00+05:30,1908.4,1910.0,1900.9,1905.1,217788
2025-06-17T15:15:00+05:30,1905.1,1907.5,1898.0,1902.0,157128
2025-06-18T09:15:00+05:30,1906.6,1935.9,1894.2,1931.3,753926
2025-06-18T10:15:00+05:30,1931.6,1933.0,1902.5,1908.0,408093
2025-06-18T11:15:00+05:30,1907.9,1925.0,1891.6,1917.5,355232
2025-06-18T12:15:00+05:30,1917.5,1918.0,1905.2,1909.9,160074
2025-06-18T13:15:00+05:30,1910.5,1917.0,1908.0,1908.7,146835
2025-06-18T14:15:00+05:30,1908.9,1911.0,1902.0,1906.4,219748
2025-06-18T15:15:00+05:30,1906.3,1910.0,1899.8,1902.0,167840
2025-06-19T09:15:00+05:30,1909.0,1952.9,1904.6,1929.5,1709104
2025-06-19T10:15:00+05:30,1929.5,1930.5,1910.0,1916.2,524872
2025-06-19T11:15:00+05:30,1917.0,1918.8,1890.0,1892.5,422167
2025-06-19T12:15:00+05:30,1892.5,1893.8,1868.0,1876.7,409907
2025-06-19T13:15:00+05:30,1876.3,1897.4,1868.0,1892.6,335586
2025-06-19T14:15:00+05:30,1892.7,1901.8,1881.4,1885.9,352313
2025-06-19T15:15:00+05:30,1885.9,1889.8,1878.4,1880.0,195419
2025-06-20T09:15:00+05:30,1888.6,1902.7,1857.0,1878.8,780672
2025-06-20T10:15:00+05:30,1878.1,1895.0,1878.0,1886.8,187852
2025-06-20T11:15:00+05:30,1887.5,1909.2,1885.2,1899.1,341243
2025-06-20T12:15:00+05:30,1899.9,1903.0,1879.7,1887.1,227948
2025-06-20T13:15:00+05:30,1886.0,1893.5,1885.2,1887.1,83623
2025-06-20T14:15:00+05:30,1887.0,1905.0,1885.1,1901.3,399683
2025-06-20T15:15:00+05:30,1901.5,1907.7,1897.8,1903.0,193497
2025-06-23T09:15:00+05:30,1902.1,1941.9,1895.2,1915.0,1309773
2025-06-23T10:15:00+05:30,1915.5,1926.0,1911.0,1925.9,338354
2025-06-23T11:15:00+05:30,1925.8,1949.5,1920.7,1947.0,800041
2025-06-23T12:15:00+05:30,1947.4,1948.6,1937.0,1938.7,376790
2025-06-23T13:15:00+05:30,1938.2,1945.0,1932.1,1943.9,291880
2025-06-23T14:15:00+05:30,1943.9,1952.0,1926.0,1928.0,565893
2025-06-23T15:15:00+05:30,1927.4,1938.9,1925.4,1938.0,193765
2025-06-24T09:15:00+05:30,1939.9,1941.9,1855.0,1858.9,1626405
2025-06-24T10:15:00+05:30,1858.9,1864.7,1850.0,1862.2,363278
2025-06-24T11:15:00+05:30,1862.2,1875.0,1859.9,1872.2,287040
2025-06-24T12:15:00+05:30,1872.3,1880.0,1868.3,1874.6,266346
2025-06-24T13:15:00+05:30,1874.0,1877.0,1851.8,1858.7,441487
2025-06-24T14:15:00+05:30,1858.7,1865.8,1851.8,1853.0,377575
2025-06-24T15:15:00+05:30,1853.7,1854.1,1846.7,1853.0,285416
2025-06-25T09:15:00+05:30,1858.8,1864.5,1831.0,1838.3,878672
2025-06-25T10:15:00+05:30,1839.1,1856.5,1836.0,1837.0,299762
2025-06-25T11:15:00+05:30,1837.0,1840.6,1822.1,1824.5,229790
2025-06-25T12:15:00+05:30,1824.5,1828.5,1817.0,1819.3,220740
2025-06-25T13:15:00+05:30,1819.1,1819.5,1802.0,1807.4,326166
2025-06-25T14:15:00+05:30,1807.4,1818.0,1800.0,1817.1,479710
2025-06-25T15:15:00+05:30,1817.9,1825.0,1811.7,1823.0,222480
2025-06-26T09:15:00+05:30,1831.8,1856.9,1815.0,1815.0,864445
2025-06-26T10:15:00+05:30,1815.3,1827.0,1815.0,1818.4,185680
2025-06-26T11:15:00+05:30,1818.2,1830.0,1811.5,1819.7,203971
2025-06-26T12:15:00+05:30,1818.8,1823.8,1814.0,1815.9,106931
2025-06-26T13:15:00+05:30,1815.6,1818.1,1811.5,1816.9,101808
2025-06-26T14:15:00+05:30,1816.5,1834.8,1816.1,1826.9,367578
2025-06-26T15:15:00+05:30,1826.6,1829.0,1823.1,1826.9,124102
2025-06-27T09:15:00+05:30,1834.5,1860.6,1827.3,1854.0,529380
2025-06-27T10:15:00+05:30,1854.6,1869.1,1850.8,1863.0,363818
2025-06-27T11:15:00+05:30,1863.0,1872.0,1858.5,1864.7,186397
2025-06-27T12:15:00+05:30,1864.8,1874.8,1863.9,1866.9,168344
2025-06-27T13:15:00+05:30,1867.4,1877.9,1862.1,1876.0,222163
2025-06-27T14:15:00+05:30,1876.0,1889.0,1865.0,1887.0,965964
2025-06-27T15:15:00+05:30,1887.5,1907.0,1883.6,1896.2,734482
2025-06-30T09:15:00+05:30,1899.0,1939.0,1883.6,1923.3,919954
2025-06-30T10:15:00+05:30,1923.0,1954.9,1922.0,1935.5,722556
2025-06-30T11:15:00+05:30,1936.0,1950.7,1934.1,1947.5,267806
2025-06-30T12:15:00+05:30,1947.1,1952.0,1938.3,1946.6,321967
2025-06-30T13:15:00+05:30,1946.5,1949.5,1927.0,1935.5,264772
2025-06-30T14:15:00+05:30,1935.5,1939.9,1930.2,1938.9,264436
2025-06-30T15:15:00+05:30,1939.3,1948.7,1938.5,1947.0,271090
2025-07-01T09:15:00+05:30,1962.5,2009.5,1957.0,1993.1,2240281
2025-07-01T10:15:00+05:30,1993.9,2002.0,1978.2,1986.0,630051
2025-07-01T11:15:00+05:30,1985.7,1999.7,1984.4,1986.0,294933
2025-07-01T12:15:00+05:30,1986.0,2001.0,1983.0,1987.3,339699
2025-07-01T13:15:00+05:30,1987.0,1988.0,1978.0,1987.0,208795
2025-07-01T14:15:00+05:30,1986.5,1987.9,1976.7,1978.2,244016
2025-07-01T15:15:00+05:30,1978.1,1984.0,1975.0,1983.0,258399
2025-07-02T09:15:00+05:30,1985.0,1986.7,1956.0,1971.6,619016
2025-07-02T10:15:00+05:30,1971.6,1996.2,1970.0,1989.0,445984
2025-07-02T11:15:00+05:30,1989.1,1995.0,1980.0,1981.7,220985
2025-07-02T12:15:00+05:30,1981.6,1982.4,1960.0,1960.0,231606
2025-07-02T13:15:00+05:30,1960.0,1971.0,1947.0,1969.3,253254
2025-07-02T14:15:00+05:30,1969.9,1976.9,1964.7,1975.0,188327
2025-07-02T15:15:00+05:30,1974.9,1980.0,1972.2,1975.0,137661
2025-07-03T09:15:00+05:30,1964.9,1967.2,1906.6,1955.0,1672112
2025-07-03T10:15:00+05:30,1955.0,1958.4,1948.1,1956.0,259186
2025-07-03T11:15:00+05:30,1955.9,1971.0,1954.4,1969.0,329553
2025-07-03T12:15:00+05:30,1969.9,1982.7,1965.1,1974.9,355094
2025-07-03T13:15:00+05:30,1975.0,1979.7,1968.4,1974.0,224388
2025-07-03T14:15:00+05:30,1974.0,1975.0,1963.0,1964.5,252967
2025-07-03T15:15:00+05:30,1964.7,1968.0,1963.0,1964.5,147362
2025-07-04T09:15:00+05:30,1988.0,2013.5,1980.0,1989.7,1529444
2025-07-04T10:15:00+05:30,1989.5,2004.0,1975.0,1999.8,506636
2025-07-04T11:15:00+05:30,1999.0,2006.0,1978.0,1987.1,912621
2025-07-04T12:15:00+05:30,1987.9,1988.0,1980.0,1983.6,105009
2025-07-04T13:15:00+05:30,1984.0,1984.1,1977.8,1980.3,125684
2025-07-04T14:15:00+05:30,1980.2,1981.2,1970.8,1978.3,284713
2025-07-04T15:15:00+05:30,1978.9,1984.0,1971.0,1974.0,241669
2025-07-07T09:15:00+05:30,1972.0,1972.7,1927.0,1948.9,654629
2025-07-07T10:15:00+05:30,1948.1,1951.8,1941.5,1944.8,118227
2025-07-07T11:15:00+05:30,1945.0,1961.0,1943.6,1950.0,199138
2025-07-07T12:15:00+05:30,1950.0,1956.0,1948.0,1954.0,76367
2025-07-07T13:15:00+05:30,1954.7,1957.0,1951.3,1951.7,108548
2025-07-07T14:15:00+05:30,1952.0,1952.0,1941.0,1945.9,164366
2025-07-07T15:15:00+05:30,1945.9,1946.1,1936.5,1938.0,112930
2025-07-08T09:15:00+05:30,1940.5,1963.5,1935.4,1941.0,366784
2025-07-08T10:15:00+05:30,1942.0,1955.7,1940.7,1948.8,140020
2025-07-08T11:15:00+05:30,1948.7,1954.0,1945.0,1948.9,91787
2025-07-08T12:15:00+05:30,1948.9,1957.9,1946.2,1954.3,90836
