timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1312.0,1318.3,1295.2,1306.8,186086
2025-06-16T10:15:00+05:30,1307.0,1314.9,1305.8,1313.9,45668
2025-06-16T11:15:00+05:30,1313.9,1316.9,1309.2,1312.1,54536
2025-06-16T12:15:00+05:30,1312.6,1315.0,1301.7,1313.4,84441
2025-06-16T13:15:00+05:30,1313.4,1325.0,1311.0,1323.4,163860
2025-06-16T14:15:00+05:30,1323.6,1325.0,1317.7,1323.2,121421
2025-06-16T15:15:00+05:30,1323.0,1323.5,1317.3,1319.0,82137
2025-06-17T09:15:00+05:30,1321.9,1324.9,1311.1,1318.1,68604
2025-06-17T10:15:00+05:30,1318.5,1322.9,1316.0,1316.1,52505
2025-06-17T11:15:00+05:30,1316.1,1316.1,1303.0,1304.6,71696
2025-06-17T12:15:00+05:30,1305.4,1308.9,1299.3,1301.3,79108
2025-06-17T13:15:00+05:30,1300.2,1307.0,1298.1,1304.7,77421
2025-06-17T14:15:00+05:30,1304.7,1304.9,1298.0,1301.6,125691
2025-06-17T15:15:00+05:30,1301.1,1303.0,1295.0,1298.6,84091
2025-06-18T09:15:00+05:30,1320.5,1321.1,1302.5,1306.8,529407
2025-06-18T10:15:00+05:30,1306.4,1308.0,1293.7,1299.0,95483
2025-06-18T11:15:00+05:30,1299.2,1305.5,1296.3,1303.6,103896
2025-06-18T12:15:00+05:30,1303.5,1303.5,1294.2,1299.3,64611
2025-06-18T13:15:00+05:30,1299.2,1300.4,1295.1,1295.3,53875
2025-06-18T14:15:00+05:30,1295.3,1302.1,1290.6,1298.4,149985
2025-06-18T15:15:00+05:30,1298.4,1298.9,1293.9,1294.8,85525
2025-06-19T09:15:00+05:30,1298.9,1307.4,1294.1,1296.8,96118
2025-06-19T10:15:00+05:30,1296.1,1296.3,1284.0,1288.4,60160
2025-06-19T11:15:00+05:30,1288.3,1289.3,1283.2,1285.6,85448
2025-06-19T12:15:00+05:30,1285.6,1286.6,1274.2,1274.8,74462
2025-06-19T13:15:00+05:30,1274.8,1278.8,1273.0,1277.6,53295
2025-06-19T14:15:00+05:30,1277.8,1282.5,1275.6,1277.8,127654
2025-06-19T15:15:00+05:30,1278.2,1279.0,1275.0,1275.0,51733
2025-06-20T09:15:00+05:30,1272.0,1283.6,1269.0,1276.2,144596
2025-06-20T10:15:00+05:30,1276.9,1284.3,1273.1,1281.9,92306
2025-06-20T11:15:00+05:30,1281.8,1283.1,1278.0,1282.2,30290
2025-06-20T12:15:00+05:30,1282.3,1282.4,1273.2,1275.5,46698
2025-06-20T13:15:00+05:30,1275.7,1279.8,1274.2,1275.4,74949
2025-06-20T14:15:00+05:30,1275.4,1280.1,1272.0,1276.4,319518
2025-06-20T15:15:00+05:30,1276.4,1281.3,1275.0,1275.3,194339
2025-06-23T09:15:00+05:30,1275.3,1298.0,1275.3,1285.9,1246778
2025-06-23T10:15:00+05:30,1285.3,1290.0,1278.7,1285.7,558312
2025-06-23T11:15:00+05:30,1286.2,1293.9,1284.2,1291.8,302279
2025-06-23T12:15:00+05:30,1291.8,1297.0,1288.6,1290.6,141955
2025-06-23T13:15:00+05:30,1291.2,1298.7,1290.1,1293.3,134214
2025-06-23T14:15:00+05:30,1293.9,1295.7,1290.3,1295.2,226012
2025-06-23T15:15:00+05:30,1295.6,1305.0,1291.4,1305.0,265775
2025-06-24T09:15:00+05:30,1310.0,1316.9,1300.0,1311.0,496797
2025-06-24T10:15:00+05:30,1310.9,1312.7,1292.1,1293.5,152492
2025-06-24T11:15:00+05:30,1293.0,1301.5,1287.5,1300.0,115948
2025-06-24T12:15:00+05:30,1300.6,1300.9,1294.1,1297.4,100987
2025-06-24T13:15:00+05:30,1297.9,1303.2,1291.0,1293.6,94264
2025-06-24T14:15:00+05:30,1293.7,1301.1,1293.4,1296.2,164641
2025-06-24T15:15:00+05:30,1296.6,1296.6,1292.3,1295.9,107286
