timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,253.1,254.4,248.2,249.9,1555438
2025-06-16T10:15:00+05:30,249.9,252.9,249.75,252.6,690451
2025-06-16T11:15:00+05:30,252.6,253.4,252.05,253.0,409732
2025-06-16T12:15:00+05:30,253.0,255.4,252.2,254.65,1007287
2025-06-16T13:15:00+05:30,254.75,255.55,253.9,255.5,471941
2025-06-16T14:15:00+05:30,255.45,256.25,254.3,254.65,749574
2025-06-16T15:15:00+05:30,254.6,254.75,253.85,254.0,532555
2025-06-17T09:15:00+05:30,254.95,256.5,253.75,255.7,949103
2025-06-17T10:15:00+05:30,255.7,256.3,254.0,254.5,522833
2025-06-17T11:15:00+05:30,254.6,254.8,251.75,252.5,456267
2025-06-17T12:15:00+05:30,252.6,252.85,250.7,251.4,372485
2025-06-17T13:15:00+05:30,251.3,252.45,250.85,252.1,284253
2025-06-17T14:15:00+05:30,252.2,252.8,251.8,252.3,724656
2025-06-17T15:15:00+05:30,252.35,252.8,251.55,252.15,445441
2025-06-18T09:15:00+05:30,252.3,255.25,250.25,254.8,1255632
2025-06-18T10:15:00+05:30,254.9,254.95,251.85,252.65,744905
2025-06-18T11:15:00+05:30,252.8,252.9,251.25,252.55,392116
2025-06-18T12:15:00+05:30,252.75,252.75,250.4,251.6,342562
2025-06-18T13:15:00+05:30,251.6,252.5,251.05,251.25,318558
2025-06-18T14:15:00+05:30,251.1,252.4,250.45,251.7,726792
2025-06-18T15:15:00+05:30,251.7,252.25,251.1,251.3,506335
2025-06-19T09:15:00+05:30,251.3,253.0,250.05,250.2,875857
2025-06-19T10:15:00+05:30,250.2,250.25,248.0,248.6,563137
2025-06-19T11:15:00+05:30,248.6,248.8,246.55,246.55,583526
2025-06-19T12:15:00+05:30,246.55,248.1,244.0,244.0,1572979
2025-06-19T13:15:00+05:30,244.0,246.8,243.5,246.75,968171
2025-06-19T14:15:00+05:30,246.75,248.45,246.55,247.25,1302912
2025-06-19T15:15:00+05:30,247.4,247.55,245.2,245.95,618405
2025-06-20T09:15:00+05:30,247.1,250.95,246.85,249.5,1129777
2025-06-20T10:15:00+05:30,249.5,251.95,249.5,251.15,728775
2025-06-20T11:15:00+05:30,251.2,251.9,249.95,250.85,604073
2025-06-20T12:15:00+05:30,250.85,250.95,248.7,248.8,936696
2025-06-20T13:15:00+05:30,248.75,249.85,247.9,247.9,559282
2025-06-20T14:15:00+05:30,247.9,250.75,247.9,250.0,1858609
2025-06-20T15:15:00+05:30,250.1,252.2,249.35,250.0,1520334
2025-06-23T09:15:00+05:30,248.4,254.45,248.15,253.0,2329026
2025-06-23T10:15:00+05:30,253.0,253.65,252.15,253.1,743538
2025-06-23T11:15:00+05:30,253.1,253.45,252.4,253.2,461379
2025-06-23T12:15:00+05:30,253.1,255.5,252.75,255.1,1360096
2025-06-23T13:15:00+05:30,255.1,255.2,254.2,254.3,482450
2025-06-23T14:15:00+05:30,254.3,254.7,253.3,253.6,745300
2025-06-23T15:15:00+05:30,253.65,254.2,253.0,253.3,420703
2025-06-24T09:15:00+05:30,255.9,262.8,254.2,261.6,4780198
2025-06-24T10:15:00+05:30,261.75,261.85,259.65,259.9,1360049
2025-06-24T11:15:00+05:30,259.75,262.4,259.75,262.05,1484071
2025-06-24T12:15:00+05:30,262.0,263.8,260.85,263.25,1570430
2025-06-24T13:15:00+05:30,263.2,263.6,260.45,260.95,1779028
2025-06-24T14:15:00+05:30,260.95,261.95,259.65,259.75,1548017
2025-06-24T15:15:00+05:30,259.8,260.5,259.7,260.0,1012805
2025-06-25T09:15:00+05:30,261.05,262.5,260.1,261.85,1995491
2025-06-25T10:15:00+05:30,261.85,264.25,261.8,261.9,1906169
2025-06-25T11:15:00+05:30,261.9,262.65,260.2,260.45,936280
2025-06-25T12:15:00+05:30,260.4,260.95,260.05,260.85,671543
2025-06-25T13:15:00+05:30,260.7,261.5,260.4,261.05,698465
2025-06-25T14:15:00+05:30,261.1,262.3,260.7,262.05,1265741
2025-06-25T15:15:00+05:30,262.05,262.4,261.3,261.4,553502
2025-06-26T09:15:00+05:30,262.5,263.15,260.9,261.75,1442787
2025-06-26T10:15:00+05:30,261.65,264.2,261.15,262.75,1601963
2025-06-26T11:15:00+05:30,262.75,264.2,262.05,263.7,1149209
2025-06-26T12:15:00+05:30,263.5,264.0,262.85,262.9,788826
2025-06-26T13:15:00+05:30,262.9,263.4,262.1,263.25,790479
2025-06-26T14:15:00+05:30,263.25,264.4,263.0,264.35,1602249
2025-06-26T15:15:00+05:30,264.35,265.35,264.25,265.0,1230425
2025-06-27T09:15:00+05:30,264.95,268.0,264.7,267.5,2299997
2025-06-27T10:15:00+05:30,267.4,268.2,266.65,267.35,1168933
2025-06-27T11:15:00+05:30,267.35,268.4,265.7,265.9,1146410
2025-06-27T12:15:00+05:30,266.0,266.35,265.0,265.1,788792
2025-06-27T13:15:00+05:30,265.25,266.05,264.5,265.85,716226
2025-06-27T14:15:00+05:30,265.8,266.0,263.7,264.25,1478351
2025-06-27T15:15:00+05:30,264.25,264.4,263.2,263.45,614635
2025-06-30T09:15:00+05:30,272.0,272.1,263.45,264.85,11269584
2025-06-30T10:15:00+05:30,264.85,267.0,264.55,266.7,2616292
2025-06-30T11:15:00+05:30,266.75,267.0,265.7,266.9,1946280
2025-06-30T12:15:00+05:30,266.9,267.9,265.85,266.45,1766307
2025-06-30T13:15:00+05:30,266.45,267.35,265.85,266.55,1991816
2025-06-30T14:15:00+05:30,266.5,266.75,265.25,266.35,2301231
2025-06-30T15:15:00+05:30,266.35,266.85,266.05,266.45,1984516
2025-07-01T09:15:00+05:30,267.6,267.75,263.6,263.6,1732673
2025-07-01T10:15:00+05:30,263.75,265.25,263.0,263.9,954783
2025-07-01T11:15:00+05:30,263.95,264.2,262.5,263.3,575218
2025-07-01T12:15:00+05:30,263.35,264.8,263.2,263.8,463802
2025-07-01T13:15:00+05:30,263.9,267.4,263.2,265.65,1322560
2025-07-01T14:15:00+05:30,265.7,265.9,264.6,264.75,593931
2025-07-01T15:15:00+05:30,264.75,264.85,264.25,264.55,649411
2025-07-02T09:15:00+05:30,264.75,265.6,262.0,262.0,1120985
