timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,358.0,359.05,349.25,350.85,801878
2025-06-16T10:15:00+05:30,350.7,352.65,348.25,350.9,472610
2025-06-16T11:15:00+05:30,350.9,354.65,349.05,353.95,376945
2025-06-16T12:15:00+05:30,354.0,355.85,353.65,355.3,327545
2025-06-16T13:15:00+05:30,355.2,358.0,352.7,355.5,853701
2025-06-16T14:15:00+05:30,355.5,357.45,355.0,357.25,627088
2025-06-16T15:15:00+05:30,357.25,358.35,356.75,356.95,333169
2025-06-17T09:15:00+05:30,355.0,361.9,353.5,358.0,4074419
2025-06-17T10:15:00+05:30,358.0,364.65,357.85,360.0,2593578
2025-06-17T11:15:00+05:30,360.0,362.5,359.95,361.5,553660
2025-06-17T12:15:00+05:30,361.3,362.5,356.6,358.25,1254734
2025-06-17T13:15:00+05:30,358.25,358.5,356.2,357.1,495148
2025-06-17T14:15:00+05:30,357.05,357.1,349.85,352.65,1878096
2025-06-17T15:15:00+05:30,352.8,353.1,351.55,352.1,542543
2025-06-18T09:15:00+05:30,351.95,352.0,345.4,349.35,2298053
2025-06-18T10:15:00+05:30,349.4,350.85,345.15,347.7,844655
2025-06-18T11:15:00+05:30,347.7,347.7,344.15,344.9,939482
2025-06-18T12:15:00+05:30,344.95,345.7,341.3,343.95,1412248
2025-06-18T13:15:00+05:30,344.05,344.05,340.65,341.2,1631605
2025-06-18T14:15:00+05:30,341.15,342.5,340.1,342.15,1360828
2025-06-18T15:15:00+05:30,342.15,342.7,342.0,342.7,479093
2025-06-19T09:15:00+05:30,343.4,348.9,343.05,346.25,2541851
2025-06-19T10:15:00+05:30,346.3,350.5,345.3,349.65,2409131
2025-06-19T11:15:00+05:30,349.8,350.95,349.3,350.2,992921
2025-06-19T12:15:00+05:30,350.2,350.2,346.8,347.2,1080677
2025-06-19T13:15:00+05:30,347.3,348.5,346.2,348.35,748899
2025-06-19T14:15:00+05:30,348.5,350.0,348.1,348.6,805580
2025-06-19T15:15:00+05:30,348.7,349.0,346.3,347.0,391759
2025-06-20T09:15:00+05:30,348.05,352.3,344.55,348.55,920163
2025-06-20T10:15:00+05:30,348.6,349.75,346.7,348.55,490229
2025-06-20T11:15:00+05:30,348.55,350.0,347.5,349.2,301926
2025-06-20T12:15:00+05:30,349.2,351.75,348.9,351.3,688304
2025-06-20T13:15:00+05:30,351.15,352.55,350.75,352.25,429186
2025-06-20T14:15:00+05:30,352.15,352.9,350.6,351.4,514282
2025-06-20T15:15:00+05:30,351.5,351.9,350.0,350.65,255969
2025-06-23T09:15:00+05:30,347.85,353.6,347.85,352.0,842039
2025-06-23T10:15:00+05:30,352.1,352.8,350.4,351.45,469794
2025-06-23T11:15:00+05:30,351.5,353.5,351.3,353.1,351552
2025-06-23T12:15:00+05:30,353.0,354.7,352.6,354.15,643366
2025-06-23T13:15:00+05:30,354.15,355.75,353.55,354.55,681470
2025-06-23T14:15:00+05:30,354.6,354.65,351.6,351.8,524626
2025-06-23T15:15:00+05:30,351.8,353.85,350.65,351.65,815231
2025-06-24T09:15:00+05:30,350.0,351.5,345.65,350.25,2689889
2025-06-24T10:15:00+05:30,350.25,350.45,346.55,348.05,1498451
2025-06-24T11:15:00+05:30,348.05,350.0,347.0,349.95,2011298
2025-06-24T12:15:00+05:30,349.9,351.05,348.7,349.5,1973731
2025-06-24T13:15:00+05:30,349.45,349.7,347.5,349.05,1159043
2025-06-24T14:15:00+05:30,349.0,350.5,348.7,348.85,1777148
2025-06-24T15:15:00+05:30,348.85,349.3,348.5,348.9,961946
2025-06-25T09:15:00+05:30,350.1,355.45,343.05,351.85,5497890
2025-06-25T10:15:00+05:30,351.85,352.65,349.1,349.7,2702550
2025-06-25T11:15:00+05:30,349.7,350.45,348.0,348.35,986162
2025-06-25T12:15:00+05:30,348.35,349.7,347.55,349.5,1287056
2025-06-25T13:15:00+05:30,349.35,352.0,349.35,351.55,1279756
2025-06-25T14:15:00+05:30,351.4,352.4,350.0,351.75,1283097
2025-06-25T15:15:00+05:30,351.75,352.35,350.3,351.4,1002630
2025-06-26T09:15:00+05:30,353.6,355.5,350.3,353.55,3942521
2025-06-26T10:15:00+05:30,353.55,357.0,352.7,353.65,1737084
2025-06-26T11:15:00+05:30,353.6,353.95,350.55,351.75,1137129
2025-06-26T12:15:00+05:30,351.7,352.45,349.55,349.9,1688670
2025-06-26T13:15:00+05:30,350.0,350.95,349.45,350.25,1106777
2025-06-26T14:15:00+05:30,350.25,351.85,350.15,350.6,1650685
2025-06-26T15:15:00+05:30,350.6,350.9,349.7,349.7,1479359
2025-06-27T09:15:00+05:30,352.0,354.2,350.0,353.0,538091
2025-06-27T10:15:00+05:30,353.0,353.85,352.6,353.65,452811
2025-06-27T11:15:00+05:30,353.65,355.55,352.75,353.4,911888
2025-06-27T12:15:00+05:30,353.25,353.25,351.0,351.1,336598
2025-06-27T13:15:00+05:30,351.1,352.85,350.7,352.8,282660
2025-06-27T14:15:00+05:30,352.85,354.75,352.8,354.5,1299360
2025-06-27T15:15:00+05:30,354.5,355.0,353.6,354.25,768923
2025-06-30T09:15:00+05:30,354.95,356.6,350.4,351.05,600201
2025-06-30T10:15:00+05:30,351.0,351.6,349.55,351.0,335686
2025-06-30T11:15:00+05:30,350.95,351.55,350.05,350.7,138906
2025-06-30T12:15:00+05:30,350.65,352.35,350.1,351.1,195678
2025-06-30T13:15:00+05:30,351.2,355.45,351.0,354.3,498149
2025-06-30T14:15:00+05:30,354.25,356.35,353.65,355.0,600797
2025-06-30T15:15:00+05:30,355.0,356.5,354.9,356.5,258209
2025-07-01T09:15:00+05:30,356.0,359.9,355.8,356.4,1164711
2025-07-01T10:15:00+05:30,356.1,357.05,354.65,355.8,409309
2025-07-01T11:15:00+05:30,355.85,358.5,354.0,357.75,506295
2025-07-01T12:15:00+05:30,357.95,359.25,357.25,358.25,561520
2025-07-01T13:15:00+05:30,358.2,362.55,357.65,362.35,951363
2025-07-01T14:15:00+05:30,362.4,363.45,360.8,362.6,1228772
2025-07-01T15:15:00+05:30,362.65,363.0,362.0,362.5,457144
2025-07-02T09:15:00+05:30,363.05,367.95,362.5,364.9,1919242
2025-07-02T10:15:00+05:30,364.85,367.0,362.5,365.7,661575
