timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1644.8,1652.3,1611.3,1637.7,275232
2025-06-16T10:15:00+05:30,1637.7,1658.6,1637.0,1656.8,147444
2025-06-16T11:15:00+05:30,1656.8,1658.0,1641.7,1656.0,148754
2025-06-16T12:15:00+05:30,1656.0,1666.2,1653.5,1662.1,115538
2025-06-16T13:15:00+05:30,1662.3,1666.0,1659.2,1665.5,99200
2025-06-16T14:15:00+05:30,1665.6,1677.0,1664.7,1677.0,179260
2025-06-16T15:15:00+05:30,1677.0,1679.8,1671.0,1671.1,84904
2025-06-17T09:15:00+05:30,1675.8,1675.9,1651.5,1659.0,152879
2025-06-17T10:15:00+05:30,1659.0,1664.0,1655.5,1660.1,58750
2025-06-17T11:15:00+05:30,1660.1,1665.4,1648.2,1662.8,80317
2025-06-17T12:15:00+05:30,1662.7,1675.0,1660.8,1670.2,94282
2025-06-17T13:15:00+05:30,1670.2,1674.9,1669.3,1670.0,62480
2025-06-17T14:15:00+05:30,1670.0,1673.0,1666.9,1670.0,184253
2025-06-17T15:15:00+05:30,1670.0,1670.3,1668.0,1668.0,115760
2025-06-18T09:15:00+05:30,1655.0,1673.9,1647.5,1656.9,220439
2025-06-18T10:15:00+05:30,1656.2,1662.1,1635.8,1640.8,131177
2025-06-18T11:15:00+05:30,1640.8,1642.4,1629.0,1637.6,74574
2025-06-18T12:15:00+05:30,1637.4,1637.9,1625.2,1628.2,60364
2025-06-18T13:15:00+05:30,1628.2,1641.5,1626.0,1636.0,97865
2025-06-18T14:15:00+05:30,1635.8,1641.0,1626.5,1631.0,126085
2025-06-18T15:15:00+05:30,1630.9,1637.9,1629.9,1632.3,73396
2025-06-19T09:15:00+05:30,1634.9,1638.7,1605.2,1606.0,114197
2025-06-19T10:15:00+05:30,1606.0,1606.8,1583.2,1585.0,520820
2025-06-19T11:15:00+05:30,1584.2,1586.0,1571.0,1582.0,116358
2025-06-19T12:15:00+05:30,1582.0,1583.1,1566.5,1580.0,77655
2025-06-19T13:15:00+05:30,1580.0,1595.8,1579.2,1594.3,116331
2025-06-19T14:15:00+05:30,1594.3,1596.4,1588.7,1593.5,99046
2025-06-19T15:15:00+05:30,1592.9,1594.6,1588.0,1593.1,89895
2025-06-20T09:15:00+05:30,1590.9,1605.6,1584.1,1602.7,104758
2025-06-20T10:15:00+05:30,1602.9,1609.4,1597.1,1597.6,32301
2025-06-20T11:15:00+05:30,1598.0,1604.0,1596.3,1596.6,13276
2025-06-20T12:15:00+05:30,1597.1,1610.9,1594.0,1608.0,34732
2025-06-20T13:15:00+05:30,1608.0,1614.0,1606.9,1610.5,31715
2025-06-20T14:15:00+05:30,1610.5,1617.9,1598.9,1606.4,154742
2025-06-20T15:15:00+05:30,1606.8,1620.0,1606.3,1616.0,152649
2025-06-23T09:15:00+05:30,1595.0,1612.9,1592.6,1611.7,56498
2025-06-23T10:15:00+05:30,1611.6,1624.4,1609.1,1612.5,43037
2025-06-23T11:15:00+05:30,1612.5,1614.3,1609.9,1610.0,17145
2025-06-23T12:15:00+05:30,1610.5,1611.1,1602.4,1605.1,54161
2025-06-23T13:15:00+05:30,1605.7,1614.0,1603.3,1610.8,52676
2025-06-23T14:15:00+05:30,1610.7,1614.7,1605.0,1611.6,46744
