timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,309.9,315.8,308.5,310.4,1726039
2025-06-16T10:15:00+05:30,310.25,312.3,309.8,310.8,1191844
2025-06-16T11:15:00+05:30,310.7,311.3,309.85,310.25,664842
2025-06-16T12:15:00+05:30,310.25,311.5,310.05,311.45,690186
2025-06-16T13:15:00+05:30,311.45,316.8,311.15,316.25,1331888
2025-06-16T14:15:00+05:30,316.25,316.8,315.3,316.6,678788
2025-06-16T15:15:00+05:30,316.6,316.85,315.65,315.85,575074
2025-06-17T09:15:00+05:30,314.0,320.45,313.95,318.35,1978679
2025-06-17T10:15:00+05:30,318.4,319.0,317.4,318.05,381113
2025-06-17T11:15:00+05:30,318.05,320.2,316.1,317.4,1221294
2025-06-17T12:15:00+05:30,317.4,317.75,314.5,315.5,895529
2025-06-17T13:15:00+05:30,315.5,315.8,313.7,314.1,1119307
2025-06-17T14:15:00+05:30,314.1,314.35,312.65,313.05,1039337
2025-06-17T15:15:00+05:30,313.1,313.1,311.7,311.7,550749
2025-06-18T09:15:00+05:30,311.8,314.8,309.7,311.8,2664625
2025-06-18T10:15:00+05:30,311.8,313.25,311.5,312.75,1114452
2025-06-18T11:15:00+05:30,312.75,312.8,310.8,311.55,1132018
2025-06-18T12:15:00+05:30,311.5,312.65,310.0,312.55,830386
2025-06-18T13:15:00+05:30,312.5,315.0,312.25,314.45,1383650
2025-06-18T14:15:00+05:30,314.5,316.85,314.4,316.3,1947720
2025-06-18T15:15:00+05:30,316.25,316.4,314.8,316.0,794935
2025-06-19T09:15:00+05:30,316.95,316.95,310.55,311.05,901988
2025-06-19T10:15:00+05:30,311.1,312.25,310.1,311.4,520733
2025-06-19T11:15:00+05:30,311.35,313.3,311.25,313.0,468930
2025-06-19T12:15:00+05:30,313.1,313.4,310.5,312.25,897309
2025-06-19T13:15:00+05:30,312.25,314.5,312.0,314.0,883309
2025-06-19T14:15:00+05:30,313.95,315.0,313.2,313.9,1245495
2025-06-19T15:15:00+05:30,313.9,313.9,311.2,311.6,450779
2025-06-20T09:15:00+05:30,311.0,314.8,310.0,312.4,1041315
2025-06-20T10:15:00+05:30,312.45,314.9,312.3,314.7,999582
2025-06-20T11:15:00+05:30,314.85,315.9,314.0,314.45,764097
2025-06-20T12:15:00+05:30,314.4,314.55,312.55,313.65,498807
2025-06-20T13:15:00+05:30,313.65,314.75,313.35,313.45,464531
2025-06-20T14:15:00+05:30,313.4,314.35,312.75,313.25,2747106
