timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,5552.0,5562.5,5514.5,5534.5,25743
2025-06-16T10:15:00+05:30,5532.0,5563.5,5526.5,5556.5,12106
2025-06-16T11:15:00+05:30,5556.0,5567.0,5535.5,5545.0,25379
2025-06-16T12:15:00+05:30,5545.0,5546.5,5533.0,5542.0,11378
2025-06-16T13:15:00+05:30,5542.0,5558.0,5539.0,5552.0,23438
2025-06-16T14:15:00+05:30,5551.5,5569.5,5541.0,5558.0,82910
2025-06-16T15:15:00+05:30,5558.0,5572.0,5551.0,5565.0,56957
2025-06-17T09:15:00+05:30,5554.5,5565.0,5539.5,5545.0,28793
2025-06-17T10:15:00+05:30,5545.0,5557.0,5537.5,5545.0,19750
2025-06-17T11:15:00+05:30,5544.5,5552.5,5540.0,5545.0,14423
2025-06-17T12:15:00+05:30,5544.0,5552.5,5530.0,5547.5,14654
2025-06-17T13:15:00+05:30,5548.5,5555.0,5540.0,5553.0,20049
2025-06-17T14:15:00+05:30,5553.0,5597.0,5549.5,5567.0,139077
2025-06-17T15:15:00+05:30,5566.0,5581.0,5560.0,5567.0,40636
2025-06-18T09:15:00+05:30,5569.0,5619.5,5545.0,5589.5,35192
2025-06-18T10:15:00+05:30,5589.5,5602.0,5568.0,5580.0,21080
2025-06-18T11:15:00+05:30,5580.5,5581.0,5563.5,5568.5,4140
2025-06-18T12:15:00+05:30,5568.0,5573.5,5558.0,5569.5,12529
2025-06-18T13:15:00+05:30,5569.0,5574.0,5559.5,5560.5,13957
2025-06-18T14:15:00+05:30,5560.5,5584.5,5560.5,5574.0,88482
2025-06-18T15:15:00+05:30,5573.5,5584.0,5563.0,5580.0,45286
2025-06-19T09:15:00+05:30,5575.5,5596.5,5555.5,5579.5,16724
2025-06-19T10:15:00+05:30,5576.0,5589.0,5569.5,5585.0,7110
2025-06-19T11:15:00+05:30,5583.0,5609.5,5580.0,5607.0,35905
2025-06-19T12:15:00+05:30,5607.0,5608.5,5546.0,5553.0,16937
2025-06-19T13:15:00+05:30,5551.0,5565.5,5545.0,5562.5,5621
2025-06-19T14:15:00+05:30,5559.0,5570.0,5551.5,5565.5,19426
2025-06-19T15:15:00+05:30,5565.5,5569.0,5522.5,5532.0,12707
2025-06-20T09:15:00+05:30,5564.0,5567.0,5511.0,5532.0,41831
2025-06-20T10:15:00+05:30,5534.5,5540.0,5515.0,5520.0,27931
2025-06-20T11:15:00+05:30,5519.5,5562.0,5515.0,5547.0,76819
2025-06-20T12:15:00+05:30,5549.0,5576.5,5543.5,5555.0,41543
2025-06-20T13:15:00+05:30,5555.0,5587.0,5553.5,5581.0,28233
2025-06-20T14:15:00+05:30,5581.5,5594.0,5559.0,5583.5,103196
2025-06-20T15:15:00+05:30,5583.5,5600.0,5561.5,5561.5,75112
2025-06-23T09:15:00+05:30,5552.5,5577.5,5450.5,5470.0,56507
2025-06-23T10:15:00+05:30,5470.0,5540.0,5466.5,5539.0,40612
2025-06-23T11:15:00+05:30,5537.0,5546.5,5521.0,5528.0,19603
2025-06-23T12:15:00+05:30,5525.5,5575.0,5523.5,5564.0,27314
2025-06-23T13:15:00+05:30,5562.5,5585.0,5562.5,5580.5,23814
2025-06-23T14:15:00+05:30,5578.5,5589.0,5555.5,5570.0,36707
