timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2726.3,2769.0,2675.0,2697.9,2491779
2025-06-16T10:15:00+05:30,2697.8,2715.8,2691.4,2709.5,595702
2025-06-16T11:15:00+05:30,2709.5,2710.9,2688.0,2698.1,544162
2025-06-16T12:15:00+05:30,2698.0,2704.0,2687.3,2693.0,456840
2025-06-16T13:15:00+05:30,2692.9,2699.7,2683.0,2694.3,387913
2025-06-16T14:15:00+05:30,2695.0,2704.0,2684.0,2701.0,880810
2025-06-16T15:15:00+05:30,2701.3,2702.0,2695.0,2701.8,365839
2025-06-17T09:15:00+05:30,2719.0,2730.0,2675.0,2712.0,1900365
2025-06-17T10:15:00+05:30,2713.0,2716.9,2696.1,2705.0,419184
2025-06-17T11:15:00+05:30,2705.0,2705.7,2687.8,2688.6,445201
2025-06-17T12:15:00+05:30,2689.0,2703.0,2670.6,2671.5,558317
2025-06-17T13:15:00+05:30,2671.5,2674.5,2622.3,2652.3,1468896
2025-06-17T14:15:00+05:30,2651.1,2673.0,2646.0,2664.1,927855
2025-06-17T15:15:00+05:30,2664.1,2675.0,2658.0,2660.0,413578
2025-06-18T09:15:00+05:30,2530.0,2664.0,2500.0,2646.0,5265184
2025-06-18T10:15:00+05:30,2646.2,2647.5,2601.0,2619.2,1203648
2025-06-18T11:15:00+05:30,2619.7,2647.7,2611.0,2643.4,670657
2025-06-18T12:15:00+05:30,2643.8,2646.3,2625.6,2642.3,395071
2025-06-18T13:15:00+05:30,2642.0,2661.0,2639.0,2639.0,621630
2025-06-18T14:15:00+05:30,2639.3,2648.9,2630.0,2638.6,724507
2025-06-18T15:15:00+05:30,2638.6,2638.9,2627.9,2632.6,561026
2025-06-19T09:15:00+05:30,2644.0,2656.4,2611.4,2616.2,1203854
2025-06-19T10:15:00+05:30,2617.0,2623.0,2593.0,2622.4,832378
2025-06-19T11:15:00+05:30,2622.0,2633.0,2615.0,2615.5,540776
2025-06-19T12:15:00+05:30,2615.0,2617.0,2596.0,2603.0,459246
2025-06-19T13:15:00+05:30,2603.9,2616.8,2598.9,2610.3,285083
2025-06-19T14:15:00+05:30,2610.1,2614.8,2596.1,2602.6,505939
2025-06-19T15:15:00+05:30,2602.6,2602.9,2584.0,2589.0,308615
2025-06-20T09:15:00+05:30,2599.0,2610.0,2571.0,2588.5,1310868
2025-06-20T10:15:00+05:30,2588.0,2626.9,2587.3,2621.0,819030
2025-06-20T11:15:00+05:30,2621.0,2655.9,2620.0,2655.3,933528
2025-06-20T12:15:00+05:30,2655.2,2664.5,2627.1,2657.1,675419
2025-06-20T13:15:00+05:30,2657.1,2669.9,2651.5,2655.0,501734
2025-06-20T14:15:00+05:30,2654.5,2690.9,2652.8,2686.2,924240
2025-06-20T15:15:00+05:30,2686.0,2698.4,2686.0,2691.0,622662
2025-06-23T09:15:00+05:30,2669.9,2689.7,2648.0,2678.4,1634097
2025-06-23T10:15:00+05:30,2678.4,2725.0,2671.0,2724.4,1000313
2025-06-23T11:15:00+05:30,2724.4,2750.0,2721.3,2744.0,1131002
2025-06-23T12:15:00+05:30,2744.0,2753.8,2736.7,2748.8,541805
2025-06-23T13:15:00+05:30,2748.8,2795.0,2747.4,2778.1,1220659
2025-06-23T14:15:00+05:30,2777.1,2794.9,2772.2,2775.7,1011730
2025-06-23T15:15:00+05:30,2775.7,2779.3,2768.3,2771.5,428321
2025-06-24T09:15:00+05:30,2850.1,2865.6,2777.0,2789.8,2399600
2025-06-24T10:15:00+05:30,2789.3,2824.0,2781.1,2822.0,854577
2025-06-24T11:15:00+05:30,2822.0,2827.8,2802.2,2808.7,564641
2025-06-24T12:15:00+05:30,2809.1,2809.5,2785.0,2795.4,461877
2025-06-24T13:15:00+05:30,2795.4,2814.0,2783.1,2794.1,668157
2025-06-24T14:15:00+05:30,2794.1,2803.3,2782.8,2783.0,548333
2025-06-24T15:15:00+05:30,2782.8,2788.5,2777.0,2786.0,455749
2025-06-25T09:15:00+05:30,2800.2,2825.0,2788.0,2808.1,1305749
2025-06-25T10:15:00+05:30,2809.0,2809.0,2795.2,2800.8,471641
2025-06-25T11:15:00+05:30,2800.1,2818.2,2798.1,2809.9,457737
2025-06-25T12:15:00+05:30,2809.3,2811.8,2795.2,2795.7,258964
2025-06-25T13:15:00+05:30,2795.5,2805.0,2783.6,2787.8,340093
2025-06-25T14:15:00+05:30,2786.6,2794.3,2772.1,2792.4,572888
2025-06-25T15:15:00+05:30,2792.4,2796.0,2785.3,2787.9,296480
2025-06-26T09:15:00+05:30,2788.0,2788.8,2748.0,2756.0,1096534
2025-06-26T10:15:00+05:30,2756.1,2765.0,2752.0,2758.2,256382
2025-06-26T11:15:00+05:30,2757.2,2768.0,2752.2,2765.0,259699
2025-06-26T12:15:00+05:30,2764.0,2802.0,2763.5,2790.0,731758
2025-06-26T13:15:00+05:30,2790.0,2797.9,2781.8,2797.0,397095
2025-06-26T14:15:00+05:30,2797.0,2807.3,2793.2,2799.7,650109
2025-06-26T15:15:00+05:30,2799.0,2821.0,2798.0,2816.0,452707
2025-06-27T09:15:00+05:30,2816.6,2835.0,2802.4,2828.7,1091667
2025-06-27T10:15:00+05:30,2829.0,2834.0,2806.6,2810.4,435854
2025-06-27T11:15:00+05:30,2810.4,2838.1,2808.5,2817.6,457008
2025-06-27T12:15:00+05:30,2817.8,2827.5,2817.0,2820.2,175992
2025-06-27T13:15:00+05:30,2820.2,2823.5,2811.0,2819.7,232381
2025-06-27T14:15:00+05:30,2819.7,2821.0,2770.0,2772.5,1130305
2025-06-27T15:15:00+05:30,2772.3,2775.8,2760.0,2765.4,605985
2025-06-30T09:15:00+05:30,2788.0,2788.0,2756.2,2767.9,840871
2025-06-30T10:15:00+05:30,2767.9,2778.0,2753.4,2772.6,376250
2025-06-30T11:15:00+05:30,2772.8,2779.5,2763.0,2778.7,179067
2025-06-30T12:15:00+05:30,2778.9,2805.0,2777.1,2788.4,557756
2025-06-30T13:15:00+05:30,2788.4,2803.8,2778.4,2782.0,322680
2025-06-30T14:15:00+05:30,2782.4,2783.8,2762.0,2770.6,435834
2025-06-30T15:15:00+05:30,2770.6,2778.9,2766.1,2774.0,239903
2025-07-01T09:15:00+05:30,2777.5,2796.0,2756.0,2785.2,951847
2025-07-01T10:15:00+05:30,2785.2,2795.0,2761.4,2766.5,291115
2025-07-01T11:15:00+05:30,2766.5,2776.0,2765.1,2768.0,165173
