timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1650.0,1674.0,1625.0,1640.9,1795766
2025-06-16T10:15:00+05:30,1640.9,1665.6,1640.6,1653.9,674221
2025-06-16T11:15:00+05:30,1653.9,1662.0,1652.5,1659.5,271343
2025-06-16T12:15:00+05:30,1659.0,1663.9,1655.4,1658.9,252537
2025-06-16T13:15:00+05:30,1658.9,1661.8,1656.0,1660.6,206920
2025-06-16T14:15:00+05:30,1660.6,1686.0,1657.0,1683.0,990698
2025-06-16T15:15:00+05:30,1683.3,1685.0,1681.0,1685.0,302502
2025-06-17T09:15:00+05:30,1690.0,1723.9,1680.4,1714.9,2249463
2025-06-17T10:15:00+05:30,1715.0,1716.7,1691.1,1708.0,1140100
2025-06-17T11:15:00+05:30,1708.0,1711.6,1698.0,1698.0,425655
2025-06-17T12:15:00+05:30,1698.1,1701.9,1691.0,1692.6,448902
2025-06-17T13:15:00+05:30,1692.8,1697.0,1685.6,1692.0,307786
2025-06-17T14:15:00+05:30,1691.9,1694.7,1677.0,1684.0,467045
2025-06-17T15:15:00+05:30,1684.4,1696.0,1681.4,1687.0,294365
2025-06-18T09:15:00+05:30,1683.8,1702.6,1672.3,1695.0,1223970
2025-06-18T10:15:00+05:30,1695.5,1695.7,1681.5,1688.0,345390
2025-06-18T11:15:00+05:30,1688.0,1688.0,1677.0,1685.3,236688
2025-06-18T12:15:00+05:30,1685.3,1685.8,1676.6,1681.1,157577
2025-06-18T13:15:00+05:30,1681.5,1689.3,1679.0,1684.9,172855
2025-06-18T14:15:00+05:30,1684.3,1686.5,1677.6,1685.4,255507
2025-06-18T15:15:00+05:30,1685.1,1686.0,1675.0,1676.0,163792
2025-06-19T09:15:00+05:30,1678.5,1685.9,1671.4,1674.0,546819
2025-06-19T10:15:00+05:30,1673.3,1673.5,1661.2,1664.4,408281
2025-06-19T11:15:00+05:30,1663.8,1666.0,1656.0,1657.1,270754
2025-06-19T12:15:00+05:30,1657.1,1658.1,1638.7,1646.5,528411
2025-06-19T13:15:00+05:30,1646.5,1651.3,1638.0,1648.7,371958
2025-06-19T14:15:00+05:30,1648.6,1651.5,1636.7,1637.8,383162
2025-06-19T15:15:00+05:30,1638.0,1643.0,1635.0,1639.9,218714
2025-06-20T09:15:00+05:30,1635.6,1663.0,1632.7,1658.1,829648
2025-06-20T10:15:00+05:30,1658.0,1680.0,1657.4,1678.4,670803
2025-06-20T11:15:00+05:30,1678.4,1688.9,1678.0,1685.5,518822
2025-06-20T12:15:00+05:30,1685.5,1686.3,1675.1,1680.3,316533
2025-06-20T13:15:00+05:30,1680.2,1682.9,1676.8,1677.2,160066
2025-06-20T14:15:00+05:30,1677.6,1685.0,1677.2,1684.0,295747
2025-06-20T15:15:00+05:30,1684.0,1688.9,1683.0,1688.2,313930
2025-06-23T09:15:00+05:30,1674.0,1699.0,1665.0,1680.8,1636424
2025-06-23T10:15:00+05:30,1680.6,1718.0,1678.2,1716.0,1649471
2025-06-23T11:15:00+05:30,1715.5,1723.6,1709.0,1718.0,1113491
2025-06-23T12:15:00+05:30,1718.2,1720.0,1709.1,1719.0,472190
2025-06-23T13:15:00+05:30,1719.4,1740.0,1718.7,1731.0,1291120
2025-06-23T14:15:00+05:30,1731.0,1733.9,1718.6,1725.6,860372
2025-06-23T15:15:00+05:30,1725.6,1728.7,1722.1,1724.0,282256
2025-06-24T09:15:00+05:30,1754.0,1764.2,1728.0,1750.1,2202037
2025-06-24T10:15:00+05:30,1750.1,1763.9,1743.0,1750.5,1075486
