timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,672.45,677.0,664.2,668.5,248221
2025-06-16T10:15:00+05:30,668.3,679.85,668.2,679.5,258343
2025-06-16T11:15:00+05:30,679.5,681.8,678.15,680.65,226243
2025-06-16T12:15:00+05:30,680.65,682.0,679.9,681.15,113568
2025-06-16T13:15:00+05:30,681.15,684.9,680.45,684.3,220110
2025-06-16T14:15:00+05:30,684.3,684.8,680.35,681.05,247392
2025-06-16T15:15:00+05:30,681.05,685.35,680.7,682.5,244964
2025-06-17T09:15:00+05:30,685.45,691.6,682.05,683.65,321427
2025-06-17T10:15:00+05:30,683.35,685.75,679.0,682.75,177653
2025-06-17T11:15:00+05:30,682.5,685.35,681.35,684.7,258981
2025-06-17T12:15:00+05:30,684.65,687.35,677.75,679.65,473439
2025-06-17T13:15:00+05:30,679.65,682.55,678.2,681.75,70652
2025-06-17T14:15:00+05:30,681.75,695.4,681.05,694.9,1075329
2025-06-17T15:15:00+05:30,694.8,698.1,694.0,698.0,727356
2025-06-18T09:15:00+05:30,695.7,697.0,687.05,688.65,631182
2025-06-18T10:15:00+05:30,688.45,688.85,684.7,688.0,193100
2025-06-18T11:15:00+05:30,688.0,688.2,685.2,686.7,103054
2025-06-18T12:15:00+05:30,686.7,686.85,682.5,683.2,154717
2025-06-18T13:15:00+05:30,683.2,683.35,680.2,680.4,195206
2025-06-18T14:15:00+05:30,680.4,685.0,679.1,683.85,432277
2025-06-18T15:15:00+05:30,683.9,685.65,680.4,682.05,199365
2025-06-19T09:15:00+05:30,685.85,694.4,682.55,690.0,506695
2025-06-19T10:15:00+05:30,690.0,690.0,681.25,683.5,223270
2025-06-19T11:15:00+05:30,682.95,683.45,677.2,681.85,420002
2025-06-19T12:15:00+05:30,681.65,681.85,671.8,672.8,209235
2025-06-19T13:15:00+05:30,672.8,673.9,670.05,673.55,124871
2025-06-19T14:15:00+05:30,673.6,675.5,665.1,666.2,277007
2025-06-19T15:15:00+05:30,666.15,668.6,665.1,665.2,186287
2025-06-20T09:15:00+05:30,669.0,675.9,666.55,671.75,283879
2025-06-20T10:15:00+05:30,671.7,687.8,671.7,684.6,408746
2025-06-20T11:15:00+05:30,684.75,689.9,684.5,687.8,291683
2025-06-20T12:15:00+05:30,687.8,689.9,683.75,687.85,337941
2025-06-20T13:15:00+05:30,687.9,691.35,687.15,688.4,555606
2025-06-20T14:15:00+05:30,688.5,691.65,686.5,686.55,1550770
2025-06-20T15:15:00+05:30,686.85,689.5,683.1,685.0,791143
2025-06-23T09:15:00+05:30,681.4,687.15,677.25,684.0,389675
2025-06-23T10:15:00+05:30,684.0,688.0,682.1,686.0,195175
2025-06-23T11:15:00+05:30,686.0,686.8,682.0,683.7,138244
2025-06-23T12:15:00+05:30,683.7,684.85,678.25,680.9,186242
2025-06-23T13:15:00+05:30,680.9,682.2,679.2,682.0,106596
2025-06-23T14:15:00+05:30,681.95,685.8,680.05,682.8,218598
2025-06-23T15:15:00+05:30,682.8,684.9,682.2,682.5,119787
2025-06-24T09:15:00+05:30,689.9,689.9,683.0,687.35,364091
2025-06-24T10:15:00+05:30,686.95,689.0,685.8,686.1,83656
2025-06-24T11:15:00+05:30,686.1,688.0,684.25,685.1,96519
2025-06-24T12:15:00+05:30,685.15,687.2,683.0,685.8,117595
2025-06-24T13:15:00+05:30,685.6,686.5,680.55,682.35,134501
2025-06-24T14:15:00+05:30,682.4,684.15,681.55,683.0,164066
2025-06-24T15:15:00+05:30,683.0,683.0,681.0,682.25,91435
2025-06-25T09:15:00+05:30,682.0,687.8,680.8,684.7,304757
2025-06-25T10:15:00+05:30,684.7,685.8,683.15,683.8,115769
2025-06-25T11:15:00+05:30,683.6,685.15,673.4,674.4,243412
2025-06-25T12:15:00+05:30,674.4,676.45,671.1,675.1,310796
2025-06-25T13:15:00+05:30,675.0,676.8,673.4,676.8,115189
2025-06-25T14:15:00+05:30,676.5,679.0,675.2,676.2,299595
2025-06-25T15:15:00+05:30,676.25,677.0,675.0,675.5,133569
2025-06-26T09:15:00+05:30,678.4,682.0,669.85,670.45,401923
2025-06-26T10:15:00+05:30,670.35,673.95,669.95,671.85,123320
2025-06-26T11:15:00+05:30,671.85,673.5,669.45,672.15,149408
2025-06-26T12:15:00+05:30,672.4,676.65,672.05,676.35,124507
2025-06-26T13:15:00+05:30,676.65,676.8,669.6,672.15,171585
2025-06-26T14:15:00+05:30,671.8,675.95,670.9,674.55,331504
2025-06-26T15:15:00+05:30,674.65,676.5,672.1,675.0,186818
2025-06-27T09:15:00+05:30,675.25,689.9,674.75,686.45,586088
2025-06-27T10:15:00+05:30,686.45,686.7,680.55,681.0,196587
2025-06-27T11:15:00+05:30,681.0,681.5,678.0,678.35,191747
2025-06-27T12:15:00+05:30,678.0,682.0,677.75,679.45,236737
2025-06-27T13:15:00+05:30,679.25,679.9,675.4,679.25,390774
2025-06-27T14:15:00+05:30,679.5,679.95,670.0,671.1,1827541
2025-06-27T15:15:00+05:30,671.1,674.55,670.5,673.7,959744
2025-06-30T09:15:00+05:30,674.4,680.5,674.25,679.4,232394
2025-06-30T10:15:00+05:30,679.1,679.85,675.55,676.85,125024
2025-06-30T11:15:00+05:30,676.95,679.0,675.75,678.2,96464
2025-06-30T12:15:00+05:30,678.2,678.95,673.0,673.6,169346
2025-06-30T13:15:00+05:30,673.65,675.4,670.0,674.35,220262
2025-06-30T14:15:00+05:30,674.25,686.6,673.65,680.0,920043
2025-06-30T15:15:00+05:30,680.0,683.75,679.95,681.1,191241
2025-07-01T09:15:00+05:30,689.3,693.7,675.7,679.0,1914545
2025-07-01T10:15:00+05:30,678.95,680.0,675.7,677.4,872306
2025-07-01T11:15:00+05:30,677.4,678.9,675.5,676.4,798518
2025-07-01T12:15:00+05:30,676.35,678.6,673.1,674.75,649749
2025-07-01T13:15:00+05:30,674.75,685.3,674.75,683.0,533336
2025-07-01T14:15:00+05:30,682.9,685.45,680.8,682.7,558935
2025-07-01T15:15:00+05:30,682.7,684.0,682.3,682.3,594739
2025-07-02T09:15:00+05:30,681.5,683.5,671.0,672.7,1140241
2025-07-02T10:15:00+05:30,673.0,674.9,672.1,673.7,417075
2025-07-02T11:15:00+05:30,673.7,673.9,666.2,667.65,660469
2025-07-02T12:15:00+05:30,667.4,670.15,665.75,667.0,303580
2025-07-02T13:15:00+05:30,667.05,669.3,661.5,668.75,479616
2025-07-02T14:15:00+05:30,668.5,668.65,665.2,665.8,514457
2025-07-02T15:15:00+05:30,665.75,666.4,664.9,665.6,300359
2025-07-03T09:15:00+05:30,669.3,672.95,665.0,672.45,501158
2025-07-03T10:15:00+05:30,672.35,675.65,671.2,674.6,215595
2025-07-03T11:15:00+05:30,674.4,676.8,672.15,673.75,167460
2025-07-03T12:15:00+05:30,673.5,673.75,670.75,671.1,109412
2025-07-03T13:15:00+05:30,671.05,672.0,666.5,666.6,196644
2025-07-03T14:15:00+05:30,666.7,668.55,664.05,667.75,352155
2025-07-03T15:15:00+05:30,667.75,669.8,665.0,667.45,203393
2025-07-04T09:15:00+05:30,671.8,679.9,670.8,675.6,675572
2025-07-04T10:15:00+05:30,675.35,676.55,674.0,675.5,146180
2025-07-04T11:15:00+05:30,675.4,675.7,670.15,673.4,294298
2025-07-04T12:15:00+05:30,673.3,673.9,669.25,673.5,236381
2025-07-04T13:15:00+05:30,673.5,674.3,671.95,673.55,136110
2025-07-04T14:15:00+05:30,673.55,677.95,673.3,677.2,327365
2025-07-04T15:15:00+05:30,677.4,677.5,674.8,676.8,188951
2025-07-07T09:15:00+05:30,676.6,678.0,668.0,674.05,391618
2025-07-07T10:15:00+05:30,673.8,679.9,673.8,676.85,220615
2025-07-07T11:15:00+05:30,676.85,682.0,676.15,681.5,502138
2025-07-07T12:15:00+05:30,681.5,681.95,678.6,679.4,132537
2025-07-07T13:15:00+05:30,679.4,680.75,679.3,680.1,139031
2025-07-07T14:15:00+05:30,680.0,681.0,679.0,680.25,225324
2025-07-07T15:15:00+05:30,680.15,681.35,679.3,680.0,178070
2025-07-08T09:15:00+05:30,677.0,679.35,665.05,670.3,1553392
2025-07-08T10:15:00+05:30,670.25,673.45,666.5,666.5,330344
2025-07-08T11:15:00+05:30,666.75,671.9,666.0,670.65,235486
2025-07-08T12:15:00+05:30,670.65,672.0,669.0,669.8,322961
2025-07-08T13:15:00+05:30,669.75,671.7,668.8,671.1,276062
2025-07-08T14:15:00+05:30,671.15,678.8,670.6,676.0,665990
2025-07-08T15:15:00+05:30,676.0,676.0,673.0,673.4,190123
2025-07-09T09:15:00+05:30,675.8,676.95,671.1,673.1,374982
2025-07-09T10:15:00+05:30,673.05,673.3,668.3,669.3,286318
2025-07-09T11:15:00+05:30,669.5,672.4,669.15,670.5,237732
2025-07-09T12:15:00+05:30,670.3,673.25,668.5,670.25,394813
2025-07-09T13:15:00+05:30,670.05,671.5,669.95,671.4,236856
2025-07-09T14:15:00+05:30,671.15,673.75,669.5,671.75,489056
2025-07-09T15:15:00+05:30,671.8,672.7,670.75,672.0,163387
2025-07-10T09:15:00+05:30,672.05,680.45,671.5,676.4,693896
2025-07-10T10:15:00+05:30,676.35,677.0,670.1,670.9,216982
2025-07-10T11:15:00+05:30,670.85,672.15,669.0,670.1,130334
2025-07-10T12:15:00+05:30,670.1,675.05,669.5,673.45,646303
2025-07-10T13:15:00+05:30,673.45,677.4,673.25,676.55,208895
2025-07-10T14:15:00+05:30,676.8,681.5,676.55,677.1,941644
2025-07-10T15:15:00+05:30,677.15,678.5,676.75,677.35,407313
2025-07-11T09:15:00+05:30,677.1,678.3,669.6,675.65,699702
2025-07-11T10:15:00+05:30,675.7,677.3,672.0,676.15,206402
2025-07-11T11:15:00+05:30,676.15,676.75,672.15,673.65,565469
2025-07-11T12:15:00+05:30,673.65,674.45,670.2,670.85,459704
2025-07-11T13:15:00+05:30,670.95,671.95,667.0,667.35,310796
2025-07-11T14:15:00+05:30,667.35,670.0,667.2,668.15,382431
2025-07-11T15:15:00+05:30,668.1,668.95,666.45,666.7,271200
2025-07-14T09:15:00+05:30,667.75,672.25,666.2,672.0,649947
2025-07-14T10:15:00+05:30,671.95,680.0,671.9,675.15,817271
2025-07-14T11:15:00+05:30,675.15,675.2,669.5,670.1,502710
2025-07-14T12:15:00+05:30,670.15,671.85,666.6,670.95,273411
2025-07-14T13:15:00+05:30,670.85,677.7,670.35,675.4,335414
2025-07-14T14:15:00+05:30,675.4,676.9,674.8,675.25,87869
