timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1501.8,1538.1,1499.8,1535.5,904820
2025-06-16T10:15:00+05:30,1535.5,1541.0,1528.2,1530.8,610767
2025-06-16T11:15:00+05:30,1530.7,1533.4,1527.7,1531.0,285927
2025-06-16T12:15:00+05:30,1531.1,1535.0,1530.0,1530.0,182562
2025-06-16T13:15:00+05:30,1530.1,1532.6,1528.8,1531.6,84466
2025-06-16T14:15:00+05:30,1531.7,1532.9,1523.2,1529.0,410456
2025-06-16T15:15:00+05:30,1529.0,1529.7,1525.8,1526.9,181924
2025-06-17T09:15:00+05:30,1527.0,1533.4,1513.3,1513.5,172537
2025-06-17T10:15:00+05:30,1513.5,1515.9,1507.5,1508.0,134929
2025-06-17T11:15:00+05:30,1508.2,1509.0,1503.8,1507.3,142546
2025-06-17T12:15:00+05:30,1507.3,1507.5,1499.0,1504.0,147022
2025-06-17T13:15:00+05:30,1504.0,1511.0,1501.7,1510.1,175697
2025-06-17T14:15:00+05:30,1510.7,1510.8,1495.5,1503.7,405453
2025-06-17T15:15:00+05:30,1503.7,1504.6,1501.0,1503.9,151388
2025-06-18T09:15:00+05:30,1503.5,1512.9,1496.4,1506.7,168697
2025-06-18T10:15:00+05:30,1506.7,1508.8,1502.6,1505.0,135163
2025-06-18T11:15:00+05:30,1505.0,1505.1,1498.0,1500.3,145719
2025-06-18T12:15:00+05:30,1500.3,1505.0,1500.0,1503.1,155567
2025-06-18T13:15:00+05:30,1503.0,1503.5,1501.1,1502.1,123137
2025-06-18T14:15:00+05:30,1502.1,1503.6,1496.8,1496.9,220465
2025-06-18T15:15:00+05:30,1496.9,1500.1,1495.9,1495.9,124156
2025-06-19T09:15:00+05:30,1502.3,1509.8,1495.3,1500.0,111533
2025-06-19T10:15:00+05:30,1500.0,1502.3,1491.0,1491.4,104363
2025-06-19T11:15:00+05:30,1491.3,1494.7,1490.0,1491.0,58601
2025-06-19T12:15:00+05:30,1490.7,1491.5,1486.0,1488.2,74433
2025-06-19T13:15:00+05:30,1488.2,1494.0,1486.4,1488.0,146675
2025-06-19T14:15:00+05:30,1488.1,1489.0,1483.0,1483.0,497305
2025-06-19T15:15:00+05:30,1483.0,1485.0,1480.2,1481.0,125042
2025-06-20T09:15:00+05:30,1483.0,1499.0,1481.1,1498.6,101349
2025-06-20T10:15:00+05:30,1498.2,1505.0,1497.1,1498.8,79578
2025-06-20T11:15:00+05:30,1498.8,1505.8,1497.9,1505.4,88859
2025-06-20T12:15:00+05:30,1505.8,1505.8,1496.1,1500.7,65141
2025-06-20T13:15:00+05:30,1500.7,1508.0,1500.4,1502.4,116222
2025-06-20T14:15:00+05:30,1502.9,1508.2,1496.8,1497.6,837440
2025-06-20T15:15:00+05:30,1497.6,1499.0,1492.5,1493.0,627650
2025-06-23T09:15:00+05:30,1499.7,1504.9,1482.1,1485.8,168590
2025-06-23T10:15:00+05:30,1485.7,1491.9,1484.2,1490.6,54409
2025-06-23T11:15:00+05:30,1490.6,1497.5,1489.4,1495.0,44480
2025-06-23T12:15:00+05:30,1495.0,1499.3,1494.0,1496.3,111540
2025-06-23T13:15:00+05:30,1496.5,1502.0,1495.5,1499.1,65276
2025-06-23T14:15:00+05:30,1499.1,1502.9,1497.7,1501.9,130243
2025-06-23T15:15:00+05:30,1501.9,1502.0,1494.2,1498.8,78608
2025-06-24T09:15:00+05:30,1507.0,1515.0,1501.9,1512.6,263195
2025-06-24T10:15:00+05:30,1512.5,1516.1,1510.0,1511.0,170888
2025-06-24T11:15:00+05:30,1511.0,1515.3,1508.8,1513.0,115295
2025-06-24T12:15:00+05:30,1512.8,1518.3,1507.0,1507.0,212118
2025-06-24T13:15:00+05:30,1507.0,1507.7,1500.5,1501.7,163597
2025-06-24T14:15:00+05:30,1501.8,1505.9,1500.2,1501.1,280346
2025-06-24T15:15:00+05:30,1501.3,1509.5,1500.7,1501.5,144418
2025-06-25T09:15:00+05:30,1509.8,1518.0,1501.1,1508.3,222237
2025-06-25T10:15:00+05:30,1508.3,1514.0,1506.5,1510.1,125054
2025-06-25T11:15:00+05:30,1510.1,1513.9,1501.8,1501.9,118219
2025-06-25T12:15:00+05:30,1501.9,1507.4,1500.0,1506.4,149245
2025-06-25T13:15:00+05:30,1506.3,1512.0,1505.7,1508.7,124922
2025-06-25T14:15:00+05:30,1508.7,1512.0,1508.2,1510.2,194368
2025-06-25T15:15:00+05:30,1510.1,1512.0,1509.0,1509.0,96610
2025-06-26T09:15:00+05:30,1513.0,1522.4,1509.1,1521.5,251294
2025-06-26T10:15:00+05:30,1521.5,1521.6,1508.0,1510.3,180003
2025-06-26T11:15:00+05:30,1510.3,1512.6,1505.0,1505.9,169655
2025-06-26T12:15:00+05:30,1505.9,1509.3,1503.0,1506.2,136495
2025-06-26T13:15:00+05:30,1505.7,1514.9,1505.7,1510.0,202984
2025-06-26T14:15:00+05:30,1510.1,1514.3,1508.9,1513.6,291003
2025-06-26T15:15:00+05:30,1513.6,1516.1,1510.8,1513.0,207014
2025-06-27T09:15:00+05:30,1502.0,1506.4,1492.0,1498.7,404756
2025-06-27T10:15:00+05:30,1499.2,1500.4,1494.0,1496.9,158287
2025-06-27T11:15:00+05:30,1496.9,1497.4,1494.5,1497.2,264324
2025-06-27T12:15:00+05:30,1497.3,1501.2,1496.0,1498.5,151831
2025-06-27T13:15:00+05:30,1498.5,1500.1,1497.9,1498.9,131877
2025-06-27T14:15:00+05:30,1499.0,1502.9,1496.7,1502.8,510524
2025-06-27T15:15:00+05:30,1502.9,1508.7,1502.4,1506.4,221665
2025-06-30T09:15:00+05:30,1509.0,1514.7,1503.4,1506.0,234614
2025-06-30T10:15:00+05:30,1506.3,1506.6,1501.4,1501.7,111635
2025-06-30T11:15:00+05:30,1501.8,1505.2,1500.2,1505.0,71426
2025-06-30T12:15:00+05:30,1505.0,1508.5,1502.8,1507.2,167926
2025-06-30T13:15:00+05:30,1507.2,1508.5,1506.0,1506.1,96603
2025-06-30T14:15:00+05:30,1506.1,1507.8,1504.4,1505.8,221238
2025-06-30T15:15:00+05:30,1505.9,1507.2,1503.1,1503.1,147103
2025-07-01T09:15:00+05:30,1508.0,1510.5,1496.2,1501.3,260475
2025-07-01T10:15:00+05:30,1501.2,1506.0,1499.7,1502.7,87943
2025-07-01T11:15:00+05:30,1502.7,1505.0,1501.6,1504.0,51622
2025-07-01T12:15:00+05:30,1504.0,1508.0,1502.6,1507.9,98761
2025-07-01T13:15:00+05:30,1508.0,1515.0,1506.5,1514.8,243347
2025-07-01T14:15:00+05:30,1514.8,1516.7,1509.3,1516.7,245476
2025-07-01T15:15:00+05:30,1516.6,1517.7,1514.0,1514.0,122839
2025-07-02T09:15:00+05:30,1515.7,1525.0,1510.7,1511.6,210402
2025-07-02T10:15:00+05:30,1511.5,1512.5,1504.6,1507.0,149577
2025-07-02T11:15:00+05:30,1507.1,1509.1,1505.0,1506.4,99344
