timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1792.5,1809.5,1785.0,1802.5,243995
2025-06-16T10:15:00+05:30,1801.5,1827.5,1800.0,1818.5,220543
2025-06-16T11:15:00+05:30,1819.0,1838.0,1815.0,1836.5,158829
2025-06-16T12:15:00+05:30,1836.0,1847.5,1830.0,1846.5,220105
2025-06-16T13:15:00+05:30,1846.5,1849.0,1832.0,1836.5,152165
2025-06-16T14:15:00+05:30,1838.0,1841.0,1827.5,1829.5,198234
2025-06-16T15:15:00+05:30,1829.5,1834.0,1824.5,1827.0,150807
2025-06-17T09:15:00+05:30,1835.0,1844.0,1815.5,1833.5,237573
2025-06-17T10:15:00+05:30,1834.5,1855.0,1832.5,1850.0,236313
2025-06-17T11:15:00+05:30,1850.5,1859.5,1844.5,1853.5,235171
2025-06-17T12:15:00+05:30,1854.0,1862.5,1835.5,1839.0,269387
2025-06-17T13:15:00+05:30,1839.0,1845.5,1833.0,1843.0,199642
2025-06-17T14:15:00+05:30,1842.5,1845.5,1838.0,1842.0,109935
2025-06-17T15:15:00+05:30,1842.5,1846.5,1833.5,1834.5,65906
2025-06-18T09:15:00+05:30,1831.0,1850.0,1824.5,1832.0,288283
2025-06-18T10:15:00+05:30,1832.0,1835.0,1809.0,1815.5,178033
2025-06-18T11:15:00+05:30,1816.5,1823.5,1810.0,1814.5,106067
2025-06-18T12:15:00+05:30,1814.0,1825.0,1806.5,1822.0,226400
2025-06-18T13:15:00+05:30,1822.0,1842.0,1819.5,1835.0,158028
2025-06-18T14:15:00+05:30,1834.0,1840.0,1827.5,1832.0,190554
2025-06-18T15:15:00+05:30,1832.0,1836.0,1829.0,1831.5,104875
2025-06-19T09:15:00+05:30,1838.5,1840.0,1801.5,1807.0,215546
2025-06-19T10:15:00+05:30,1807.0,1811.0,1778.0,1787.0,325296
2025-06-19T11:15:00+05:30,1787.0,1798.0,1785.5,1793.0,129450
2025-06-19T12:15:00+05:30,1794.0,1803.0,1786.5,1799.5,208444
2025-06-19T13:15:00+05:30,1799.5,1801.0,1783.5,1796.0,113427
2025-06-19T14:15:00+05:30,1796.5,1801.0,1790.0,1792.5,178759
2025-06-19T15:15:00+05:30,1792.5,1798.0,1790.0,1795.0,159928
2025-06-20T09:15:00+05:30,1795.5,1810.0,1780.0,1787.0,313368
2025-06-20T10:15:00+05:30,1787.0,1815.0,1785.0,1805.5,246111
2025-06-20T11:15:00+05:30,1805.5,1821.0,1798.5,1818.0,228544
2025-06-20T12:15:00+05:30,1818.5,1818.5,1801.0,1815.0,134839
2025-06-20T13:15:00+05:30,1814.5,1833.5,1805.5,1821.0,209008
2025-06-20T14:15:00+05:30,1821.0,1834.0,1819.0,1831.0,368510
2025-06-20T15:15:00+05:30,1831.5,1839.0,1825.5,1828.0,268166
2025-06-23T09:15:00+05:30,1812.0,1845.5,1805.5,1822.0,254468
2025-06-23T10:15:00+05:30,1822.0,1834.5,1820.5,1832.5,94859
2025-06-23T11:15:00+05:30,1832.5,1836.5,1827.5,1835.0,45755
2025-06-23T12:15:00+05:30,1834.5,1845.0,1830.0,1844.5,93833
2025-06-23T13:15:00+05:30,1845.0,1848.0,1832.0,1832.5,61901
2025-06-23T14:15:00+05:30,1833.5,1835.0,1829.0,1831.0,67016
2025-06-23T15:15:00+05:30,1831.5,1832.5,1829.0,1830.0,35628
2025-06-24T09:15:00+05:30,1859.0,1869.5,1835.5,1856.5,361692
2025-06-24T10:15:00+05:30,1856.0,1867.5,1848.0,1850.0,214003
2025-06-24T11:15:00+05:30,1850.0,1867.0,1849.0,1865.0,115850
2025-06-24T12:15:00+05:30,1866.0,1875.0,1859.0,1860.0,256382
2025-06-24T13:15:00+05:30,1860.0,1863.0,1848.5,1854.5,108507
2025-06-24T14:15:00+05:30,1854.0,1871.0,1852.5,1862.5,378448
2025-06-24T15:15:00+05:30,1862.5,1863.0,1858.0,1859.0,79070
2025-06-25T09:15:00+05:30,1869.0,1889.0,1863.0,1878.5,386656
2025-06-25T10:15:00+05:30,1879.0,1880.0,1873.0,1877.0,80296
2025-06-25T11:15:00+05:30,1877.5,1885.5,1875.5,1879.5,100646
2025-06-25T12:15:00+05:30,1879.5,1894.5,1879.0,1894.0,179531
2025-06-25T13:15:00+05:30,1894.5,1895.0,1880.5,1883.0,127439
2025-06-25T14:15:00+05:30,1883.0,1887.0,1878.5,1881.5,115804
2025-06-25T15:15:00+05:30,1881.5,1882.0,1876.0,1879.0,94407
2025-06-26T09:15:00+05:30,1883.0,1888.0,1861.0,1865.5,465800
2025-06-26T10:15:00+05:30,1865.5,1878.5,1864.0,1876.5,149374
2025-06-26T11:15:00+05:30,1876.5,1885.5,1875.0,1885.5,142643
2025-06-26T12:15:00+05:30,1885.0,1890.5,1876.5,1888.5,288069
2025-06-26T13:15:00+05:30,1888.5,1894.0,1884.0,1890.5,173056
2025-06-26T14:15:00+05:30,1890.5,1893.5,1886.5,1888.5,230953
2025-06-26T15:15:00+05:30,1888.5,1890.0,1881.0,1881.0,109067
2025-06-27T09:15:00+05:30,1896.0,1955.0,1896.0,1948.5,802340
2025-06-27T10:15:00+05:30,1948.5,1950.0,1920.5,1927.5,333924
2025-06-27T11:15:00+05:30,1927.5,1935.0,1915.0,1929.5,231714
2025-06-27T12:15:00+05:30,1930.0,1931.5,1913.0,1915.5,220115
2025-06-27T13:15:00+05:30,1915.5,1921.0,1912.0,1914.5,316210
2025-06-27T14:15:00+05:30,1914.5,1917.0,1893.0,1897.0,1315084
2025-06-27T15:15:00+05:30,1898.0,1903.5,1893.5,1903.0,748182
2025-06-30T09:15:00+05:30,1915.0,1915.5,1883.0,1901.0,300837
2025-06-30T10:15:00+05:30,1901.0,1918.0,1891.5,1911.5,262220
2025-06-30T11:15:00+05:30,1911.5,1914.0,1899.0,1910.0,152379
2025-06-30T12:15:00+05:30,1910.5,1918.0,1906.0,1916.0,128378
2025-06-30T13:15:00+05:30,1916.0,1929.5,1915.0,1926.0,258087
2025-06-30T14:15:00+05:30,1925.5,1929.5,1918.5,1925.0,457721
2025-06-30T15:15:00+05:30,1925.5,1929.0,1920.0,1920.0,128757
2025-07-01T09:15:00+05:30,1930.0,1938.9,1912.4,1930.6,522699
2025-07-01T10:15:00+05:30,1930.8,1958.9,1930.5,1958.4,699302
2025-07-01T11:15:00+05:30,1958.5,1961.3,1925.2,1927.6,477060
2025-07-01T12:15:00+05:30,1927.1,1928.9,1910.1,1912.0,188085
2025-07-01T13:15:00+05:30,1912.0,1924.6,1906.1,1923.1,195280
2025-07-01T14:15:00+05:30,1923.5,1924.6,1915.2,1923.8,200528
2025-07-01T15:15:00+05:30,1923.9,1924.5,1920.0,1920.0,89304
2025-07-02T09:15:00+05:30,1922.5,1955.9,1922.0,1936.5,442491
2025-07-02T10:15:00+05:30,1936.5,1938.3,1919.9,1925.0,307778
2025-07-02T11:15:00+05:30,1925.0,1931.9,1918.7,1929.1,168973
2025-07-02T12:15:00+05:30,1929.2,1930.9,1911.5,1912.2,141570
2025-07-02T13:15:00+05:30,1912.2,1929.8,1906.0,1928.6,223662
2025-07-02T14:15:00+05:30,1928.6,1929.6,1921.5,1925.8,188828
2025-07-02T15:15:00+05:30,1925.9,1930.0,1924.0,1927.2,92581
2025-07-03T09:15:00+05:30,1934.4,1951.0,1926.4,1942.4,193374
2025-07-03T10:15:00+05:30,1942.2,1947.9,1939.5,1944.8,85559
