timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2371.2,2376.1,2356.6,2361.8,51678
2025-06-16T10:15:00+05:30,2361.7,2372.5,2360.5,2371.6,39165
2025-06-16T11:15:00+05:30,2371.6,2373.6,2363.9,2371.0,35134
2025-06-16T12:15:00+05:30,2371.5,2377.0,2366.3,2371.8,36541
2025-06-16T13:15:00+05:30,2371.8,2382.8,2370.0,2382.6,49516
2025-06-16T14:15:00+05:30,2382.6,2388.2,2380.1,2385.2,44808
2025-06-16T15:15:00+05:30,2385.9,2387.0,2384.0,2385.8,13900
2025-06-17T09:15:00+05:30,2389.3,2391.4,2373.9,2379.3,41377
2025-06-17T10:15:00+05:30,2378.8,2380.9,2374.0,2375.6,19340
2025-06-17T11:15:00+05:30,2375.4,2376.5,2361.1,2362.3,29709
2025-06-17T12:15:00+05:30,2363.2,2367.3,2356.0,2367.3,46623
2025-06-17T13:15:00+05:30,2367.3,2381.0,2365.0,2380.4,149001
2025-06-17T14:15:00+05:30,2380.4,2384.8,2377.5,2381.3,125508
2025-06-17T15:15:00+05:30,2381.6,2384.5,2377.2,2382.8,28618
2025-06-18T09:15:00+05:30,2382.0,2409.0,2364.1,2400.0,61536
2025-06-18T10:15:00+05:30,2400.9,2404.0,2390.6,2397.0,22180
2025-06-18T11:15:00+05:30,2395.1,2405.2,2390.5,2402.8,32397
2025-06-18T12:15:00+05:30,2403.3,2403.3,2397.0,2399.3,37394
2025-06-18T13:15:00+05:30,2399.3,2400.9,2392.7,2395.3,38341
2025-06-18T14:15:00+05:30,2395.6,2403.3,2391.4,2399.5,72872
2025-06-18T15:15:00+05:30,2399.5,2400.7,2391.0,2395.0,34586
2025-06-19T09:15:00+05:30,2400.0,2403.6,2381.5,2386.2,24581
2025-06-19T10:15:00+05:30,2386.2,2393.3,2378.0,2381.0,11530
2025-06-19T11:15:00+05:30,2381.7,2391.1,2381.0,2388.3,15962
2025-06-19T12:15:00+05:30,2389.7,2391.7,2385.0,2387.1,28786
2025-06-19T13:15:00+05:30,2387.0,2401.7,2387.0,2399.0,37909
2025-06-19T14:15:00+05:30,2399.1,2408.0,2395.1,2399.2,82650
2025-06-19T15:15:00+05:30,2399.9,2406.0,2390.0,2396.0,74727
2025-06-20T09:15:00+05:30,2390.3,2407.9,2380.0,2405.0,46267
2025-06-20T10:15:00+05:30,2405.0,2412.4,2401.1,2402.1,36956
2025-06-20T11:15:00+05:30,2402.7,2410.5,2398.1,2404.0,30269
2025-06-20T12:15:00+05:30,2404.0,2409.7,2399.2,2403.9,35069
2025-06-20T13:15:00+05:30,2403.9,2407.5,2397.1,2397.9,30022
2025-06-20T14:15:00+05:30,2398.1,2410.0,2394.1,2405.7,128818
2025-06-20T15:15:00+05:30,2405.8,2405.8,2398.1,2398.8,84168
2025-06-23T09:15:00+05:30,2397.9,2404.5,2386.4,2401.1,74383
2025-06-23T10:15:00+05:30,2401.1,2429.5,2394.4,2427.0,99094
2025-06-23T11:15:00+05:30,2426.4,2434.9,2424.7,2428.0,62196
2025-06-23T12:15:00+05:30,2428.0,2430.7,2416.6,2420.6,43704
2025-06-23T13:15:00+05:30,2421.7,2427.1,2414.0,2417.3,49983
2025-06-23T14:15:00+05:30,2417.2,2419.7,2407.7,2408.1,64102
2025-06-23T15:15:00+05:30,2408.8,2411.7,2402.7,2407.0,25584
2025-06-24T09:15:00+05:30,2420.0,2443.0,2410.1,2435.0,114157
2025-06-24T10:15:00+05:30,2435.1,2441.0,2429.3,2439.2,35125
