timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,607.96,612.0,600.28,604.4,202535
2025-06-16T10:15:00+05:30,604.4,613.28,604.4,611.72,153146
2025-06-16T11:15:00+05:30,611.72,612.16,608.52,610.0,61151
2025-06-16T12:15:00+05:30,609.76,612.0,608.92,609.68,74068
2025-06-16T13:15:00+05:30,609.64,613.96,608.8,613.12,87751
2025-06-16T14:15:00+05:30,613.28,613.6,611.28,612.08,111761
2025-06-16T15:15:00+05:30,612.04,612.52,610.2,612.0,90674
2025-06-17T09:15:00+05:30,611.68,613.48,608.88,610.84,78080
2025-06-17T10:15:00+05:30,610.84,612.32,608.04,609.16,55545
2025-06-17T11:15:00+05:30,609.16,609.2,605.08,605.6,50140
2025-06-17T12:15:00+05:30,605.6,606.56,601.84,603.56,70686
2025-06-17T13:15:00+05:30,603.36,604.72,601.68,604.6,53110
2025-06-17T14:15:00+05:30,604.6,604.68,598.64,601.64,258768
2025-06-17T15:15:00+05:30,601.68,601.72,599.2,600.72,72438
2025-06-18T09:15:00+05:30,599.2,606.4,597.04,603.12,172501
2025-06-18T10:15:00+05:30,603.12,604.4,598.8,601.56,109746
2025-06-18T11:15:00+05:30,601.72,602.0,598.0,599.6,54455
2025-06-18T12:15:00+05:30,599.6,599.92,596.2,598.24,47334
2025-06-18T13:15:00+05:30,598.12,598.56,595.68,596.48,45964
2025-06-18T14:15:00+05:30,596.48,597.6,595.2,596.96,72829
2025-06-18T15:15:00+05:30,596.96,597.76,595.16,596.72,68450
2025-06-19T09:15:00+05:30,597.04,598.0,590.92,591.64,147559
2025-06-19T10:15:00+05:30,591.68,592.0,588.12,589.36,93158
2025-06-19T11:15:00+05:30,589.68,589.72,585.0,585.72,71848
2025-06-19T12:15:00+05:30,585.72,586.04,581.36,582.52,387903
2025-06-19T13:15:00+05:30,582.4,584.92,580.4,584.28,117236
2025-06-19T14:15:00+05:30,584.28,586.24,582.16,582.44,100738
2025-06-19T15:15:00+05:30,582.4,582.6,580.8,580.88,58561
2025-06-20T09:15:00+05:30,585.24,589.68,582.48,585.76,344914
2025-06-20T10:15:00+05:30,585.8,591.96,585.6,590.4,171478
2025-06-20T11:15:00+05:30,590.48,591.48,587.64,588.4,82494
2025-06-20T12:15:00+05:30,588.64,588.68,582.4,586.24,120735
2025-06-20T13:15:00+05:30,586.28,589.6,585.48,586.04,123446
2025-06-20T14:15:00+05:30,586.0,591.24,585.68,591.0,372670
2025-06-20T15:15:00+05:30,591.0,592.32,588.0,588.0,261148
2025-06-23T09:15:00+05:30,590.32,590.6,583.4,589.28,264298
2025-06-23T10:15:00+05:30,589.28,591.36,586.96,590.28,110090
2025-06-23T11:15:00+05:30,590.28,590.8,587.12,589.0,123594
2025-06-23T12:15:00+05:30,589.0,590.68,589.0,589.88,385050
2025-06-23T13:15:00+05:30,589.6,591.96,589.56,590.8,119429
2025-06-23T14:15:00+05:30,590.76,591.36,588.0,588.92,136315
2025-06-23T15:15:00+05:30,588.88,589.36,587.2,588.08,62504
2025-06-24T09:15:00+05:30,597.52,599.0,593.6,598.96,267465
2025-06-24T10:15:00+05:30,598.84,602.4,597.4,601.76,250743
2025-06-24T11:15:00+05:30,602.04,604.0,600.52,602.16,227959
2025-06-24T12:15:00+05:30,602.36,603.68,599.48,600.6,140055
2025-06-24T13:15:00+05:30,600.6,600.8,594.16,595.72,160799
2025-06-24T14:15:00+05:30,595.68,598.32,595.4,596.16,118939
2025-06-24T15:15:00+05:30,596.24,598.6,594.4,596.24,97494
2025-06-25T09:15:00+05:30,602.08,603.92,597.92,601.2,293508
2025-06-25T10:15:00+05:30,601.4,602.84,600.4,600.64,77614
2025-06-25T11:15:00+05:30,600.64,602.12,598.4,598.4,115214
2025-06-25T12:15:00+05:30,598.4,600.8,598.0,600.72,102413
2025-06-25T13:15:00+05:30,600.72,602.6,600.04,602.16,182250
