timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,346.45,348.85,343.3,344.55,352804
2025-06-16T10:15:00+05:30,344.55,347.1,344.35,346.85,168211
2025-06-16T11:15:00+05:30,346.85,347.25,345.85,346.3,78996
2025-06-16T12:15:00+05:30,346.4,347.0,344.95,346.05,126279
2025-06-16T13:15:00+05:30,346.05,349.5,345.2,349.0,236912
2025-06-16T14:15:00+05:30,349.0,349.1,347.9,348.75,143877
2025-06-16T15:15:00+05:30,348.75,350.0,347.6,349.55,130502
2025-06-17T09:15:00+05:30,349.95,352.4,348.65,351.2,249970
2025-06-17T10:15:00+05:30,351.2,351.75,350.1,350.7,131191
2025-06-17T11:15:00+05:30,350.7,351.15,348.9,349.35,125564
2025-06-17T12:15:00+05:30,349.35,350.0,347.55,348.25,90652
2025-06-17T13:15:00+05:30,348.15,350.7,347.55,350.3,106061
2025-06-17T14:15:00+05:30,350.15,351.3,349.35,350.2,138991
2025-06-17T15:15:00+05:30,350.15,350.15,348.45,349.0,96987
2025-06-18T09:15:00+05:30,347.7,350.0,346.65,348.95,69736
2025-06-18T10:15:00+05:30,348.95,350.5,346.8,347.5,133818
2025-06-18T11:15:00+05:30,347.55,347.9,346.0,347.25,66429
2025-06-18T12:15:00+05:30,347.25,347.45,345.05,346.6,94804
2025-06-18T13:15:00+05:30,346.6,346.7,345.55,346.05,74533
2025-06-18T14:15:00+05:30,346.0,347.85,344.5,346.4,410600
2025-06-18T15:15:00+05:30,346.35,347.9,346.15,347.9,227970
2025-06-19T09:15:00+05:30,347.35,348.5,345.05,345.3,85947
2025-06-19T10:15:00+05:30,345.3,346.05,343.5,344.55,95521
2025-06-19T11:15:00+05:30,344.55,344.8,341.45,341.85,142058
2025-06-19T12:15:00+05:30,341.85,342.2,340.0,340.55,169555
2025-06-19T13:15:00+05:30,340.5,340.6,339.0,340.0,159151
2025-06-19T14:15:00+05:30,340.2,341.45,339.5,340.0,193084
2025-06-19T15:15:00+05:30,340.0,340.2,338.0,339.4,119981
2025-06-20T09:15:00+05:30,340.0,341.6,337.8,340.6,150664
2025-06-20T10:15:00+05:30,340.75,344.7,340.6,343.7,131519
2025-06-20T11:15:00+05:30,343.65,344.9,343.05,343.15,133702
2025-06-20T12:15:00+05:30,343.15,343.35,340.9,341.7,222967
2025-06-20T13:15:00+05:30,341.7,342.85,341.5,341.8,185465
2025-06-20T14:15:00+05:30,341.8,344.85,341.65,344.5,390549
2025-06-20T15:15:00+05:30,344.5,345.4,344.45,344.6,245907
2025-06-23T09:15:00+05:30,342.0,343.15,339.25,341.35,226101
2025-06-23T10:15:00+05:30,341.35,343.5,340.75,343.2,148145
2025-06-23T11:15:00+05:30,343.15,343.2,340.75,341.9,159872
2025-06-23T12:15:00+05:30,342.0,345.95,341.4,345.75,246129
2025-06-23T13:15:00+05:30,345.75,349.45,345.6,349.15,281635
2025-06-23T14:15:00+05:30,349.15,349.25,346.7,347.45,330477
2025-06-23T15:15:00+05:30,347.45,347.8,346.75,347.4,104881
2025-06-24T09:15:00+05:30,351.0,352.5,347.25,347.8,429307
2025-06-24T10:15:00+05:30,347.95,350.5,347.4,349.65,184787
2025-06-24T11:15:00+05:30,349.55,350.65,349.1,349.4,216432
2025-06-24T12:15:00+05:30,349.4,349.65,347.45,349.05,168353
2025-06-24T13:15:00+05:30,349.05,349.55,347.4,347.7,164679
2025-06-24T14:15:00+05:30,347.75,349.4,347.5,348.05,287548
2025-06-24T15:15:00+05:30,348.05,348.45,347.55,348.0,186703
2025-06-25T09:15:00+05:30,350.05,351.9,346.7,350.5,341653
