timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1302.9,1313.5,1282.1,1295.1,70072
2025-06-16T10:15:00+05:30,1296.4,1308.8,1295.3,1306.2,25428
2025-06-16T11:15:00+05:30,1306.2,1310.6,1300.5,1306.7,28541
2025-06-16T12:15:00+05:30,1306.7,1312.5,1305.7,1311.0,24164
2025-06-16T13:15:00+05:30,1311.0,1320.0,1311.0,1318.7,35549
2025-06-16T14:15:00+05:30,1319.4,1320.0,1313.4,1318.2,36871
2025-06-16T15:15:00+05:30,1318.0,1320.4,1311.3,1315.0,17246
2025-06-17T09:15:00+05:30,1324.9,1338.4,1314.3,1337.6,79589
2025-06-17T10:15:00+05:30,1337.6,1346.3,1334.2,1345.5,64957
2025-06-17T11:15:00+05:30,1345.5,1345.5,1333.3,1339.9,75391
2025-06-17T12:15:00+05:30,1339.3,1340.5,1328.3,1330.9,65779
2025-06-17T13:15:00+05:30,1330.9,1344.5,1326.2,1343.9,58876
2025-06-17T14:15:00+05:30,1344.0,1344.0,1330.0,1332.6,55397
2025-06-17T15:15:00+05:30,1332.5,1332.8,1329.0,1332.0,24413
2025-06-18T09:15:00+05:30,1333.5,1342.3,1323.3,1331.2,62773
2025-06-18T10:15:00+05:30,1332.0,1334.2,1322.4,1328.9,98433
2025-06-18T11:15:00+05:30,1328.5,1339.4,1326.0,1338.1,93813
2025-06-18T12:15:00+05:30,1338.4,1345.9,1334.8,1345.2,68025
2025-06-18T13:15:00+05:30,1345.2,1345.2,1340.0,1344.0,51723
2025-06-18T14:15:00+05:30,1344.0,1361.0,1341.4,1360.3,152578
2025-06-18T15:15:00+05:30,1360.3,1361.0,1353.9,1357.0,73051
2025-06-19T09:15:00+05:30,1355.9,1356.0,1294.0,1295.0,709731
2025-06-19T10:15:00+05:30,1295.0,1299.9,1283.1,1289.7,358361
2025-06-19T11:15:00+05:30,1290.0,1303.0,1289.0,1298.5,207923
2025-06-19T12:15:00+05:30,1298.6,1299.5,1286.2,1290.9,143936
2025-06-19T13:15:00+05:30,1290.4,1296.0,1284.1,1295.9,137297
2025-06-19T14:15:00+05:30,1295.7,1304.0,1289.0,1290.5,245528
2025-06-19T15:15:00+05:30,1291.0,1292.3,1283.0,1285.0,96065
2025-06-20T09:15:00+05:30,1282.0,1301.5,1279.2,1293.3,150704
2025-06-20T10:15:00+05:30,1293.4,1304.7,1292.0,1302.9,38780
2025-06-20T11:15:00+05:30,1303.0,1309.0,1298.0,1299.7,27114
2025-06-20T12:15:00+05:30,1299.2,1301.9,1290.5,1297.8,33631
2025-06-20T13:15:00+05:30,1298.4,1305.0,1294.7,1296.5,61194
2025-06-20T14:15:00+05:30,1296.0,1308.9,1296.0,1307.5,29997
2025-06-20T15:15:00+05:30,1307.3,1309.0,1304.0,1309.0,22554
2025-06-23T09:15:00+05:30,1299.8,1317.0,1291.6,1301.1,78303
2025-06-23T10:15:00+05:30,1301.1,1308.3,1299.9,1304.4,23178
2025-06-23T11:15:00+05:30,1305.0,1307.7,1297.0,1301.1,37761
2025-06-23T12:15:00+05:30,1300.6,1305.9,1297.6,1304.9,20648
2025-06-23T13:15:00+05:30,1305.2,1310.5,1304.0,1308.8,25822
2025-06-23T14:15:00+05:30,1308.8,1312.9,1306.9,1310.6,40141
2025-06-23T15:15:00+05:30,1310.1,1310.6,1305.0,1308.8,21954
2025-06-24T09:15:00+05:30,1315.9,1323.2,1306.8,1317.5,91258
2025-06-24T10:15:00+05:30,1317.1,1323.9,1308.0,1308.1,74727
2025-06-24T11:15:00+05:30,1308.0,1326.6,1307.0,1318.1,80947
2025-06-24T12:15:00+05:30,1318.7,1324.5,1315.1,1319.8,58402
2025-06-24T13:15:00+05:30,1318.9,1319.9,1303.0,1305.6,102483
2025-06-24T14:15:00+05:30,1305.8,1313.0,1298.6,1311.1,125970
2025-06-24T15:15:00+05:30,1311.2,1311.2,1302.0,1308.5,32292
2025-06-25T09:15:00+05:30,1313.0,1327.4,1303.0,1323.0,167640
2025-06-25T10:15:00+05:30,1322.9,1327.0,1315.4,1316.1,65259
