timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,467.6,469.35,465.3,468.45,232912
2025-06-16T10:15:00+05:30,468.25,470.05,467.4,469.5,128345
2025-06-16T11:15:00+05:30,469.5,472.2,469.35,471.45,220826
2025-06-16T12:15:00+05:30,471.55,472.0,470.25,470.85,359090
2025-06-16T13:15:00+05:30,471.0,473.85,471.0,473.2,172585
2025-06-16T14:15:00+05:30,473.3,473.95,470.85,471.95,531271
2025-06-16T15:15:00+05:30,471.95,473.1,470.0,471.0,295554
2025-06-17T09:15:00+05:30,471.7,473.85,470.0,473.6,114059
2025-06-17T10:15:00+05:30,473.6,474.35,471.05,471.85,93351
2025-06-17T11:15:00+05:30,472.0,472.25,469.55,470.4,123047
2025-06-17T12:15:00+05:30,470.4,471.95,469.5,471.3,207601
2025-06-17T13:15:00+05:30,471.3,472.5,469.15,472.05,328547
2025-06-17T14:15:00+05:30,472.1,473.05,470.05,472.8,488062
2025-06-17T15:15:00+05:30,472.8,472.85,470.65,471.0,163766
2025-06-18T09:15:00+05:30,472.0,473.25,469.3,469.9,277702
2025-06-18T10:15:00+05:30,469.9,470.6,468.05,469.35,153863
2025-06-18T11:15:00+05:30,469.35,470.55,469.0,470.25,682168
2025-06-18T12:15:00+05:30,470.2,472.2,470.0,472.0,399997
2025-06-18T13:15:00+05:30,472.0,473.0,469.25,469.25,568420
2025-06-18T14:15:00+05:30,469.55,474.15,468.4,469.95,536315
2025-06-18T15:15:00+05:30,469.95,470.2,468.25,469.0,190937
2025-06-19T09:15:00+05:30,469.4,469.4,466.25,468.65,111482
2025-06-19T10:15:00+05:30,468.75,470.4,467.6,470.1,81877
2025-06-19T11:15:00+05:30,470.1,470.7,469.0,469.95,61879
2025-06-19T12:15:00+05:30,469.8,470.45,468.25,469.5,131285
2025-06-19T13:15:00+05:30,469.5,470.15,467.8,468.2,151103
2025-06-19T14:15:00+05:30,468.25,468.75,464.6,465.0,502521
2025-06-19T15:15:00+05:30,465.0,465.6,464.0,464.45,295600
2025-06-20T09:15:00+05:30,465.75,466.8,463.9,466.1,286030
2025-06-20T10:15:00+05:30,466.0,468.6,465.55,465.65,292995
2025-06-20T11:15:00+05:30,465.65,467.1,465.45,466.05,338352
2025-06-20T12:15:00+05:30,465.95,467.0,464.75,466.15,313549
2025-06-20T13:15:00+05:30,465.95,468.45,465.95,467.35,143454
2025-06-20T14:15:00+05:30,467.35,467.95,465.8,466.8,854975
2025-06-20T15:15:00+05:30,466.75,467.0,465.25,466.05,572674
2025-06-23T09:15:00+05:30,465.6,465.8,463.1,465.3,269535
2025-06-23T10:15:00+05:30,465.3,467.5,464.8,466.4,167670
2025-06-23T11:15:00+05:30,466.4,466.7,464.8,465.45,170344
2025-06-23T12:15:00+05:30,465.45,467.65,465.35,466.9,225749
2025-06-23T13:15:00+05:30,466.9,467.85,466.7,467.7,89914
2025-06-23T14:15:00+05:30,467.7,468.35,467.05,467.9,531471
2025-06-23T15:15:00+05:30,467.85,467.85,467.0,467.5,105384
2025-06-24T09:15:00+05:30,469.1,472.35,468.2,470.85,263509
2025-06-24T10:15:00+05:30,470.85,471.55,468.45,471.5,586235
2025-06-24T11:15:00+05:30,471.5,473.3,470.8,473.25,116204
2025-06-24T12:15:00+05:30,473.05,475.25,473.05,475.0,524927
2025-06-24T13:15:00+05:30,475.0,475.5,473.7,475.0,631776
2025-06-24T14:15:00+05:30,475.05,475.5,474.45,475.25,279875
2025-06-24T15:15:00+05:30,475.1,475.45,474.45,475.2,165583
2025-06-25T09:15:00+05:30,476.05,478.35,475.35,478.3,274739
2025-06-25T10:15:00+05:30,478.1,481.5,477.1,479.9,685723
2025-06-25T11:15:00+05:30,479.8,480.25,478.25,479.3,624484
2025-06-25T12:15:00+05:30,479.3,480.1,478.0,480.0,472634
2025-06-25T13:15:00+05:30,480.0,480.25,479.15,480.0,213119
2025-06-25T14:15:00+05:30,479.95,481.0,479.3,480.35,455591
2025-06-25T15:15:00+05:30,480.35,480.5,479.05,480.0,225131
2025-06-26T09:15:00+05:30,481.75,483.3,479.2,479.8,298068
2025-06-26T10:15:00+05:30,479.8,481.6,478.8,481.35,139532
2025-06-26T11:15:00+05:30,481.35,481.95,480.0,480.2,80671
2025-06-26T12:15:00+05:30,480.25,481.5,479.4,480.4,250025
2025-06-26T13:15:00+05:30,480.45,481.4,480.0,480.55,55270
2025-06-26T14:15:00+05:30,480.65,481.75,480.0,481.55,346748
2025-06-26T15:15:00+05:30,481.2,482.5,481.05,482.05,235243
2025-06-27T09:15:00+05:30,482.6,484.7,481.6,483.9,225298
2025-06-27T10:15:00+05:30,484.05,486.3,483.65,486.05,193611
2025-06-27T11:15:00+05:30,486.2,488.3,485.9,488.0,708606
2025-06-27T12:15:00+05:30,488.0,488.25,486.1,486.4,365814
2025-06-27T13:15:00+05:30,486.4,487.0,485.3,485.45,126257
2025-06-27T14:15:00+05:30,485.5,487.15,485.3,486.5,742851
2025-06-27T15:15:00+05:30,486.45,487.2,484.85,485.0,416216
2025-06-30T09:15:00+05:30,487.35,487.75,479.55,480.7,401633
2025-06-30T10:15:00+05:30,480.85,481.65,479.4,481.1,315269
2025-06-30T11:15:00+05:30,481.0,483.1,481.0,483.05,875112
2025-06-30T12:15:00+05:30,483.05,484.1,482.35,483.9,414286
2025-06-30T13:15:00+05:30,483.85,485.35,483.0,485.3,392535
2025-06-30T14:15:00+05:30,485.1,486.35,484.5,485.1,514233
2025-06-30T15:15:00+05:30,485.1,485.85,484.95,485.0,339132
2025-07-01T09:15:00+05:30,487.0,489.2,485.35,488.0,198549
2025-07-01T10:15:00+05:30,488.0,488.4,483.1,483.45,149903
2025-07-01T11:15:00+05:30,483.45,485.9,483.0,485.1,149740
2025-07-01T12:15:00+05:30,485.15,485.85,482.5,483.25,161222
2025-07-01T13:15:00+05:30,483.25,483.9,480.8,481.5,459156
2025-07-01T14:15:00+05:30,481.55,482.9,480.7,482.65,305007
2025-07-01T15:15:00+05:30,482.65,483.0,481.8,483.0,190540
2025-07-02T09:15:00+05:30,484.6,484.7,479.4,484.25,437403
2025-07-02T10:15:00+05:30,484.25,485.4,483.0,485.3,493156
2025-07-02T11:15:00+05:30,485.3,485.55,484.0,485.0,230086
2025-07-02T12:15:00+05:30,485.0,487.0,484.9,485.8,582579
2025-07-02T13:15:00+05:30,485.8,488.4,485.05,487.75,234599
2025-07-02T14:15:00+05:30,487.55,487.85,486.85,487.45,229475
2025-07-02T15:15:00+05:30,487.4,487.95,487.0,487.25,148862
2025-07-03T09:15:00+05:30,489.25,490.95,487.5,489.75,262110
2025-07-03T10:15:00+05:30,489.75,491.95,489.5,491.5,252980
2025-07-03T11:15:00+05:30,491.5,492.0,490.2,491.7,309990
2025-07-03T12:15:00+05:30,491.9,492.95,490.4,491.65,629726
2025-07-03T13:15:00+05:30,491.65,492.0,490.3,490.65,533499
2025-07-03T14:15:00+05:30,490.9,492.0,490.15,491.5,706964
2025-07-03T15:15:00+05:30,491.5,492.0,490.1,492.0,278307
2025-07-04T09:15:00+05:30,492.95,496.0,491.6,495.75,536388
2025-07-04T10:15:00+05:30,495.75,497.0,494.4,497.0,300184
2025-07-04T11:15:00+05:30,496.8,497.4,493.55,494.2,681223
2025-07-04T12:15:00+05:30,494.25,495.3,493.75,494.0,372525
2025-07-04T13:15:00+05:30,494.0,497.2,493.9,496.0,277213
2025-07-04T14:15:00+05:30,495.8,496.2,494.4,495.15,395373
2025-07-04T15:15:00+05:30,495.15,495.75,494.2,495.0,290774
2025-07-07T09:15:00+05:30,501.9,514.5,496.05,514.0,4457259
2025-07-07T10:15:00+05:30,513.85,515.95,512.55,515.2,1483029
2025-07-07T11:15:00+05:30,515.2,517.7,513.6,516.3,1280141
2025-07-07T12:15:00+05:30,516.2,516.5,511.95,514.4,987839
2025-07-07T13:15:00+05:30,514.5,514.9,510.85,512.1,710286
2025-07-07T14:15:00+05:30,512.0,513.45,511.0,513.25,689843
2025-07-07T15:15:00+05:30,513.25,513.5,512.25,512.5,329053
2025-07-08T09:15:00+05:30,512.75,514.0,510.85,513.15,422426
2025-07-08T10:15:00+05:30,513.15,513.8,512.75,513.1,165563
2025-07-08T11:15:00+05:30,513.1,513.45,512.45,513.25,180037
2025-07-08T12:15:00+05:30,513.3,513.3,510.5,513.2,343129
2025-07-08T13:15:00+05:30,513.15,513.15,510.9,511.75,372449
2025-07-08T14:15:00+05:30,511.8,512.95,511.45,512.8,287335
2025-07-08T15:15:00+05:30,512.8,514.4,512.4,514.0,209325
2025-07-09T09:15:00+05:30,512.65,518.6,511.1,517.9,573602
2025-07-09T10:15:00+05:30,517.9,522.35,517.8,522.0,854768
2025-07-09T11:15:00+05:30,522.0,523.45,520.7,523.25,519814
2025-07-09T12:15:00+05:30,523.2,523.4,521.4,521.85,366098
