timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,2099.3,2107.5,2073.3,2104.7,30924
2025-06-16T10:15:00+05:30,2105.7,2120.7,2104.8,2116.0,56997
2025-06-16T11:15:00+05:30,2116.0,2121.0,2109.0,2112.3,51667
2025-06-16T12:15:00+05:30,2112.3,2113.9,2098.1,2098.5,24609
2025-06-16T13:15:00+05:30,2098.5,2109.0,2090.0,2100.2,79959
2025-06-16T14:15:00+05:30,2100.9,2104.1,2088.0,2096.5,93449
2025-06-16T15:15:00+05:30,2096.5,2099.0,2092.3,2094.6,20679
2025-06-17T09:15:00+05:30,2105.5,2108.1,2082.0,2086.0,17024
2025-06-17T10:15:00+05:30,2085.2,2096.7,2084.5,2096.5,8336
2025-06-17T11:15:00+05:30,2096.5,2098.0,2075.0,2075.0,10828
2025-06-17T12:15:00+05:30,2075.0,2077.1,2062.7,2067.7,6170
2025-06-17T13:15:00+05:30,2066.1,2075.0,2063.0,2069.3,7409
2025-06-17T14:15:00+05:30,2070.0,2075.0,2063.6,2064.0,8675
2025-06-17T15:15:00+05:30,2064.0,2065.0,2059.1,2062.4,29539
2025-06-18T09:15:00+05:30,2069.0,2086.0,2059.2,2079.7,15964
2025-06-18T10:15:00+05:30,2079.9,2079.9,2065.5,2073.0,7698
2025-06-18T11:15:00+05:30,2073.8,2078.1,2062.0,2067.7,8839
2025-06-18T12:15:00+05:30,2067.0,2068.4,2057.5,2064.2,69046
2025-06-18T13:15:00+05:30,2063.7,2065.1,2055.4,2057.1,28565
2025-06-18T14:15:00+05:30,2057.1,2059.0,2044.1,2048.4,185388
2025-06-18T15:15:00+05:30,2049.5,2053.1,2042.9,2043.0,46201
2025-06-19T09:15:00+05:30,2050.0,2059.2,2040.3,2058.2,10396
2025-06-19T10:15:00+05:30,2059.6,2063.0,2045.3,2053.5,12568
2025-06-19T11:15:00+05:30,2052.4,2052.4,2039.0,2044.3,5542
2025-06-19T12:15:00+05:30,2044.3,2050.5,2029.6,2047.7,9105
2025-06-19T13:15:00+05:30,2047.8,2051.2,2040.5,2048.7,8534
2025-06-19T14:15:00+05:30,2048.0,2057.0,2048.0,2052.9,9692
2025-06-19T15:15:00+05:30,2052.9,2053.5,2035.0,2035.0,39615
2025-06-20T09:15:00+05:30,2043.4,2053.4,2025.4,2033.5,41177
2025-06-20T10:15:00+05:30,2033.4,2054.0,2032.8,2050.6,21801
2025-06-20T11:15:00+05:30,2049.9,2054.1,2043.1,2045.5,8275
2025-06-20T12:15:00+05:30,2045.4,2050.4,2035.6,2043.9,16633
2025-06-20T13:15:00+05:30,2043.8,2049.9,2040.6,2047.4,11375
2025-06-20T14:15:00+05:30,2047.4,2061.9,2032.7,2040.2,317516
2025-06-20T15:15:00+05:30,2039.5,2044.7,2030.5,2038.1,265993
2025-06-23T09:15:00+05:30,2025.0,2054.0,2025.0,2050.8,29849
2025-06-23T10:15:00+05:30,2050.8,2067.8,2049.2,2054.0,13912
2025-06-23T11:15:00+05:30,2054.9,2063.2,2052.7,2062.8,5363
2025-06-23T12:15:00+05:30,2061.5,2075.5,2060.5,2071.0,14947
