timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,360.55,364.8,353.65,358.5,471561
2025-06-16T10:15:00+05:30,358.4,360.45,357.3,357.35,101926
2025-06-16T11:15:00+05:30,357.35,362.6,357.3,362.6,186212
2025-06-16T12:15:00+05:30,362.6,364.45,361.65,362.15,162975
2025-06-16T13:15:00+05:30,362.35,364.05,362.15,364.05,80157
2025-06-16T14:15:00+05:30,364.0,365.7,363.65,365.6,158959
2025-06-16T15:15:00+05:30,365.6,365.65,364.65,365.05,102055
2025-06-17T09:15:00+05:30,365.05,366.0,362.3,363.6,225613
2025-06-17T10:15:00+05:30,363.7,363.75,361.3,361.75,116724
2025-06-17T11:15:00+05:30,361.75,361.95,359.75,361.25,119331
2025-06-17T12:15:00+05:30,361.25,362.5,360.05,360.15,57022
2025-06-17T13:15:00+05:30,360.25,361.0,359.5,360.55,38482
2025-06-17T14:15:00+05:30,360.55,360.6,357.55,359.35,100703
2025-06-17T15:15:00+05:30,359.25,359.95,357.15,357.45,104599
2025-06-18T09:15:00+05:30,361.45,366.8,357.55,365.7,924121
2025-06-18T10:15:00+05:30,365.7,366.25,362.75,365.5,992457
2025-06-18T11:15:00+05:30,365.45,368.25,365.15,367.55,1014821
2025-06-18T12:15:00+05:30,367.55,367.55,365.1,365.8,733954
2025-06-18T13:15:00+05:30,365.8,367.0,364.75,366.5,458696
2025-06-18T14:15:00+05:30,366.45,366.9,364.15,365.15,582648
2025-06-18T15:15:00+05:30,365.1,365.9,364.35,365.0,265206
2025-06-19T09:15:00+05:30,365.8,366.5,358.2,359.05,294993
2025-06-19T10:15:00+05:30,359.15,363.2,356.35,361.85,336966
2025-06-19T11:15:00+05:30,361.85,361.85,359.85,360.4,97607
2025-06-19T12:15:00+05:30,360.65,360.8,356.55,357.35,156828
2025-06-19T13:15:00+05:30,357.0,359.2,356.9,358.7,105649
2025-06-19T14:15:00+05:30,358.7,359.4,355.0,355.95,163524
2025-06-19T15:15:00+05:30,356.1,356.2,352.75,353.5,100134
2025-06-20T09:15:00+05:30,350.35,354.75,342.85,352.4,976736
2025-06-20T10:15:00+05:30,352.3,353.95,351.05,351.65,212902
2025-06-20T11:15:00+05:30,351.85,352.9,349.55,350.0,215803
2025-06-20T12:15:00+05:30,350.0,356.75,348.7,354.15,359545
2025-06-20T13:15:00+05:30,354.15,356.2,352.75,354.85,165045
2025-06-20T14:15:00+05:30,354.85,358.5,354.85,357.5,498393
2025-06-20T15:15:00+05:30,357.5,359.0,356.75,357.5,362317
2025-06-23T09:15:00+05:30,355.25,361.5,355.1,359.0,287265
