timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,14311.0,14435.0,14127.0,14172.0,78827
2025-06-16T10:15:00+05:30,14172.0,14278.0,14172.0,14253.0,32438
2025-06-16T11:15:00+05:30,14253.0,14300.0,14217.0,14279.0,22165
2025-06-16T12:15:00+05:30,14277.0,14357.0,14245.0,14250.0,44793
2025-06-16T13:15:00+05:30,14246.0,14390.0,14223.0,14390.0,30356
2025-06-16T14:15:00+05:30,14390.0,14400.0,14271.0,14307.0,75628
2025-06-16T15:15:00+05:30,14302.0,14333.0,14300.0,14320.0,25307
2025-06-17T09:15:00+05:30,14385.0,14388.0,14251.0,14350.0,139808
2025-06-17T10:15:00+05:30,14347.0,14548.0,14346.0,14425.0,139992
2025-06-17T11:15:00+05:30,14420.0,14426.0,14242.0,14266.0,83734
2025-06-17T12:15:00+05:30,14266.0,14342.0,14209.0,14225.0,83895
2025-06-17T13:15:00+05:30,14223.0,14328.0,14207.0,14319.0,52210
2025-06-17T14:15:00+05:30,14317.0,14346.0,14247.0,14259.0,46294
2025-06-17T15:15:00+05:30,14256.0,14264.0,14212.0,14220.0,28804
2025-06-18T09:15:00+05:30,14251.0,14507.0,14183.0,14488.0,99959
2025-06-18T10:15:00+05:30,14490.0,14530.0,14383.0,14422.0,55053
2025-06-18T11:15:00+05:30,14420.0,14458.0,14374.0,14450.0,25872
2025-06-18T12:15:00+05:30,14451.0,14451.0,14410.0,14436.0,14369
2025-06-18T13:15:00+05:30,14436.0,14450.0,14353.0,14367.0,21264
2025-06-18T14:15:00+05:30,14367.0,14414.0,14316.0,14363.0,37508
2025-06-18T15:15:00+05:30,14360.0,14379.0,14345.0,14375.0,18009
2025-06-19T09:15:00+05:30,14392.0,14490.0,14311.0,14382.0,54783
2025-06-19T10:15:00+05:30,14387.0,14387.0,14252.0,14289.0,26295
2025-06-19T11:15:00+05:30,14289.0,14295.0,14224.0,14263.0,14698
2025-06-19T12:15:00+05:30,14263.0,14265.0,14153.0,14161.0,32734
2025-06-19T13:15:00+05:30,14161.0,14171.0,14103.0,14148.0,27244
2025-06-19T14:15:00+05:30,14148.0,14160.0,14002.0,14022.0,67179
2025-06-19T15:15:00+05:30,14022.0,14032.0,13950.0,13958.0,35595
2025-06-20T09:15:00+05:30,13999.0,14105.0,13862.0,13997.0,99637
2025-06-20T10:15:00+05:30,13989.0,14099.0,13988.0,14046.0,48344
2025-06-20T11:15:00+05:30,14042.0,14150.0,14035.0,14117.0,44546
2025-06-20T12:15:00+05:30,14118.0,14137.0,14038.0,14114.0,30105
2025-06-20T13:15:00+05:30,14114.0,14123.0,14033.0,14035.0,21519
2025-06-20T14:15:00+05:30,14035.0,14100.0,14000.0,14067.0,181306
2025-06-20T15:15:00+05:30,14067.0,14076.0,14010.0,14040.0,138560
2025-06-23T09:15:00+05:30,13800.0,14466.0,13280.0,14377.0,225221
2025-06-23T10:15:00+05:30,14378.0,14552.0,14315.0,14514.0,155104
2025-06-23T11:15:00+05:30,14514.0,14520.0,14429.0,14476.0,42823
2025-06-23T12:15:00+05:30,14476.0,14524.0,14451.0,14509.0,33205
2025-06-23T13:15:00+05:30,14504.0,14662.0,14503.0,14545.0,99273
2025-06-23T14:15:00+05:30,14545.0,14808.0,14394.0,14557.0,122792
2025-06-23T15:15:00+05:30,14561.0,14595.0,14515.0,14540.0,30581
2025-06-24T09:15:00+05:30,14701.0,14774.0,14444.0,14531.0,142814
2025-06-24T10:15:00+05:30,14527.0,14560.0,14477.0,14515.0,43258
2025-06-24T11:15:00+05:30,14515.0,14749.0,14515.0,14685.0,105089
2025-06-24T12:15:00+05:30,14685.0,14719.0,14632.0,14704.0,40665
2025-06-24T13:15:00+05:30,14710.0,14745.0,14540.0,14588.0,58083
2025-06-24T14:15:00+05:30,14588.0,14590.0,14472.0,14484.0,79986
2025-06-24T15:15:00+05:30,14484.0,14545.0,14478.0,14500.0,38963
2025-06-25T09:15:00+05:30,14516.0,14585.0,14201.0,14225.0,193415
2025-06-25T10:15:00+05:30,14225.0,14303.0,14100.0,14120.0,128778
2025-06-25T11:15:00+05:30,14123.0,14210.0,14087.0,14160.0,60615
2025-06-25T12:15:00+05:30,14161.0,14175.0,14054.0,14092.0,77703
2025-06-25T13:15:00+05:30,14097.0,14154.0,14055.0,14108.0,63388
2025-06-25T14:15:00+05:30,14108.0,14206.0,14100.0,14175.0,98217
2025-06-25T15:15:00+05:30,14175.0,14182.0,14120.0,14125.0,46821
2025-06-26T09:15:00+05:30,14159.0,14257.0,14033.0,14063.0,194269
2025-06-26T10:15:00+05:30,14069.0,14140.0,14051.0,14140.0,72003
2025-06-26T11:15:00+05:30,14135.0,14252.0,14126.0,14203.0,95631
2025-06-26T12:15:00+05:30,14207.0,14276.0,14098.0,14150.0,70473
2025-06-26T13:15:00+05:30,14150.0,14188.0,14113.0,14147.0,70799
2025-06-26T14:15:00+05:30,14147.0,14410.0,14116.0,14341.0,195019
2025-06-26T15:15:00+05:30,14341.0,14362.0,14291.0,14302.0,30620
2025-06-27T09:15:00+05:30,14441.0,14954.0,14428.0,14828.0,472896
2025-06-27T10:15:00+05:30,14827.0,14829.0,14634.0,14679.0,174628
2025-06-27T11:15:00+05:30,14675.0,14770.0,14616.0,14740.0,83939
2025-06-27T12:15:00+05:30,14740.0,14786.0,14692.0,14714.0,74496
2025-06-27T13:15:00+05:30,14712.0,14730.0,14690.0,14706.0,42880
2025-06-27T14:15:00+05:30,14706.0,14722.0,14415.0,14459.0,290074
2025-06-27T15:15:00+05:30,14458.0,14525.0,14433.0,14510.0,167873
2025-06-30T09:15:00+05:30,14587.0,14598.0,14425.0,14486.0,96381
2025-06-30T10:15:00+05:30,14485.0,14530.0,14450.0,14457.0,34179
2025-06-30T11:15:00+05:30,14460.0,14589.0,14428.0,14559.0,45531
2025-06-30T12:15:00+05:30,14559.0,14666.0,14555.0,14590.0,83457
2025-06-30T13:15:00+05:30,14594.0,15020.0,14589.0,14982.0,303200
2025-06-30T14:15:00+05:30,14982.0,14985.0,14790.0,14911.0,114890
2025-06-30T15:15:00+05:30,14916.0,15108.0,14912.0,14989.0,204079
2025-07-01T09:15:00+05:30,14594.0,14863.0,14460.0,14517.0,279139
2025-07-01T10:15:00+05:30,14517.0,14576.0,14491.0,14540.0,62349
