timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,853.0,856.8,844.0,846.45,449613
2025-06-16T10:15:00+05:30,846.25,855.5,846.25,852.8,285715
2025-06-16T11:15:00+05:30,852.55,859.95,850.45,856.15,367390
2025-06-16T12:15:00+05:30,856.0,858.75,854.2,857.4,298077
2025-06-16T13:15:00+05:30,857.4,863.0,856.9,859.85,239280
2025-06-16T14:15:00+05:30,860.0,860.7,857.0,858.9,357546
2025-06-16T15:15:00+05:30,858.65,860.85,858.0,859.35,192774
2025-06-17T09:15:00+05:30,860.8,882.45,860.3,867.0,1998019
2025-06-17T10:15:00+05:30,866.85,869.8,861.0,865.15,679965
2025-06-17T11:15:00+05:30,864.95,864.95,858.3,860.45,378587
2025-06-17T12:15:00+05:30,860.45,865.9,855.1,857.95,776813
2025-06-17T13:15:00+05:30,857.95,858.5,853.1,854.5,520264
2025-06-17T14:15:00+05:30,854.6,855.5,849.65,852.45,585268
2025-06-17T15:15:00+05:30,852.35,854.0,850.2,854.0,320922
2025-06-18T09:15:00+05:30,864.45,867.25,854.55,857.8,1932814
2025-06-18T10:15:00+05:30,857.55,858.35,851.0,851.5,455300
2025-06-18T11:15:00+05:30,851.6,852.0,843.7,848.05,646533
2025-06-18T12:15:00+05:30,848.05,848.5,841.7,847.4,278270
2025-06-18T13:15:00+05:30,847.15,851.0,846.0,846.9,179557
2025-06-18T14:15:00+05:30,846.7,849.45,843.2,843.7,707821
2025-06-18T15:15:00+05:30,843.7,846.9,843.25,845.0,415251
2025-06-19T09:15:00+05:30,845.15,850.0,843.2,844.65,492428
2025-06-19T10:15:00+05:30,844.7,846.0,839.55,845.25,326671
2025-06-19T11:15:00+05:30,845.2,845.5,840.0,840.3,247816
2025-06-19T12:15:00+05:30,840.3,842.0,833.85,838.1,861921
2025-06-19T13:15:00+05:30,838.1,842.65,836.0,842.65,1291859
2025-06-19T14:15:00+05:30,842.65,845.65,839.8,840.05,765986
2025-06-19T15:15:00+05:30,840.05,840.7,836.0,836.0,353429
2025-06-20T09:15:00+05:30,840.85,847.3,837.3,843.0,481825
2025-06-20T10:15:00+05:30,842.95,855.0,842.8,854.1,554682
2025-06-20T11:15:00+05:30,854.4,857.8,852.15,855.2,412561
2025-06-20T12:15:00+05:30,855.2,855.4,847.85,848.95,360837
2025-06-20T13:15:00+05:30,849.15,851.1,848.05,848.55,95406
2025-06-20T14:15:00+05:30,848.15,856.0,848.15,853.95,1337708
2025-06-20T15:15:00+05:30,853.95,858.0,850.0,853.05,1136911
2025-06-23T09:15:00+05:30,847.0,856.7,844.65,854.45,650571
2025-06-23T10:15:00+05:30,854.4,861.45,852.05,853.9,532049
2025-06-23T11:15:00+05:30,853.95,857.9,852.15,856.4,243530
2025-06-23T12:15:00+05:30,856.6,858.7,853.5,855.2,270034
2025-06-23T13:15:00+05:30,855.0,857.0,854.05,854.8,273788
2025-06-23T14:15:00+05:30,854.8,856.0,849.9,852.9,365789
2025-06-23T15:15:00+05:30,852.9,853.95,848.35,848.6,169389
2025-06-24T09:15:00+05:30,862.95,868.7,858.2,863.75,1043854
2025-06-24T10:15:00+05:30,863.75,864.85,858.5,860.25,294890
2025-06-24T11:15:00+05:30,860.25,862.4,857.55,859.45,348276
2025-06-24T12:15:00+05:30,859.5,860.6,855.6,858.4,486669
2025-06-24T13:15:00+05:30,858.4,860.1,847.8,852.85,492484
2025-06-24T14:15:00+05:30,852.85,855.5,848.0,848.45,405284
2025-06-24T15:15:00+05:30,848.45,852.3,847.5,851.95,226037
2025-06-25T09:15:00+05:30,852.5,855.6,847.55,848.65,895441
2025-06-25T10:15:00+05:30,848.6,851.3,847.1,850.8,264955
2025-06-25T11:15:00+05:30,850.85,850.85,847.8,848.05,192958
2025-06-25T12:15:00+05:30,848.0,849.35,845.15,847.4,204586
2025-06-25T13:15:00+05:30,847.35,854.0,847.1,853.0,428751
2025-06-25T14:15:00+05:30,853.0,855.0,850.8,854.0,441614
