timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,4034.7,4044.9,3983.6,4002.5,57002
2025-06-16T10:15:00+05:30,4001.1,4014.5,4001.0,4009.6,21240
2025-06-16T11:15:00+05:30,4010.0,4014.7,4002.0,4009.3,15638
2025-06-16T12:15:00+05:30,4010.6,4021.0,4006.8,4018.0,22931
2025-06-16T13:15:00+05:30,4018.0,4086.0,4015.3,4080.0,58015
2025-06-16T14:15:00+05:30,4080.0,4096.9,4070.1,4084.9,63933
2025-06-16T15:15:00+05:30,4084.9,4090.7,4080.4,4085.4,32313
2025-06-17T09:15:00+05:30,4089.9,4109.0,4047.1,4082.0,63272
2025-06-17T10:15:00+05:30,4082.0,4108.3,4076.7,4087.0,24906
2025-06-17T11:15:00+05:30,4088.0,4098.0,4079.8,4082.0,12135
2025-06-17T12:15:00+05:30,4082.6,4085.5,4060.1,4072.9,11283
2025-06-17T13:15:00+05:30,4072.9,4091.8,4069.6,4087.2,11516
2025-06-17T14:15:00+05:30,4089.2,4090.0,4041.0,4056.3,55317
2025-06-17T15:15:00+05:30,4056.9,4079.0,4053.9,4065.8,52869
2025-06-18T09:15:00+05:30,4102.0,4180.0,4081.0,4179.0,460663
2025-06-18T10:15:00+05:30,4176.7,4204.0,4143.1,4163.2,299955
2025-06-18T11:15:00+05:30,4163.0,4215.0,4159.1,4209.3,210983
2025-06-18T12:15:00+05:30,4210.0,4213.8,4186.3,4207.3,176352
2025-06-18T13:15:00+05:30,4207.3,4220.0,4192.0,4218.1,155392
2025-06-18T14:15:00+05:30,4218.5,4240.0,4202.0,4233.4,382511
2025-06-18T15:15:00+05:30,4233.4,4236.9,4220.6,4229.0,116271
2025-06-19T09:15:00+05:30,4228.7,4254.0,4201.9,4227.3,232156
2025-06-19T10:15:00+05:30,4227.3,4234.9,4206.2,4217.0,94094
2025-06-19T11:15:00+05:30,4217.0,4222.0,4185.2,4197.7,61815
2025-06-19T12:15:00+05:30,4197.7,4199.4,4160.3,4185.4,101403
2025-06-19T13:15:00+05:30,4185.4,4215.0,4164.4,4215.0,67091
2025-06-19T14:15:00+05:30,4215.0,4222.4,4200.1,4206.9,135771
2025-06-19T15:15:00+05:30,4206.2,4209.8,4180.0,4185.1,43925
2025-06-20T09:15:00+05:30,4203.1,4219.9,4161.1,4185.7,97605
2025-06-20T10:15:00+05:30,4184.9,4202.3,4180.6,4189.1,38197
2025-06-20T11:15:00+05:30,4190.3,4265.4,4185.0,4255.5,134161
2025-06-20T12:15:00+05:30,4256.1,4288.0,4255.9,4285.0,101047
2025-06-20T13:15:00+05:30,4285.0,4318.0,4283.3,4316.0,164843
2025-06-20T14:15:00+05:30,4316.0,4324.5,4292.1,4300.0,323047
2025-06-20T15:15:00+05:30,4300.3,4302.9,4274.0,4283.1,151052
2025-06-23T09:15:00+05:30,4269.0,4305.0,4255.4,4303.5,97890
2025-06-23T10:15:00+05:30,4304.4,4317.7,4287.0,4293.5,98106
2025-06-23T11:15:00+05:30,4293.1,4300.0,4276.2,4290.0,94995
2025-06-23T12:15:00+05:30,4290.0,4303.9,4287.0,4297.9,129456
2025-06-23T13:15:00+05:30,4297.9,4320.0,4295.1,4310.5,78264
2025-06-23T14:15:00+05:30,4310.8,4358.6,4309.1,4328.1,214239
2025-06-23T15:15:00+05:30,4328.6,4350.0,4321.0,4327.0,109588
2025-06-24T09:15:00+05:30,4353.1,4356.7,4276.0,4330.6,101121
2025-06-24T10:15:00+05:30,4331.0,4332.0,4307.0,4308.9,31702
2025-06-24T11:15:00+05:30,4309.0,4325.0,4288.0,4308.6,74881
2025-06-24T12:15:00+05:30,4307.9,4313.4,4281.1,4283.2,52764
2025-06-24T13:15:00+05:30,4284.8,4297.9,4266.2,4278.3,68064
2025-06-24T14:15:00+05:30,4278.3,4280.0,4245.0,4247.1,64809
2025-06-24T15:15:00+05:30,4247.4,4266.3,4239.4,4260.0,44064
2025-06-25T09:15:00+05:30,4251.3,4294.0,4248.8,4271.0,75986
2025-06-25T10:15:00+05:30,4271.2,4280.0,4256.7,4264.5,64748
2025-06-25T11:15:00+05:30,4263.0,4274.6,4250.4,4253.8,140088
2025-06-25T12:15:00+05:30,4253.4,4275.0,4236.7,4263.0,68124
2025-06-25T13:15:00+05:30,4262.9,4270.0,4253.9,4265.8,56988
2025-06-25T14:15:00+05:30,4265.8,4279.2,4255.0,4278.3,91480
2025-06-25T15:15:00+05:30,4278.1,4286.4,4271.4,4275.0,33975
2025-06-26T09:15:00+05:30,4280.0,4333.4,4268.0,4280.6,52807
2025-06-26T10:15:00+05:30,4282.6,4302.2,4276.4,4300.0,43761
2025-06-26T11:15:00+05:30,4300.4,4313.0,4289.5,4313.0,35802
2025-06-26T12:15:00+05:30,4313.0,4319.0,4300.0,4313.0,14864
2025-06-26T13:15:00+05:30,4313.0,4329.0,4297.7,4307.1,42310
2025-06-26T14:15:00+05:30,4306.7,4323.9,4300.1,4314.0,89226
2025-06-26T15:15:00+05:30,4314.0,4319.0,4302.2,4316.9,47084
2025-06-27T09:15:00+05:30,4320.0,4348.9,4301.3,4312.3,43732
2025-06-27T10:15:00+05:30,4315.0,4339.0,4306.8,4324.8,53145
2025-06-27T11:15:00+05:30,4325.0,4335.0,4307.0,4308.0,24981
2025-06-27T12:15:00+05:30,4309.3,4312.9,4290.4,4291.1,27638
2025-06-27T13:15:00+05:30,4291.8,4323.0,4290.0,4322.3,28381
2025-06-27T14:15:00+05:30,4321.8,4324.1,4301.1,4312.6,51890
2025-06-27T15:15:00+05:30,4311.7,4320.0,4307.1,4319.8,21395
2025-06-30T09:15:00+05:30,4319.8,4395.0,4313.5,4365.0,147865
2025-06-30T10:15:00+05:30,4366.0,4376.6,4340.0,4367.9,108510
2025-06-30T11:15:00+05:30,4367.0,4370.0,4340.1,4351.3,175671
2025-06-30T12:15:00+05:30,4352.8,4372.9,4338.0,4350.1,64386
2025-06-30T13:15:00+05:30,4350.9,4361.5,4331.3,4353.0,95167
2025-06-30T14:15:00+05:30,4354.1,4375.0,4348.1,4365.5,137179
2025-06-30T15:15:00+05:30,4365.5,4390.0,4362.1,4366.4,81183
2025-07-01T09:15:00+05:30,4388.9,4475.0,4381.1,4471.9,311292
2025-07-01T10:15:00+05:30,4470.5,4483.6,4380.5,4391.8,224653
2025-07-01T11:15:00+05:30,4391.9,4432.3,4388.0,4419.0,79571
2025-07-01T12:15:00+05:30,4419.0,4463.0,4418.2,4452.0,108377
2025-07-01T13:15:00+05:30,4452.0,4463.0,4437.1,4459.6,95455
2025-07-01T14:15:00+05:30,4459.4,4460.5,4446.8,4451.0,84564
2025-07-01T15:15:00+05:30,4451.0,4459.0,4445.1,4452.5,47428
2025-07-02T09:15:00+05:30,4490.0,4490.0,4347.0,4362.5,250764
2025-07-02T10:15:00+05:30,4361.6,4366.0,4340.0,4362.6,79735
2025-07-02T11:15:00+05:30,4362.7,4394.0,4342.0,4385.6,102321
2025-07-02T12:15:00+05:30,4386.9,4412.0,4385.0,4400.7,70310
2025-07-02T13:15:00+05:30,4402.1,4402.1,4368.1,4380.8,57204
2025-07-02T14:15:00+05:30,4380.8,4404.5,4357.2,4401.4,120412
2025-07-02T15:15:00+05:30,4401.4,4402.0,4369.0,4398.0,87638
