timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1359.0,1359.7,1342.2,1347.3,221081
2025-06-16T10:15:00+05:30,1347.3,1352.5,1345.5,1351.5,182004
2025-06-16T11:15:00+05:30,1350.9,1352.3,1347.3,1349.4,75065
2025-06-16T12:15:00+05:30,1349.3,1354.0,1346.5,1348.8,185346
2025-06-16T13:15:00+05:30,1349.2,1350.0,1345.7,1348.7,102951
2025-06-16T14:15:00+05:30,1348.6,1349.7,1343.0,1347.0,370025
2025-06-16T15:15:00+05:30,1347.0,1350.1,1345.1,1350.0,154378
2025-06-17T09:15:00+05:30,1349.7,1349.7,1334.3,1334.6,204834
2025-06-17T10:15:00+05:30,1334.6,1344.4,1334.5,1339.9,94338
2025-06-17T11:15:00+05:30,1339.6,1340.7,1334.6,1339.0,234988
2025-06-17T12:15:00+05:30,1339.2,1339.9,1335.3,1336.9,65396
2025-06-17T13:15:00+05:30,1336.9,1339.6,1335.6,1337.0,113226
2025-06-17T14:15:00+05:30,1337.3,1337.4,1302.6,1321.2,790044
2025-06-17T15:15:00+05:30,1321.0,1322.0,1314.1,1319.9,141193
2025-06-18T09:15:00+05:30,1311.1,1324.8,1308.8,1317.5,189891
2025-06-18T10:15:00+05:30,1317.9,1319.7,1312.5,1314.4,128362
2025-06-18T11:15:00+05:30,1314.4,1318.0,1310.0,1317.9,76024
2025-06-18T12:15:00+05:30,1317.6,1318.5,1313.2,1315.0,38133
2025-06-18T13:15:00+05:30,1314.9,1318.0,1312.2,1315.4,91782
2025-06-18T14:15:00+05:30,1314.8,1317.0,1312.3,1313.1,125585
2025-06-18T15:15:00+05:30,1313.1,1314.0,1311.5,1311.6,74437
2025-06-19T09:15:00+05:30,1310.0,1320.3,1304.3,1318.6,295783
2025-06-19T10:15:00+05:30,1318.5,1322.8,1313.0,1322.0,160139
2025-06-19T11:15:00+05:30,1321.5,1329.9,1320.0,1329.9,163327
2025-06-19T12:15:00+05:30,1329.6,1331.6,1323.7,1326.3,150680
