timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,5318.0,5365.0,5312.0,5342.0,33902
2025-06-16T10:15:00+05:30,5342.0,5368.5,5337.0,5352.0,42562
2025-06-16T11:15:00+05:30,5352.0,5381.5,5343.0,5373.0,82114
2025-06-16T12:15:00+05:30,5372.5,5377.0,5362.0,5372.0,18766
2025-06-16T13:15:00+05:30,5370.5,5378.0,5365.0,5375.5,20288
2025-06-16T14:15:00+05:30,5375.0,5376.0,5355.5,5365.5,49132
2025-06-16T15:15:00+05:30,5365.5,5373.0,5361.0,5361.0,47508
2025-06-17T09:15:00+05:30,5382.5,5391.0,5322.5,5332.5,183142
2025-06-17T10:15:00+05:30,5332.5,5343.0,5316.0,5316.5,55057
2025-06-17T11:15:00+05:30,5317.0,5330.0,5312.0,5322.5,34856
2025-06-17T12:15:00+05:30,5321.5,5331.5,5311.0,5330.0,63397
2025-06-17T13:15:00+05:30,5329.5,5351.0,5326.0,5340.0,157852
2025-06-17T14:15:00+05:30,5342.0,5346.5,5325.0,5345.0,153563
2025-06-17T15:15:00+05:30,5344.0,5345.0,5336.0,5344.0,58802
2025-06-18T09:15:00+05:30,5330.0,5463.0,5307.5,5449.5,188027
2025-06-18T10:15:00+05:30,5450.0,5455.5,5378.0,5411.0,309415
2025-06-18T11:15:00+05:30,5411.5,5428.5,5392.5,5422.0,96998
2025-06-18T12:15:00+05:30,5421.5,5424.0,5391.0,5407.0,42937
2025-06-18T13:15:00+05:30,5407.0,5407.5,5395.5,5400.0,29230
2025-06-18T14:15:00+05:30,5398.0,5412.0,5393.0,5399.5,57747
2025-06-18T15:15:00+05:30,5399.0,5400.0,5377.0,5385.0,49632
2025-06-19T09:15:00+05:30,5414.0,5469.5,5405.0,5464.0,129624
2025-06-19T10:15:00+05:30,5463.0,5473.0,5445.5,5454.0,120096
2025-06-19T11:15:00+05:30,5454.0,5498.5,5449.0,5490.5,199049
2025-06-19T12:15:00+05:30,5490.5,5495.0,5472.5,5479.0,84020
2025-06-19T13:15:00+05:30,5479.0,5506.5,5474.0,5499.0,152036
2025-06-19T14:15:00+05:30,5499.0,5502.5,5482.5,5495.0,157963
2025-06-19T15:15:00+05:30,5495.5,5500.0,5481.5,5485.0,76463
2025-06-20T09:15:00+05:30,5525.0,5542.0,5495.0,5520.5,148393
2025-06-20T10:15:00+05:30,5521.0,5529.5,5510.5,5517.5,53719
2025-06-20T11:15:00+05:30,5516.0,5519.5,5506.0,5512.0,56389
2025-06-20T12:15:00+05:30,5511.0,5516.0,5495.0,5510.5,41158
2025-06-20T13:15:00+05:30,5510.0,5516.5,5499.5,5503.0,59559
2025-06-20T14:15:00+05:30,5502.5,5529.5,5495.0,5527.0,263198
2025-06-20T15:15:00+05:30,5526.5,5536.0,5502.0,5512.0,149601
2025-06-23T09:15:00+05:30,5495.0,5524.0,5479.5,5488.0,47288
2025-06-23T10:15:00+05:30,5488.0,5523.0,5483.0,5514.5,60094
2025-06-23T11:15:00+05:30,5515.0,5534.0,5510.0,5525.0,21648
2025-06-23T12:15:00+05:30,5527.5,5536.5,5519.0,5527.5,19711
2025-06-23T13:15:00+05:30,5527.5,5550.0,5523.5,5547.5,28739
2025-06-23T14:15:00+05:30,5547.5,5560.0,5545.0,5557.5,46024
2025-06-23T15:15:00+05:30,5558.0,5559.5,5540.0,5548.5,22610
2025-06-24T09:15:00+05:30,5582.0,5613.0,5560.0,5609.0,107541
2025-06-24T10:15:00+05:30,5609.5,5635.0,5596.0,5624.0,79133
2025-06-24T11:15:00+05:30,5627.0,5629.0,5609.5,5624.0,68623
2025-06-24T12:15:00+05:30,5624.0,5639.5,5619.5,5634.5,61317
2025-06-24T13:15:00+05:30,5634.5,5636.5,5604.0,5618.0,48434
2025-06-24T14:15:00+05:30,5618.0,5630.0,5611.5,5622.5,82931
2025-06-24T15:15:00+05:30,5624.0,5638.0,5621.0,5630.0,128933
2025-06-25T09:15:00+05:30,5631.5,5652.5,5594.5,5609.0,90166
2025-06-25T10:15:00+05:30,5609.0,5619.0,5587.5,5590.5,50394
2025-06-25T11:15:00+05:30,5590.5,5606.5,5578.5,5583.0,46404
2025-06-25T12:15:00+05:30,5583.0,5616.0,5582.5,5603.0,57212
2025-06-25T13:15:00+05:30,5603.0,5603.0,5575.5,5580.0,72711
2025-06-25T14:15:00+05:30,5580.0,5580.0,5567.5,5578.5,84291
2025-06-25T15:15:00+05:30,5578.0,5580.0,5568.0,5576.5,45924
2025-06-26T09:15:00+05:30,5576.5,5595.0,5547.5,5568.5,63517
2025-06-26T10:15:00+05:30,5569.0,5574.5,5530.5,5543.0,55310
2025-06-26T11:15:00+05:30,5542.5,5552.0,5512.0,5537.0,138271
2025-06-26T12:15:00+05:30,5537.0,5579.0,5536.5,5566.5,233510
2025-06-26T13:15:00+05:30,5567.0,5608.0,5564.5,5606.0,83132
2025-06-26T14:15:00+05:30,5606.0,5622.5,5594.0,5608.0,158757
2025-06-26T15:15:00+05:30,5608.0,5615.0,5597.0,5598.5,54874
2025-06-27T09:15:00+05:30,5619.5,5634.0,5595.0,5605.0,27116
2025-06-27T10:15:00+05:30,5605.0,5628.0,5597.0,5626.0,19829
2025-06-27T11:15:00+05:30,5626.0,5663.5,5624.5,5657.0,62093
2025-06-27T12:15:00+05:30,5655.5,5685.0,5652.5,5660.0,118793
2025-06-27T13:15:00+05:30,5657.5,5669.5,5645.0,5668.0,26187
2025-06-27T14:15:00+05:30,5667.0,5671.5,5644.5,5662.0,108780
2025-06-27T15:15:00+05:30,5661.5,5667.0,5625.5,5630.0,48618
2025-06-30T09:15:00+05:30,5658.5,5683.5,5629.5,5641.5,53656
2025-06-30T10:15:00+05:30,5641.5,5643.5,5630.0,5632.0,18757
2025-06-30T11:15:00+05:30,5632.0,5645.0,5613.0,5635.5,22442
2025-06-30T12:15:00+05:30,5638.0,5640.0,5620.0,5634.5,19845
2025-06-30T13:15:00+05:30,5633.5,5638.0,5616.0,5626.0,21817
2025-06-30T14:15:00+05:30,5626.0,5657.0,5623.5,5657.0,134989
2025-06-30T15:15:00+05:30,5657.0,5676.0,5633.0,5640.0,67850
2025-07-01T09:15:00+05:30,5657.0,5685.0,5632.5,5660.0,56841
2025-07-01T10:15:00+05:30,5660.5,5676.5,5645.0,5645.0,40090
2025-07-01T11:15:00+05:30,5645.5,5749.0,5641.0,5717.0,176313
2025-07-01T12:15:00+05:30,5717.0,5717.5,5658.0,5680.0,75341
2025-07-01T13:15:00+05:30,5680.0,5705.5,5663.5,5700.0,67345
2025-07-01T14:15:00+05:30,5700.0,5721.0,5697.0,5713.0,84624
2025-07-01T15:15:00+05:30,5713.0,5728.0,5702.5,5715.0,32507
2025-07-02T09:15:00+05:30,5703.0,5745.0,5687.5,5721.5,71980
2025-07-02T10:15:00+05:30,5720.0,5740.0,5717.0,5733.5,59252
2025-07-02T11:15:00+05:30,5734.0,5745.0,5720.0,5737.0,30165
2025-07-02T12:15:00+05:30,5735.5,5744.0,5734.5,5735.0,26853
2025-07-02T13:15:00+05:30,5736.0,5737.0,5716.5,5724.5,29632
2025-07-02T14:15:00+05:30,5725.5,5731.0,5715.0,5727.0,57146
2025-07-02T15:15:00+05:30,5727.0,5727.0,5710.5,5721.5,22473
2025-07-03T09:15:00+05:30,5702.5,5774.5,5702.5,5749.5,72920
2025-07-03T10:15:00+05:30,5750.0,5755.0,5736.0,5754.0,34911
2025-07-03T11:15:00+05:30,5755.0,5755.0,5735.0,5736.5,38976
2025-07-03T12:15:00+05:30,5737.0,5747.0,5724.0,5727.0,56888
2025-07-03T13:15:00+05:30,5727.0,5750.0,5720.0,5720.5,43723
2025-07-03T14:15:00+05:30,5720.5,5724.0,5707.0,5720.5,60187
2025-07-03T15:15:00+05:30,5720.0,5724.5,5700.0,5706.0,27218
2025-07-04T09:15:00+05:30,5715.0,5715.0,5681.5,5700.5,19326
2025-07-04T10:15:00+05:30,5699.0,5708.0,5651.5,5651.5,29256
2025-07-04T11:15:00+05:30,5655.0,5658.5,5624.5,5638.5,30088
2025-07-04T12:15:00+05:30,5637.5,5644.0,5620.0,5639.5,33104
2025-07-04T13:15:00+05:30,5639.5,5643.5,5625.5,5625.5,15924
2025-07-04T14:15:00+05:30,5625.0,5646.5,5620.0,5634.0,31429
2025-07-04T15:15:00+05:30,5634.0,5634.0,5620.0,5625.5,25626
2025-07-07T09:15:00+05:30,5630.0,5694.0,5625.0,5676.5,48173
2025-07-07T10:15:00+05:30,5675.0,5693.0,5674.0,5686.0,23996
2025-07-07T11:15:00+05:30,5680.5,5698.5,5679.5,5690.0,21839
2025-07-07T12:15:00+05:30,5688.5,5691.0,5671.0,5681.5,19881
2025-07-07T13:15:00+05:30,5681.0,5691.0,5681.0,5687.0,18705
2025-07-07T14:15:00+05:30,5686.0,5689.0,5670.0,5684.5,71335
2025-07-07T15:15:00+05:30,5684.5,5700.0,5684.5,5688.0,21996
2025-07-08T09:15:00+05:30,5700.0,5704.5,5656.0,5660.0,30526
