timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,249.07,251.06,248.71,249.08,6660273
2025-06-16T10:15:00+05:30,249.08,251.22,249.08,250.36,4543908
2025-06-16T11:15:00+05:30,250.36,251.6,249.57,251.55,2673890
2025-06-16T12:15:00+05:30,251.55,251.7,250.5,250.7,2243929
2025-06-16T13:15:00+05:30,250.71,252.13,250.68,251.88,2588250
2025-06-16T14:15:00+05:30,251.88,253.52,251.67,252.05,5358889
2025-06-16T15:15:00+05:30,252.13,252.75,251.8,252.5,2324452
2025-06-17T09:15:00+05:30,251.35,252.0,248.8,248.88,4540160
2025-06-17T10:15:00+05:30,248.86,250.35,248.7,249.38,2569925
2025-06-17T11:15:00+05:30,249.37,249.48,247.9,248.33,2364004
2025-06-17T12:15:00+05:30,248.3,248.82,248.03,248.23,1550931
2025-06-17T13:15:00+05:30,248.23,248.45,247.38,248.45,1907922
2025-06-17T14:15:00+05:30,248.45,248.93,247.18,247.26,4802083
2025-06-17T15:15:00+05:30,247.26,247.26,246.85,246.96,2846715
2025-06-18T09:15:00+05:30,247.45,249.73,247.16,249.32,5656619
2025-06-18T10:15:00+05:30,249.32,249.9,247.73,249.66,3096541
2025-06-18T11:15:00+05:30,249.6,250.21,248.5,248.98,2298802
2025-06-18T12:15:00+05:30,248.97,249.1,247.75,248.5,1333057
2025-06-18T13:15:00+05:30,248.45,248.66,248.0,248.23,919471
2025-06-18T14:15:00+05:30,248.3,249.38,247.8,248.31,2693451
2025-06-18T15:15:00+05:30,248.31,248.4,247.77,247.87,1260255
2025-06-19T09:15:00+05:30,247.87,251.89,247.21,251.74,5247336
2025-06-19T10:15:00+05:30,251.75,254.8,250.61,252.35,7807973
2025-06-19T11:15:00+05:30,252.34,252.8,250.25,251.1,3028508
2025-06-19T12:15:00+05:30,251.05,251.2,248.3,248.91,3577445
2025-06-19T13:15:00+05:30,248.92,250.3,248.76,249.64,2865292
2025-06-19T14:15:00+05:30,249.64,250.66,248.23,249.6,7359672
2025-06-19T15:15:00+05:30,249.6,250.0,248.2,248.25,2415362
2025-06-20T09:15:00+05:30,249.2,253.39,249.02,251.96,17278385
2025-06-20T10:15:00+05:30,251.95,252.5,250.51,251.0,3164702
2025-06-20T11:15:00+05:30,251.04,251.84,250.5,251.62,2470545
2025-06-20T12:15:00+05:30,251.61,253.3,250.69,252.24,5291505
2025-06-20T13:15:00+05:30,252.3,252.5,251.28,251.63,2162991
2025-06-20T14:15:00+05:30,251.63,253.69,251.41,253.16,12253690
2025-06-20T15:15:00+05:30,253.15,254.15,252.43,253.0,7493397
2025-06-23T09:15:00+05:30,250.2,254.25,250.05,254.02,5195159
2025-06-23T10:15:00+05:30,254.1,255.48,252.47,254.93,3440372
2025-06-23T11:15:00+05:30,254.96,255.12,253.8,254.85,1910496
2025-06-23T12:15:00+05:30,254.85,255.48,253.9,254.95,1916169
2025-06-23T13:15:00+05:30,254.95,255.8,254.31,254.92,2481384
2025-06-23T14:15:00+05:30,254.9,255.3,254.14,254.38,4140741
2025-06-23T15:15:00+05:30,254.38,254.91,254.17,254.5,2187532
2025-06-24T09:15:00+05:30,257.0,258.82,255.56,257.1,6176774
