timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,384.8,385.9,377.0,380.1,512791
2025-06-16T10:15:00+05:30,380.3,385.2,380.05,385.2,261168
2025-06-16T11:15:00+05:30,385.0,386.5,384.5,385.45,205892
2025-06-16T12:15:00+05:30,385.45,385.6,383.7,384.35,482046
2025-06-16T13:15:00+05:30,384.55,385.1,383.75,384.6,154680
2025-06-16T14:15:00+05:30,384.9,385.05,383.5,384.35,421647
2025-06-16T15:15:00+05:30,384.35,384.55,383.5,384.35,200046
2025-06-17T09:15:00+05:30,384.3,385.65,382.2,384.4,215077
2025-06-17T10:15:00+05:30,384.4,385.7,383.65,384.95,90576
2025-06-17T11:15:00+05:30,384.9,384.9,381.8,382.25,113578
2025-06-17T12:15:00+05:30,382.25,383.5,380.65,383.1,226780
2025-06-17T13:15:00+05:30,383.1,383.65,382.05,383.3,67557
2025-06-17T14:15:00+05:30,383.3,384.4,381.35,384.0,344029
2025-06-17T15:15:00+05:30,384.05,384.05,380.2,381.0,170275
2025-06-18T09:15:00+05:30,381.45,385.6,379.6,384.95,245038
2025-06-18T10:15:00+05:30,384.9,385.15,381.6,382.95,93353
2025-06-18T11:15:00+05:30,383.0,383.15,380.35,381.5,86497
2025-06-18T12:15:00+05:30,381.5,381.6,378.8,380.25,270772
2025-06-18T13:15:00+05:30,380.0,381.35,379.0,379.0,77625
2025-06-18T14:15:00+05:30,379.25,379.5,377.65,378.2,164558
2025-06-18T15:15:00+05:30,378.2,378.4,377.3,377.9,103561
2025-06-19T09:15:00+05:30,377.05,380.55,376.65,377.95,205055
2025-06-19T10:15:00+05:30,377.9,378.05,375.4,376.3,191335
2025-06-19T11:15:00+05:30,376.3,376.45,374.1,374.55,210412
2025-06-19T12:15:00+05:30,374.55,374.65,370.1,373.25,597491
2025-06-19T13:15:00+05:30,373.2,375.35,372.3,374.9,595539
2025-06-19T14:15:00+05:30,374.8,375.65,374.1,374.55,468365
2025-06-19T15:15:00+05:30,374.65,375.15,374.0,375.0,329510
2025-06-20T09:15:00+05:30,373.9,379.95,373.15,379.55,340673
2025-06-20T10:15:00+05:30,379.55,380.9,379.25,379.95,485660
2025-06-20T11:15:00+05:30,379.95,380.8,379.7,380.2,226207
2025-06-20T12:15:00+05:30,380.2,380.55,378.95,379.6,136415
2025-06-20T13:15:00+05:30,379.6,380.4,378.65,378.75,197568
2025-06-20T14:15:00+05:30,378.75,381.6,378.7,380.05,970761
2025-06-20T15:15:00+05:30,380.1,380.85,379.7,380.4,681051
2025-06-23T09:15:00+05:30,376.45,380.2,376.0,379.2,295760
2025-06-23T10:15:00+05:30,379.25,380.45,378.0,380.0,150207
2025-06-23T11:15:00+05:30,379.8,382.35,378.6,380.0,1252157
2025-06-23T12:15:00+05:30,379.85,380.55,379.55,379.6,1539881
2025-06-23T13:15:00+05:30,379.9,380.35,379.45,379.95,233400
2025-06-23T14:15:00+05:30,379.95,380.0,377.7,378.4,189594
2025-06-23T15:15:00+05:30,378.2,379.1,378.0,378.6,150431
2025-06-24T09:15:00+05:30,382.2,386.95,382.05,386.6,467469
2025-06-24T10:15:00+05:30,386.6,389.5,386.15,387.9,343565
2025-06-24T11:15:00+05:30,388.0,389.5,387.1,387.8,613879
2025-06-24T12:15:00+05:30,387.85,388.45,386.3,387.85,125652
2025-06-24T13:15:00+05:30,387.6,388.15,384.55,385.1,163793
2025-06-24T14:15:00+05:30,384.85,385.4,384.0,384.65,162059
2025-06-24T15:15:00+05:30,384.85,385.4,384.1,385.0,138847
2025-06-25T09:15:00+05:30,386.0,390.45,385.0,386.85,418337
2025-06-25T10:15:00+05:30,386.85,388.5,386.2,386.9,476469
2025-06-25T11:15:00+05:30,386.7,387.0,385.2,386.15,177470
2025-06-25T12:15:00+05:30,386.15,386.75,384.15,386.55,462877
2025-06-25T13:15:00+05:30,386.55,387.25,385.7,386.05,406216
2025-06-25T14:15:00+05:30,386.05,386.45,385.15,386.2,533008
2025-06-25T15:15:00+05:30,386.2,386.2,385.15,385.8,203557
2025-06-26T09:15:00+05:30,386.8,387.9,384.1,386.0,320120
2025-06-26T10:15:00+05:30,386.3,386.6,384.6,386.0,203501
2025-06-26T11:15:00+05:30,385.95,386.8,384.6,386.25,510669
2025-06-26T12:15:00+05:30,386.3,387.65,384.65,385.35,363288
2025-06-26T13:15:00+05:30,385.35,387.0,385.35,386.4,275430
2025-06-26T14:15:00+05:30,386.4,389.5,386.3,389.2,439715
2025-06-26T15:15:00+05:30,389.2,389.65,388.3,389.0,357442
2025-06-27T09:15:00+05:30,389.55,393.6,389.0,392.5,358563
2025-06-27T10:15:00+05:30,392.5,393.8,391.0,391.45,175293
2025-06-27T11:15:00+05:30,391.45,391.5,389.75,389.75,199813
2025-06-27T12:15:00+05:30,389.95,392.85,388.85,389.4,592586
2025-06-27T13:15:00+05:30,389.65,390.2,389.0,389.55,358533
2025-06-27T14:15:00+05:30,389.75,390.0,388.0,388.3,295164
2025-06-27T15:15:00+05:30,388.3,389.15,388.0,388.75,146238
2025-06-30T09:15:00+05:30,388.8,389.65,385.8,386.7,348853
2025-06-30T10:15:00+05:30,386.7,391.0,385.5,390.3,370490
2025-06-30T11:15:00+05:30,390.5,391.75,388.5,389.95,672535
2025-06-30T12:15:00+05:30,390.0,390.0,388.8,389.0,89713
2025-06-30T13:15:00+05:30,388.9,389.0,388.25,388.8,54214
2025-06-30T14:15:00+05:30,388.65,389.4,386.85,387.9,344448
2025-06-30T15:15:00+05:30,387.95,389.2,387.25,389.2,210116
2025-07-01T09:15:00+05:30,388.7,390.85,387.0,387.3,217906
2025-07-01T10:15:00+05:30,387.2,387.7,385.25,386.7,121458
2025-07-01T11:15:00+05:30,386.7,386.95,385.0,385.75,92936
2025-07-01T12:15:00+05:30,385.9,387.2,385.55,386.15,55035
2025-07-01T13:15:00+05:30,386.15,386.5,385.0,385.95,68606
2025-07-01T14:15:00+05:30,385.85,386.0,385.4,385.8,91243
2025-07-01T15:15:00+05:30,385.8,386.0,385.3,385.65,74816
2025-07-02T09:15:00+05:30,386.3,389.15,383.4,383.65,261116
2025-07-02T10:15:00+05:30,383.7,384.2,382.05,384.2,242331
2025-07-02T11:15:00+05:30,384.2,386.1,383.1,385.15,232842
2025-07-02T12:15:00+05:30,385.25,385.7,384.0,384.4,211231
2025-07-02T13:15:00+05:30,384.1,384.35,382.2,383.0,674626
2025-07-02T14:15:00+05:30,383.0,383.45,381.6,382.9,387671
2025-07-02T15:15:00+05:30,382.7,383.1,382.3,383.0,171014
2025-07-03T09:15:00+05:30,384.45,385.45,382.0,382.7,248506
2025-07-03T10:15:00+05:30,382.85,384.2,381.65,382.15,349858
2025-07-03T11:15:00+05:30,381.95,382.6,381.0,382.4,269947
2025-07-03T12:15:00+05:30,382.4,384.0,381.8,383.4,342644
2025-07-03T13:15:00+05:30,383.5,383.9,382.95,383.25,235229
2025-07-03T14:15:00+05:30,383.25,384.5,383.0,383.55,487902
2025-07-03T15:15:00+05:30,383.55,383.55,380.95,381.0,309647
2025-07-04T09:15:00+05:30,382.85,389.3,380.6,385.9,768997
2025-07-04T10:15:00+05:30,385.9,386.4,385.3,386.4,146028
2025-07-04T11:15:00+05:30,386.3,386.4,381.95,383.45,319281
2025-07-04T12:15:00+05:30,383.6,383.7,382.1,383.15,89128
2025-07-04T13:15:00+05:30,383.2,383.35,382.2,382.45,110661
2025-07-04T14:15:00+05:30,382.3,384.15,381.45,383.6,499259
2025-07-04T15:15:00+05:30,383.7,384.5,383.05,384.45,337736
2025-07-07T09:15:00+05:30,382.55,385.0,381.2,384.45,293420
2025-07-07T10:15:00+05:30,384.45,385.5,384.45,384.9,94507
2025-07-07T11:15:00+05:30,384.9,385.75,384.4,385.45,167022
2025-07-07T12:15:00+05:30,385.2,385.45,383.85,385.05,286008
2025-07-07T13:15:00+05:30,385.05,386.7,385.0,386.0,100744
2025-07-07T14:15:00+05:30,386.25,386.7,385.75,386.1,222870
2025-07-07T15:15:00+05:30,386.25,386.35,386.0,386.15,84942
2025-07-08T09:15:00+05:30,386.3,387.9,384.25,384.95,204530
2025-07-08T10:15:00+05:30,385.0,385.4,383.0,383.35,96894
2025-07-08T11:15:00+05:30,383.35,385.5,383.2,385.3,156941
2025-07-08T12:15:00+05:30,385.2,386.3,385.2,386.05,180857
2025-07-08T13:15:00+05:30,386.05,386.45,385.3,385.65,167784
2025-07-08T14:15:00+05:30,385.65,389.4,384.1,389.2,373741
2025-07-08T15:15:00+05:30,389.2,389.6,387.6,387.6,94649
2025-07-09T09:15:00+05:30,387.95,389.95,387.0,388.25,154601
2025-07-09T10:15:00+05:30,388.25,389.5,387.25,387.3,158669
2025-07-09T11:15:00+05:30,387.3,389.4,385.8,388.25,461018
2025-07-09T12:15:00+05:30,388.05,389.4,387.15,387.65,312582
2025-07-09T13:15:00+05:30,387.65,388.6,387.0,387.05,80287
2025-07-09T14:15:00+05:30,387.05,389.0,385.45,387.35,296844
2025-07-09T15:15:00+05:30,387.55,387.9,386.55,387.2,157973
2025-07-10T09:15:00+05:30,388.4,388.7,386.0,387.0,137152
2025-07-10T10:15:00+05:30,386.8,389.8,386.8,389.0,201531
2025-07-10T11:15:00+05:30,389.05,390.0,388.0,388.2,137661
2025-07-10T12:15:00+05:30,388.2,388.65,386.15,386.45,75933
2025-07-10T13:15:00+05:30,386.45,389.8,386.3,389.45,288683
2025-07-10T14:15:00+05:30,389.45,390.35,388.65,389.3,248605
2025-07-10T15:15:00+05:30,389.3,389.75,387.25,388.0,158725
2025-07-11T09:15:00+05:30,387.0,388.75,385.9,385.9,248596
2025-07-11T10:15:00+05:30,386.05,386.05,383.5,384.8,179208
2025-07-11T11:15:00+05:30,384.6,385.0,383.4,383.95,71947
2025-07-11T12:15:00+05:30,383.95,384.35,383.0,383.4,90332
2025-07-11T13:15:00+05:30,383.4,383.6,382.05,382.7,157190
2025-07-11T14:15:00+05:30,382.7,382.75,380.5,381.45,272913
2025-07-11T15:15:00+05:30,381.35,381.45,378.6,379.75,190253
2025-07-14T09:15:00+05:30,379.95,382.0,376.1,380.95,288719
2025-07-14T10:15:00+05:30,380.95,382.3,380.6,380.75,97595
2025-07-14T11:15:00+05:30,381.0,381.15,379.65,380.9,53216
2025-07-14T12:15:00+05:30,381.0,381.65,380.5,381.6,99095
2025-07-14T13:15:00+05:30,381.5,382.45,381.5,382.0,37535
