timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,755.0,764.2,747.15,752.75,335395
2025-06-16T10:15:00+05:30,752.75,757.45,750.55,756.9,82678
2025-06-16T11:15:00+05:30,756.95,760.0,753.85,759.35,210673
2025-06-16T12:15:00+05:30,759.4,764.9,758.65,761.65,147041
2025-06-16T13:15:00+05:30,761.65,764.25,759.1,763.5,136121
2025-06-16T14:15:00+05:30,763.5,767.0,761.1,765.65,313294
2025-06-16T15:15:00+05:30,765.65,766.2,763.15,763.15,141328
2025-06-17T09:15:00+05:30,763.9,771.9,761.95,763.75,395916
2025-06-17T10:15:00+05:30,763.8,768.0,763.7,767.05,174464
2025-06-17T11:15:00+05:30,767.35,767.75,762.05,764.5,254127
2025-06-17T12:15:00+05:30,764.5,765.0,756.9,760.0,164693
2025-06-17T13:15:00+05:30,759.95,762.75,756.1,762.75,134173
2025-06-17T14:15:00+05:30,762.8,765.0,758.8,762.4,254433
2025-06-17T15:15:00+05:30,762.4,762.5,759.05,761.5,196283
2025-06-18T09:15:00+05:30,763.85,769.7,758.05,759.9,291076
2025-06-18T10:15:00+05:30,759.9,761.55,755.55,760.4,172536
2025-06-18T11:15:00+05:30,760.2,760.9,756.85,760.5,129456
2025-06-18T12:15:00+05:30,760.5,761.45,758.5,758.65,108895
2025-06-18T13:15:00+05:30,758.55,759.35,757.1,757.25,83126
2025-06-18T14:15:00+05:30,757.25,760.25,756.5,759.75,194396
2025-06-18T15:15:00+05:30,759.75,759.8,756.2,758.4,104329
2025-06-19T09:15:00+05:30,762.75,763.35,753.3,754.4,238385
2025-06-19T10:15:00+05:30,754.35,757.15,747.5,754.0,98091
2025-06-19T11:15:00+05:30,754.1,754.45,751.1,753.9,47519
2025-06-19T12:15:00+05:30,753.9,754.2,743.65,747.15,85451
2025-06-19T13:15:00+05:30,747.15,749.0,745.0,749.0,59534
2025-06-19T14:15:00+05:30,749.0,750.35,746.5,748.5,119072
2025-06-19T15:15:00+05:30,748.55,749.0,746.0,747.0,97299
2025-06-20T09:15:00+05:30,746.5,757.25,745.3,749.55,194661
2025-06-20T10:15:00+05:30,749.55,754.75,749.0,753.0,116398
2025-06-20T11:15:00+05:30,752.8,754.85,748.75,749.55,177156
2025-06-20T12:15:00+05:30,749.55,751.5,747.85,749.3,281798
2025-06-20T13:15:00+05:30,749.3,751.9,748.75,748.8,258191
2025-06-20T14:15:00+05:30,748.8,757.0,748.3,755.75,660786
2025-06-20T15:15:00+05:30,755.55,760.0,754.85,755.35,438409
2025-06-23T09:15:00+05:30,747.0,753.9,747.0,751.0,176973
2025-06-23T10:15:00+05:30,750.95,757.2,749.5,755.4,107652
2025-06-23T11:15:00+05:30,755.35,756.0,751.95,754.6,78622
2025-06-23T12:15:00+05:30,754.6,757.25,752.8,755.7,125527
2025-06-23T13:15:00+05:30,755.7,767.7,754.45,758.85,800259
2025-06-23T14:15:00+05:30,759.25,759.25,754.25,755.15,345316
2025-06-23T15:15:00+05:30,755.0,755.85,750.5,752.0,223544
2025-06-24T09:15:00+05:30,761.85,767.0,751.2,754.25,558253
2025-06-24T10:15:00+05:30,754.25,762.9,751.6,761.65,548737
2025-06-24T11:15:00+05:30,761.65,768.0,758.8,767.1,371477
2025-06-24T12:15:00+05:30,767.25,768.6,763.35,765.1,346437
2025-06-24T13:15:00+05:30,765.1,767.95,760.25,763.5,235529
2025-06-24T14:15:00+05:30,763.5,766.5,760.3,766.5,282497
2025-06-24T15:15:00+05:30,766.45,767.0,764.85,766.0,242739
2025-06-25T09:15:00+05:30,769.9,782.0,764.65,778.45,767846
2025-06-25T10:15:00+05:30,778.8,781.55,775.0,777.65,367577
2025-06-25T11:15:00+05:30,777.8,780.85,775.0,779.0,195672
2025-06-25T12:15:00+05:30,779.05,781.15,773.35,773.85,323150
2025-06-25T13:15:00+05:30,773.8,780.0,773.3,776.55,225272
2025-06-25T14:15:00+05:30,776.55,780.5,776.0,780.0,384249
2025-06-25T15:15:00+05:30,780.0,780.25,775.1,775.1,215129
2025-06-26T09:15:00+05:30,785.85,789.1,780.25,785.25,670229
2025-06-26T10:15:00+05:30,785.25,787.95,783.4,784.8,391417
2025-06-26T11:15:00+05:30,784.9,787.9,781.9,783.4,320068
2025-06-26T12:15:00+05:30,783.45,787.5,782.65,787.1,159332
2025-06-26T13:15:00+05:30,786.9,793.0,786.9,788.25,287867
2025-06-26T14:15:00+05:30,788.85,792.7,785.95,790.5,425073
