timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,81.7,81.85,80.9,81.42,2301592
2025-06-16T10:15:00+05:30,81.39,82.2,81.39,81.96,948781
2025-06-16T11:15:00+05:30,81.94,82.48,81.68,82.32,1241053
2025-06-16T12:15:00+05:30,82.32,82.83,82.16,82.75,999089
2025-06-16T13:15:00+05:30,82.74,83.66,82.74,83.55,2425866
2025-06-16T14:15:00+05:30,83.56,83.66,83.05,83.49,2264571
2025-06-16T15:15:00+05:30,83.49,83.86,83.42,83.8,965455
2025-06-17T09:15:00+05:30,83.58,84.19,83.21,83.65,2225651
2025-06-17T10:15:00+05:30,83.65,83.8,83.16,83.31,540034
2025-06-17T11:15:00+05:30,83.29,83.3,82.74,82.79,658780
2025-06-17T12:15:00+05:30,82.79,82.89,82.53,82.65,554133
2025-06-17T13:15:00+05:30,82.65,83.0,82.41,82.7,519109
2025-06-17T14:15:00+05:30,82.7,83.1,82.61,82.86,1422755
2025-06-17T15:15:00+05:30,82.88,82.88,82.5,82.64,646993
2025-06-18T09:15:00+05:30,83.22,83.55,82.76,83.24,2509609
2025-06-18T10:15:00+05:30,83.27,83.47,82.57,83.34,1094952
2025-06-18T11:15:00+05:30,83.34,83.34,82.6,82.89,473737
2025-06-18T12:15:00+05:30,82.87,82.94,82.53,82.88,603653
2025-06-18T13:15:00+05:30,82.85,83.08,82.69,82.75,362127
2025-06-18T14:15:00+05:30,82.77,83.09,82.54,82.81,935942
2025-06-18T15:15:00+05:30,82.78,82.85,82.68,82.8,670324
2025-06-19T09:15:00+05:30,83.0,83.05,82.18,82.23,1981345
2025-06-19T10:15:00+05:30,82.25,82.28,81.6,81.61,2026337
2025-06-19T11:15:00+05:30,81.62,81.63,81.17,81.28,1528756
2025-06-19T12:15:00+05:30,81.28,81.28,80.52,80.65,1320220
2025-06-19T13:15:00+05:30,80.65,81.07,80.25,80.92,1776041
2025-06-19T14:15:00+05:30,80.92,81.1,80.43,80.59,2893195
2025-06-19T15:15:00+05:30,80.59,80.8,80.3,80.58,1376519
2025-06-20T09:15:00+05:30,80.55,81.37,80.55,80.96,1098365
2025-06-20T10:15:00+05:30,80.96,81.65,80.91,81.49,747119
2025-06-20T11:15:00+05:30,81.51,81.7,81.03,81.2,8865819
2025-06-20T12:15:00+05:30,81.2,81.33,80.38,80.94,1677191
2025-06-20T13:15:00+05:30,80.94,81.15,80.6,80.67,1774206
2025-06-20T14:15:00+05:30,80.67,81.5,80.5,80.96,32456118
2025-06-20T15:15:00+05:30,80.96,81.5,80.62,81.26,25180704
2025-06-23T09:15:00+05:30,80.8,81.89,80.38,81.42,3383459
2025-06-23T10:15:00+05:30,81.43,81.58,80.95,81.41,592622
2025-06-23T11:15:00+05:30,81.42,81.7,81.08,81.54,779910
2025-06-23T12:15:00+05:30,81.58,82.0,81.47,81.7,654396
2025-06-23T13:15:00+05:30,81.73,81.9,81.56,81.73,519475
2025-06-23T14:15:00+05:30,81.76,81.83,81.25,81.28,1159841
2025-06-23T15:15:00+05:30,81.28,81.51,81.25,81.38,605171
2025-06-24T09:15:00+05:30,82.19,83.36,81.81,83.17,2025978
2025-06-24T10:15:00+05:30,83.17,83.49,83.07,83.07,1117199
2025-06-24T11:15:00+05:30,83.07,83.33,83.01,83.26,874791
2025-06-24T12:15:00+05:30,83.3,83.61,83.14,83.6,1664592
2025-06-24T13:15:00+05:30,83.52,83.8,82.9,83.2,2054250
2025-06-24T14:15:00+05:30,83.21,83.47,83.01,83.17,2563362
2025-06-24T15:15:00+05:30,83.19,83.49,82.95,83.0,1562643
2025-06-25T09:15:00+05:30,83.8,83.8,83.01,83.33,3159374
2025-06-25T10:15:00+05:30,83.32,83.69,82.96,83.32,1759311
2025-06-25T11:15:00+05:30,83.35,83.69,83.26,83.57,1794990
2025-06-25T12:15:00+05:30,83.55,83.58,83.22,83.48,1536855
2025-06-25T13:15:00+05:30,83.48,83.6,83.29,83.33,1535085
2025-06-25T14:15:00+05:30,83.33,83.66,83.23,83.63,2303901
2025-06-25T15:15:00+05:30,83.63,83.75,83.47,83.69,1040849
2025-06-26T09:15:00+05:30,83.8,83.98,83.44,83.87,2280246
2025-06-26T10:15:00+05:30,83.9,84.58,83.79,84.2,2054625
2025-06-26T11:15:00+05:30,84.2,84.45,84.03,84.25,1199697
2025-06-26T12:15:00+05:30,84.27,84.44,84.2,84.34,833784
2025-06-26T13:15:00+05:30,84.33,84.58,84.3,84.53,1133963
2025-06-26T14:15:00+05:30,84.51,84.96,84.51,84.79,4170092
2025-06-26T15:15:00+05:30,84.79,85.0,84.7,84.85,2371936
2025-06-27T09:15:00+05:30,85.11,85.3,84.62,85.12,2527843
2025-06-27T10:15:00+05:30,85.12,85.2,84.91,85.13,988557
