timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1193.5,1194.8,1176.3,1178.8,157792
2025-06-16T10:15:00+05:30,1179.1,1188.0,1175.3,1186.4,340235
2025-06-16T11:15:00+05:30,1186.4,1192.8,1186.3,1189.3,195051
2025-06-16T12:15:00+05:30,1189.3,1190.4,1182.2,1183.2,157584
2025-06-16T13:15:00+05:30,1183.2,1190.7,1181.6,1188.2,193475
2025-06-16T14:15:00+05:30,1188.2,1191.3,1187.2,1188.2,257390
2025-06-16T15:15:00+05:30,1188.2,1190.0,1185.2,1186.5,131818
2025-06-17T09:15:00+05:30,1189.9,1197.8,1186.0,1190.5,145230
2025-06-17T10:15:00+05:30,1190.5,1193.6,1188.0,1188.5,72220
2025-06-17T11:15:00+05:30,1188.5,1189.0,1179.2,1182.3,185453
2025-06-17T12:15:00+05:30,1181.9,1193.3,1179.7,1188.9,425014
2025-06-17T13:15:00+05:30,1188.9,1193.2,1188.3,1191.3,185484
2025-06-17T14:15:00+05:30,1191.7,1197.8,1190.8,1197.8,205298
2025-06-17T15:15:00+05:30,1197.7,1199.2,1192.7,1193.5,181027
2025-06-18T09:15:00+05:30,1188.1,1200.0,1185.2,1194.1,100965
2025-06-18T10:15:00+05:30,1194.1,1195.0,1186.3,1189.3,39872
2025-06-18T11:15:00+05:30,1189.3,1189.5,1181.6,1187.4,234823
2025-06-18T12:15:00+05:30,1187.6,1193.3,1184.0,1192.1,68683
2025-06-18T13:15:00+05:30,1192.1,1202.3,1192.0,1201.0,222007
2025-06-18T14:15:00+05:30,1200.4,1200.8,1191.0,1197.0,237827
2025-06-18T15:15:00+05:30,1197.0,1197.5,1193.0,1195.0,81919
2025-06-19T09:15:00+05:30,1194.0,1202.4,1188.9,1198.4,78544
2025-06-19T10:15:00+05:30,1199.1,1201.8,1196.4,1199.6,31405
2025-06-19T11:15:00+05:30,1199.6,1205.8,1196.1,1199.8,68965
2025-06-19T12:15:00+05:30,1199.6,1201.4,1189.9,1191.4,85031
2025-06-19T13:15:00+05:30,1191.4,1200.0,1190.5,1198.2,128396
2025-06-19T14:15:00+05:30,1198.3,1198.4,1192.4,1195.2,188210
2025-06-19T15:15:00+05:30,1195.2,1195.6,1187.2,1189.0,115912
2025-06-20T09:15:00+05:30,1193.0,1195.8,1186.8,1190.5,144030
2025-06-20T10:15:00+05:30,1190.2,1195.4,1189.4,1192.1,114744
2025-06-20T11:15:00+05:30,1192.2,1192.8,1186.7,1186.8,57361
2025-06-20T12:15:00+05:30,1187.1,1190.7,1184.1,1186.5,130738
2025-06-20T13:15:00+05:30,1186.8,1191.0,1185.7,1186.5,529434
2025-06-20T14:15:00+05:30,1186.5,1190.1,1181.1,1189.0,1456529
2025-06-20T15:15:00+05:30,1189.0,1196.1,1183.0,1183.9,1196750
2025-06-23T09:15:00+05:30,1188.9,1192.4,1175.0,1177.5,75629
2025-06-23T10:15:00+05:30,1177.7,1183.8,1177.0,1179.2,370467
2025-06-23T11:15:00+05:30,1179.2,1186.8,1176.3,1177.2,340874
2025-06-23T12:15:00+05:30,1177.8,1178.0,1172.1,1172.7,213088
2025-06-23T13:15:00+05:30,1173.3,1178.0,1172.7,1174.4,182840
2025-06-23T14:15:00+05:30,1174.6,1177.0,1168.1,1170.1,423825
2025-06-23T15:15:00+05:30,1170.1,1172.8,1168.5,1172.3,142388
