timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,507.6,514.9,496.55,500.5,258552
2025-06-16T10:15:00+05:30,500.75,509.0,500.0,506.75,181779
2025-06-16T11:15:00+05:30,506.95,512.8,506.45,512.15,79820
2025-06-16T12:15:00+05:30,512.15,516.15,511.05,513.8,88404
2025-06-16T13:15:00+05:30,514.15,517.55,513.0,516.45,54737
2025-06-16T14:15:00+05:30,516.7,517.3,515.2,516.1,55803
2025-06-16T15:15:00+05:30,516.1,517.3,513.0,513.0,50562
2025-06-17T09:15:00+05:30,516.95,518.45,509.85,512.4,158151
2025-06-17T10:15:00+05:30,512.05,512.85,505.4,505.45,89448
2025-06-17T11:15:00+05:30,505.3,506.1,502.0,502.4,118124
2025-06-17T12:15:00+05:30,502.4,503.05,498.2,499.0,96375
2025-06-17T13:15:00+05:30,499.15,501.95,498.45,500.45,88461
2025-06-17T14:15:00+05:30,500.25,501.15,494.0,498.15,301848
2025-06-17T15:15:00+05:30,498.0,498.75,495.2,496.0,117402
2025-06-18T09:15:00+05:30,496.95,502.75,493.9,501.5,196584
2025-06-18T10:15:00+05:30,501.85,502.85,495.0,495.55,124808
2025-06-18T11:15:00+05:30,495.7,497.65,493.35,497.25,97564
2025-06-18T12:15:00+05:30,497.25,497.5,495.2,496.55,43314
2025-06-18T13:15:00+05:30,496.75,497.0,493.5,494.6,103847
2025-06-18T14:15:00+05:30,494.6,497.3,493.7,494.45,231419
2025-06-18T15:15:00+05:30,494.3,495.2,493.6,493.6,105773
2025-06-19T09:15:00+05:30,494.5,498.0,491.0,492.45,110992
2025-06-19T10:15:00+05:30,492.55,493.4,488.2,489.75,131479
2025-06-19T11:15:00+05:30,489.75,490.3,484.1,485.05,145706
2025-06-19T12:15:00+05:30,485.0,485.1,480.15,481.2,100203
2025-06-19T13:15:00+05:30,481.0,488.4,480.05,483.05,198287
2025-06-19T14:15:00+05:30,482.8,483.75,479.85,480.05,290982
2025-06-19T15:15:00+05:30,479.85,483.6,479.0,480.0,165867
2025-06-20T09:15:00+05:30,479.1,484.2,478.25,483.6,112968
2025-06-20T10:15:00+05:30,483.55,487.0,481.75,484.15,136930
2025-06-20T11:15:00+05:30,484.3,490.85,483.9,487.8,178219
2025-06-20T12:15:00+05:30,488.0,488.15,481.7,481.75,49111
2025-06-20T13:15:00+05:30,482.05,484.0,481.95,482.85,26368
2025-06-20T14:15:00+05:30,482.7,488.95,482.35,486.75,441599
2025-06-20T15:15:00+05:30,486.85,488.75,482.35,482.8,159600
2025-06-23T09:15:00+05:30,482.8,490.9,482.05,490.25,343601
2025-06-23T10:15:00+05:30,490.1,498.45,489.5,497.8,285088
2025-06-23T11:15:00+05:30,497.75,499.7,496.6,498.0,145210
2025-06-23T12:15:00+05:30,497.7,498.65,495.55,498.4,81064
2025-06-23T13:15:00+05:30,498.4,499.3,496.7,497.95,69159
2025-06-23T14:15:00+05:30,497.75,498.2,496.35,497.1,138004
2025-06-23T15:15:00+05:30,497.0,498.2,496.2,497.5,99346
2025-06-24T09:15:00+05:30,503.0,504.35,496.2,497.7,197418
2025-06-24T10:15:00+05:30,497.7,499.35,495.05,495.8,116475
2025-06-24T11:15:00+05:30,495.8,497.1,491.45,492.1,125044
2025-06-24T12:15:00+05:30,492.35,495.0,490.2,493.15,122856
2025-06-24T13:15:00+05:30,493.45,493.45,489.5,490.3,76553
2025-06-24T14:15:00+05:30,490.0,492.05,488.9,490.6,106482
2025-06-24T15:15:00+05:30,490.6,490.8,486.0,486.95,90722
2025-06-25T09:15:00+05:30,490.0,498.25,489.65,496.95,191809
2025-06-25T10:15:00+05:30,496.6,499.7,496.5,498.25,297645
2025-06-25T11:15:00+05:30,498.0,498.15,492.0,493.3,153544
2025-06-25T12:15:00+05:30,493.15,494.35,491.0,492.25,94696
2025-06-25T13:15:00+05:30,492.2,496.1,492.05,493.5,83951
2025-06-25T14:15:00+05:30,493.45,494.85,492.05,494.5,152635
2025-06-25T15:15:00+05:30,494.5,495.8,493.0,493.05,152254
2025-06-26T09:15:00+05:30,497.0,497.2,490.0,491.25,175665
2025-06-26T10:15:00+05:30,491.35,493.55,490.0,490.55,61708
2025-06-26T11:15:00+05:30,490.8,493.75,489.5,492.25,216628
2025-06-26T12:15:00+05:30,492.15,496.65,490.25,496.35,178418
2025-06-26T13:15:00+05:30,496.35,497.05,494.1,496.75,91518
2025-06-26T14:15:00+05:30,496.75,498.8,495.75,496.9,237385
2025-06-26T15:15:00+05:30,496.9,498.2,495.85,496.35,170386
2025-06-27T09:15:00+05:30,499.35,500.4,495.3,500.05,115950
2025-06-27T10:15:00+05:30,500.05,501.7,499.5,501.2,113764
2025-06-27T11:15:00+05:30,501.1,503.15,498.5,498.6,189063
2025-06-27T12:15:00+05:30,498.7,499.8,497.45,497.95,163659
2025-06-27T13:15:00+05:30,497.95,499.6,497.15,498.2,122408
2025-06-27T14:15:00+05:30,498.45,498.5,496.6,497.5,140025
2025-06-27T15:15:00+05:30,497.5,498.25,495.0,495.8,81708
2025-06-30T09:15:00+05:30,496.3,499.75,494.8,497.85,136294
2025-06-30T10:15:00+05:30,497.75,497.85,493.5,494.65,114749
2025-06-30T11:15:00+05:30,494.75,495.7,493.0,493.8,39675
2025-06-30T12:15:00+05:30,493.65,494.55,493.25,493.5,44768
2025-06-30T13:15:00+05:30,493.7,495.3,493.4,494.75,27187
2025-06-30T14:15:00+05:30,494.8,496.25,494.0,495.9,40559
2025-06-30T15:15:00+05:30,495.9,496.0,494.4,495.0,70731
2025-07-01T09:15:00+05:30,496.75,498.05,487.5,487.9,157737
2025-07-01T10:15:00+05:30,487.9,489.65,485.2,486.35,95498
2025-07-01T11:15:00+05:30,486.4,487.35,483.35,485.05,101056
2025-07-01T12:15:00+05:30,485.0,488.0,484.1,485.5,126552
2025-07-01T13:15:00+05:30,485.5,487.0,485.45,486.3,24035
2025-07-01T14:15:00+05:30,486.3,490.25,486.25,489.25,124501
2025-07-01T15:15:00+05:30,489.3,490.2,488.5,488.5,106047
2025-07-02T09:15:00+05:30,494.9,497.8,489.1,490.25,333102
2025-07-02T10:15:00+05:30,490.1,491.4,488.3,490.25,84601
2025-07-02T11:15:00+05:30,490.4,493.8,489.65,493.8,45061
2025-07-02T12:15:00+05:30,493.9,495.4,491.6,491.75,77711
2025-07-02T13:15:00+05:30,491.85,491.9,487.1,489.15,80749
2025-07-02T14:15:00+05:30,489.4,492.0,488.45,490.65,70545
2025-07-02T15:15:00+05:30,490.6,492.05,489.4,491.0,75515
2025-07-03T09:15:00+05:30,492.0,494.75,487.45,494.0,131436
2025-07-03T10:15:00+05:30,494.4,495.0,492.35,492.4,90612
2025-07-03T11:15:00+05:30,492.45,495.0,491.6,493.05,45891
2025-07-03T12:15:00+05:30,492.85,494.9,492.2,494.0,22506
2025-07-03T13:15:00+05:30,494.0,494.25,490.1,493.0,81189
2025-07-03T14:15:00+05:30,493.0,493.25,490.0,490.75,41134
2025-07-03T15:15:00+05:30,490.75,490.95,488.35,490.15,33706
2025-07-04T09:15:00+05:30,491.35,497.35,490.5,495.3,113815
2025-07-04T10:15:00+05:30,495.3,497.0,492.7,494.35,54993
2025-07-04T11:15:00+05:30,494.5,495.75,491.0,493.9,83690
