timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1923.9,1931.0,1920.1,1928.1,929451
2025-06-16T10:15:00+05:30,1928.3,1937.8,1927.6,1934.5,1100253
2025-06-16T11:15:00+05:30,1934.5,1935.6,1931.6,1933.4,918086
2025-06-16T12:15:00+05:30,1933.4,1938.9,1930.0,1938.3,852506
2025-06-16T13:15:00+05:30,1938.3,1938.8,1932.6,1934.8,1390312
2025-06-16T14:15:00+05:30,1934.8,1937.0,1932.3,1936.5,1486843
2025-06-16T15:15:00+05:30,1936.5,1938.5,1933.5,1936.9,1407546
2025-06-17T09:15:00+05:30,1937.0,1941.6,1919.1,1921.7,1665015
2025-06-17T10:15:00+05:30,1922.0,1926.8,1920.1,1923.0,614856
2025-06-17T11:15:00+05:30,1923.0,1924.2,1920.5,1921.3,751871
2025-06-17T12:15:00+05:30,1921.3,1926.5,1920.6,1923.5,977411
2025-06-17T13:15:00+05:30,1923.6,1927.4,1923.3,1926.8,797418
2025-06-17T14:15:00+05:30,1926.8,1934.7,1926.7,1929.9,2313750
2025-06-17T15:15:00+05:30,1929.8,1930.0,1925.9,1926.0,1200653
2025-06-18T09:15:00+05:30,1919.0,1931.1,1917.0,1928.4,1839152
2025-06-18T10:15:00+05:30,1928.4,1930.8,1924.0,1925.7,1163655
2025-06-18T11:15:00+05:30,1925.5,1925.6,1920.0,1922.6,685570
2025-06-18T12:15:00+05:30,1922.8,1927.9,1922.0,1927.2,657956
2025-06-18T13:15:00+05:30,1927.0,1930.8,1924.2,1927.1,777559
2025-06-18T14:15:00+05:30,1927.1,1935.4,1924.3,1933.2,2928431
2025-06-18T15:15:00+05:30,1933.2,1936.3,1930.4,1932.5,916592
2025-06-19T09:15:00+05:30,1933.9,1945.4,1925.6,1943.0,1048319
2025-06-19T10:15:00+05:30,1943.0,1946.8,1938.7,1939.0,776458
2025-06-19T11:15:00+05:30,1938.7,1939.9,1934.5,1936.0,934390
2025-06-19T12:15:00+05:30,1935.9,1942.3,1933.8,1940.0,1009344
2025-06-19T13:15:00+05:30,1940.0,1945.6,1938.7,1941.9,1138110
2025-06-19T14:15:00+05:30,1941.9,1942.3,1933.5,1933.7,2186947
2025-06-19T15:15:00+05:30,1933.7,1938.0,1932.0,1933.1,1285987
2025-06-20T09:15:00+05:30,1932.0,1951.8,1931.7,1951.5,1526592
2025-06-20T10:15:00+05:30,1951.5,1961.8,1950.1,1954.5,1342776
2025-06-20T11:15:00+05:30,1954.7,1957.3,1950.9,1955.1,740765
2025-06-20T12:15:00+05:30,1955.1,1959.9,1951.8,1959.3,814917
2025-06-20T13:15:00+05:30,1959.2,1962.8,1958.5,1961.1,1006801
2025-06-20T14:15:00+05:30,1961.1,1966.9,1956.7,1964.3,5925968
2025-06-20T15:15:00+05:30,1964.3,1969.9,1962.8,1963.1,5023924
2025-06-23T09:15:00+05:30,1948.5,1957.9,1947.0,1947.2,936225
2025-06-23T10:15:00+05:30,1947.5,1952.3,1944.9,1945.0,736674
2025-06-23T11:15:00+05:30,1945.0,1949.0,1944.3,1944.9,836375
2025-06-23T12:15:00+05:30,1944.9,1946.9,1941.8,1945.5,731894
2025-06-23T13:15:00+05:30,1945.3,1954.8,1944.4,1950.1,750798
2025-06-23T14:15:00+05:30,1950.0,1950.1,1944.2,1948.6,1080512
2025-06-23T15:15:00+05:30,1948.6,1949.9,1946.5,1948.1,560570
2025-06-24T09:15:00+05:30,1965.0,1974.4,1956.3,1969.8,1282963
2025-06-24T10:15:00+05:30,1969.8,1973.9,1964.2,1972.9,606174
2025-06-24T11:15:00+05:30,1972.9,1979.0,1969.8,1977.6,702274
2025-06-24T12:15:00+05:30,1978.0,1979.0,1963.4,1966.4,1193667
2025-06-24T13:15:00+05:30,1966.4,1968.8,1955.6,1960.8,2019906
2025-06-24T14:15:00+05:30,1960.8,1964.6,1957.5,1961.3,3653165
2025-06-24T15:15:00+05:30,1961.3,1965.5,1959.1,1963.7,1714589
2025-06-25T09:15:00+05:30,1966.1,1978.0,1963.9,1976.2,1439242
2025-06-25T10:15:00+05:30,1976.2,1981.3,1974.7,1976.0,1226688
2025-06-25T11:15:00+05:30,1976.0,1977.1,1973.0,1976.0,605991
2025-06-25T12:15:00+05:30,1976.0,1979.0,1974.0,1977.1,1135051
2025-06-25T13:15:00+05:30,1977.1,1980.5,1975.9,1978.5,1167275
2025-06-25T14:15:00+05:30,1978.0,1982.0,1977.1,1980.6,2290747
2025-06-25T15:15:00+05:30,1980.7,1981.3,1977.2,1980.0,981758
2025-06-26T09:15:00+05:30,1981.4,1997.8,1980.0,1994.4,2738849
2025-06-26T10:15:00+05:30,1994.4,1999.9,1992.7,1995.4,1311130
2025-06-26T11:15:00+05:30,1995.4,2006.8,1993.9,2006.5,1716686
2025-06-26T12:15:00+05:30,2006.5,2008.0,2002.3,2004.2,1849986
2025-06-26T13:15:00+05:30,2004.2,2015.3,2003.7,2015.3,3235223
2025-06-26T14:15:00+05:30,2015.3,2025.5,2013.9,2021.0,8745181
2025-06-26T15:15:00+05:30,2020.9,2027.1,2016.9,2017.7,5103375
2025-06-27T09:15:00+05:30,2012.8,2012.8,1993.4,2004.1,2519565
2025-06-27T10:15:00+05:30,2004.6,2016.9,2003.8,2014.9,1491810
2025-06-27T11:15:00+05:30,2014.9,2016.7,2012.6,2015.2,748267
2025-06-27T12:15:00+05:30,2015.3,2017.8,2013.4,2015.7,659663
2025-06-27T13:15:00+05:30,2015.7,2019.8,2012.2,2012.9,822311
2025-06-27T14:15:00+05:30,2012.9,2017.3,2008.8,2014.6,4700107
2025-06-27T15:15:00+05:30,2014.6,2016.5,2011.2,2011.5,2843783
2025-06-30T09:15:00+05:30,2011.9,2013.8,1999.5,2003.0,1359586
2025-06-30T10:15:00+05:30,2002.9,2003.6,1996.6,1999.0,540627
2025-06-30T11:15:00+05:30,1999.1,2004.0,1995.5,2004.0,585180
2025-06-30T12:15:00+05:30,2003.9,2004.7,1998.6,2000.3,527660
2025-06-30T13:15:00+05:30,2000.3,2001.1,1996.1,1997.7,566850
2025-06-30T14:15:00+05:30,1997.4,2003.0,1995.6,2003.0,2150348
2025-06-30T15:15:00+05:30,2003.0,2003.0,1997.0,2000.0,983769
2025-07-01T09:15:00+05:30,2005.5,2014.0,2004.0,2005.0,1171649
