timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,750.85,759.7,750.1,757.8,312845
2025-06-16T10:15:00+05:30,757.85,766.65,757.75,763.7,300584
2025-06-16T11:15:00+05:30,763.9,769.5,763.0,767.9,364950
2025-06-16T12:15:00+05:30,767.7,770.65,766.5,770.0,206889
2025-06-16T13:15:00+05:30,769.95,773.3,769.6,772.5,480322
2025-06-16T14:15:00+05:30,772.45,773.3,768.5,770.45,415386
2025-06-16T15:15:00+05:30,770.45,772.8,770.1,770.5,222508
2025-06-17T09:15:00+05:30,773.1,774.8,766.4,771.6,496850
2025-06-17T10:15:00+05:30,771.8,774.4,770.85,773.55,127060
2025-06-17T11:15:00+05:30,773.6,777.85,773.5,776.0,236450
2025-06-17T12:15:00+05:30,776.25,776.55,772.0,774.65,173033
2025-06-17T13:15:00+05:30,774.7,776.0,771.95,775.5,280670
2025-06-17T14:15:00+05:30,775.45,775.9,772.95,774.3,395003
2025-06-17T15:15:00+05:30,774.25,774.3,771.05,773.0,177358
2025-06-18T09:15:00+05:30,774.45,774.45,768.5,772.7,266798
2025-06-18T10:15:00+05:30,772.7,773.4,767.55,769.85,160046
2025-06-18T11:15:00+05:30,769.85,770.0,766.1,768.35,119433
2025-06-18T12:15:00+05:30,768.4,769.85,766.9,768.35,95594
2025-06-18T13:15:00+05:30,768.2,770.0,767.2,768.8,90731
2025-06-18T14:15:00+05:30,768.8,769.2,765.45,766.75,197378
2025-06-18T15:15:00+05:30,766.75,766.95,765.0,765.45,125885
2025-06-19T09:15:00+05:30,765.55,767.95,762.3,764.65,218136
2025-06-19T10:15:00+05:30,764.6,766.25,760.5,760.55,155226
2025-06-19T11:15:00+05:30,760.55,760.85,753.7,756.35,709847
2025-06-19T12:15:00+05:30,756.35,757.6,754.4,757.4,510555
2025-06-19T13:15:00+05:30,757.4,759.3,756.5,759.2,400540
2025-06-19T14:15:00+05:30,759.25,763.05,758.2,760.7,718961
2025-06-19T15:15:00+05:30,760.65,764.0,759.4,759.8,342161
2025-06-20T09:15:00+05:30,760.0,772.5,758.0,772.1,431919
2025-06-20T10:15:00+05:30,772.0,779.0,771.85,778.45,395179
2025-06-20T11:15:00+05:30,778.1,780.0,777.1,779.9,445996
2025-06-20T12:15:00+05:30,779.9,780.95,777.65,780.45,506760
2025-06-20T13:15:00+05:30,780.2,781.2,777.65,778.5,369658
2025-06-20T14:15:00+05:30,778.45,780.9,776.0,780.0,1889153
2025-06-20T15:15:00+05:30,780.05,780.3,776.55,778.0,1212673
2025-06-23T09:15:00+05:30,769.95,776.7,769.0,770.3,461719
2025-06-23T10:15:00+05:30,770.45,776.5,770.2,775.75,140726
2025-06-23T11:15:00+05:30,775.9,780.0,774.05,778.35,171735
2025-06-23T12:15:00+05:30,778.35,781.9,777.8,780.95,168059
2025-06-23T13:15:00+05:30,780.75,784.0,776.0,776.05,291046
2025-06-23T14:15:00+05:30,776.05,777.5,772.9,774.3,436738
2025-06-23T15:15:00+05:30,774.3,775.8,773.3,773.65,164594
2025-06-24T09:15:00+05:30,779.0,783.25,778.0,780.3,233000
2025-06-24T10:15:00+05:30,780.0,781.0,777.3,780.95,145192
2025-06-24T11:15:00+05:30,780.9,785.6,779.6,784.7,307687
2025-06-24T12:15:00+05:30,784.7,787.05,782.55,786.75,402469
2025-06-24T13:15:00+05:30,786.8,786.9,781.65,783.5,330631
2025-06-24T14:15:00+05:30,783.5,783.95,779.3,779.55,299897
2025-06-24T15:15:00+05:30,779.55,780.15,778.2,779.0,238215
2025-06-25T09:15:00+05:30,781.7,787.65,778.55,781.15,500738
2025-06-25T10:15:00+05:30,781.3,783.7,780.75,782.15,233866
2025-06-25T11:15:00+05:30,782.15,785.3,781.9,783.65,224270
2025-06-25T12:15:00+05:30,783.65,785.3,781.8,785.2,354681
2025-06-25T13:15:00+05:30,785.2,785.9,784.1,785.55,411559
2025-06-25T14:15:00+05:30,785.55,786.0,781.5,784.95,731823
2025-06-25T15:15:00+05:30,785.0,787.0,784.65,786.0,257526
2025-06-26T09:15:00+05:30,789.0,795.75,785.6,793.75,1008230
2025-06-26T10:15:00+05:30,793.75,798.5,788.0,788.9,635292
2025-06-26T11:15:00+05:30,788.9,794.0,788.0,793.45,265648
2025-06-26T12:15:00+05:30,793.45,799.0,792.7,797.7,475500
2025-06-26T13:15:00+05:30,797.7,801.0,795.55,800.9,559062
2025-06-26T14:15:00+05:30,800.9,802.15,797.0,799.7,872334
2025-06-26T15:15:00+05:30,799.7,800.55,796.4,800.1,448871
2025-06-27T09:15:00+05:30,801.05,804.0,794.0,797.25,733170
2025-06-27T10:15:00+05:30,797.3,807.7,795.55,802.05,1456359
2025-06-27T11:15:00+05:30,802.2,804.6,800.1,804.1,286949
2025-06-27T12:15:00+05:30,804.1,806.7,802.65,803.55,511793
2025-06-27T13:15:00+05:30,803.5,807.35,802.8,807.15,753351
2025-06-27T14:15:00+05:30,807.15,811.2,802.6,802.6,7734172
2025-06-27T15:15:00+05:30,802.6,809.1,802.0,804.95,5744792
2025-06-30T09:15:00+05:30,809.7,815.5,801.55,814.7,616425
2025-06-30T10:15:00+05:30,814.65,815.95,811.8,815.0,311199
2025-06-30T11:15:00+05:30,815.0,820.75,814.5,818.9,349534
2025-06-30T12:15:00+05:30,819.0,819.55,812.0,812.0,269859
2025-06-30T13:15:00+05:30,812.1,815.65,811.0,815.1,294592
2025-06-30T14:15:00+05:30,815.0,816.2,813.3,815.4,753604
2025-06-30T15:15:00+05:30,815.3,815.4,812.5,812.7,366307
2025-07-01T09:15:00+05:30,814.85,818.9,811.4,811.6,1045898
2025-07-01T10:15:00+05:30,811.85,812.0,808.05,809.5,379628
2025-07-01T11:15:00+05:30,809.5,810.15,806.05,808.4,227788
2025-07-01T12:15:00+05:30,808.4,809.95,806.8,809.8,230109
2025-07-01T13:15:00+05:30,809.85,810.2,807.0,810.05,191130
2025-07-01T14:15:00+05:30,810.1,810.4,808.8,809.75,325805
2025-07-01T15:15:00+05:30,809.8,811.95,809.6,810.2,192714
2025-07-02T09:15:00+05:30,808.5,812.6,798.8,799.9,847100
2025-07-02T10:15:00+05:30,799.9,800.0,796.7,799.2,257361
2025-07-02T11:15:00+05:30,799.2,801.75,797.0,800.4,444351
2025-07-02T12:15:00+05:30,800.35,802.1,798.8,800.55,288245
2025-07-02T13:15:00+05:30,800.45,801.45,794.3,795.2,488361
2025-07-02T14:15:00+05:30,795.4,796.0,788.8,790.3,680303
2025-07-02T15:15:00+05:30,790.25,790.4,788.0,789.1,237821
2025-07-03T09:15:00+05:30,788.5,788.95,777.2,785.4,1006785
2025-07-03T10:15:00+05:30,785.6,786.5,781.3,785.0,644968
2025-07-03T11:15:00+05:30,785.0,786.05,782.0,783.05,235121
2025-07-03T12:15:00+05:30,783.25,785.15,781.2,784.75,212257
