timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,4316.0,4348.0,4312.5,4335.5,64462
2025-06-16T10:15:00+05:30,4338.1,4408.0,4338.1,4406.4,77882
2025-06-16T11:15:00+05:30,4407.9,4414.1,4361.0,4386.8,76703
2025-06-16T12:15:00+05:30,4386.8,4389.9,4371.4,4377.5,26209
2025-06-16T13:15:00+05:30,4377.5,4387.6,4377.3,4384.5,19067
2025-06-16T14:15:00+05:30,4385.0,4385.0,4363.1,4363.4,57112
2025-06-16T15:15:00+05:30,4363.8,4363.8,4355.3,4360.0,37865
2025-06-17T09:15:00+05:30,4370.0,4381.0,4333.8,4367.9,68030
2025-06-17T10:15:00+05:30,4368.9,4384.7,4357.0,4372.9,31724
2025-06-17T11:15:00+05:30,4373.2,4382.5,4364.9,4374.0,26290
2025-06-17T12:15:00+05:30,4373.1,4390.0,4366.2,4383.2,58521
2025-06-17T13:15:00+05:30,4383.2,4385.0,4372.7,4380.8,24577
2025-06-17T14:15:00+05:30,4380.8,4381.4,4369.6,4370.0,75925
2025-06-17T15:15:00+05:30,4370.0,4375.0,4364.1,4370.0,46130
2025-06-18T09:15:00+05:30,4355.0,4430.0,4350.0,4427.0,106698
2025-06-18T10:15:00+05:30,4426.0,4432.0,4385.0,4394.5,58845
2025-06-18T11:15:00+05:30,4394.5,4398.0,4376.3,4382.1,34569
2025-06-18T12:15:00+05:30,4382.1,4392.9,4375.6,4391.1,44064
2025-06-18T13:15:00+05:30,4391.2,4392.8,4364.6,4365.4,43057
2025-06-18T14:15:00+05:30,4364.6,4378.2,4355.0,4358.3,51909
2025-06-18T15:15:00+05:30,4358.2,4360.8,4350.2,4360.0,30849
2025-06-19T09:15:00+05:30,4374.0,4404.0,4365.0,4394.5,114545
2025-06-19T10:15:00+05:30,4396.3,4397.0,4373.0,4380.7,35555
2025-06-19T11:15:00+05:30,4380.7,4382.6,4355.1,4380.8,65827
2025-06-19T12:15:00+05:30,4380.3,4380.3,4350.3,4370.1,67944
2025-06-19T13:15:00+05:30,4369.2,4387.0,4359.3,4379.5,39467
2025-06-19T14:15:00+05:30,4379.5,4393.0,4375.9,4383.6,64037
2025-06-19T15:15:00+05:30,4384.2,4389.9,4370.8,4370.8,36380
2025-06-20T09:15:00+05:30,4381.0,4382.4,4204.9,4282.4,359629
2025-06-20T10:15:00+05:30,4282.1,4296.0,4272.0,4290.0,150053
2025-06-20T11:15:00+05:30,4290.0,4355.0,4285.5,4339.8,109206
