timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,86.9,87.33,83.1,84.14,6428623
2025-06-16T10:15:00+05:30,84.19,85.46,84.19,84.8,2156832
2025-06-16T11:15:00+05:30,84.86,85.2,84.46,84.97,1161164
2025-06-16T12:15:00+05:30,84.95,85.45,84.55,85.23,1697777
2025-06-16T13:15:00+05:30,85.23,85.55,85.09,85.54,1328562
2025-06-16T14:15:00+05:30,85.56,85.7,84.45,84.95,9717519
2025-06-16T15:15:00+05:30,84.94,84.98,84.31,84.48,2451399
2025-06-17T09:15:00+05:30,84.75,85.28,84.26,84.48,3451722
2025-06-17T10:15:00+05:30,84.48,85.0,83.53,84.19,2440032
2025-06-17T11:15:00+05:30,84.15,84.15,82.95,83.25,2131669
2025-06-17T12:15:00+05:30,83.29,83.52,82.55,82.68,2011263
2025-06-17T13:15:00+05:30,82.65,82.71,81.85,82.44,1926913
2025-06-17T14:15:00+05:30,82.44,82.49,81.7,82.0,2343502
2025-06-17T15:15:00+05:30,82.0,82.01,81.69,81.74,1213026
2025-06-18T09:15:00+05:30,81.83,83.48,80.88,83.28,4547930
2025-06-18T10:15:00+05:30,83.27,83.39,82.43,82.76,1448684
2025-06-18T11:15:00+05:30,82.77,82.94,82.02,82.88,1050642
2025-06-18T12:15:00+05:30,82.86,82.94,82.33,82.63,608204
2025-06-18T13:15:00+05:30,82.63,82.94,82.32,82.4,682882
2025-06-18T14:15:00+05:30,82.4,82.86,82.01,82.34,1337612
2025-06-18T15:15:00+05:30,82.34,82.41,82.11,82.15,669547
2025-06-19T09:15:00+05:30,82.24,82.84,81.68,81.84,2392203
2025-06-19T10:15:00+05:30,81.81,81.81,80.91,81.22,1148181
2025-06-19T11:15:00+05:30,81.24,81.24,80.12,80.54,1627104
2025-06-19T12:15:00+05:30,80.53,80.54,79.28,79.38,2149659
2025-06-19T13:15:00+05:30,79.33,79.86,79.12,79.66,1240715
2025-06-19T14:15:00+05:30,79.65,80.26,79.33,79.45,2572467
2025-06-19T15:15:00+05:30,79.47,79.59,79.1,79.26,985411
2025-06-20T09:15:00+05:30,79.38,80.97,79.38,80.48,3155736
2025-06-20T10:15:00+05:30,80.48,81.9,80.46,81.54,2177719
2025-06-20T11:15:00+05:30,81.54,81.78,81.39,81.44,736141
