timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,226.2,227.88,220.75,222.64,2020664
2025-06-16T10:15:00+05:30,222.6,225.24,222.55,224.94,753011
2025-06-16T11:15:00+05:30,224.95,225.79,224.3,225.5,384873
2025-06-16T12:15:00+05:30,225.5,227.5,225.16,227.49,405999
2025-06-16T13:15:00+05:30,227.49,230.49,226.8,230.0,900299
2025-06-16T14:15:00+05:30,229.99,230.2,228.89,230.2,506281
2025-06-16T15:15:00+05:30,230.19,230.5,228.95,228.96,388672
2025-06-17T09:15:00+05:30,229.8,231.7,227.19,230.22,1050560
2025-06-17T10:15:00+05:30,230.22,230.94,229.14,229.79,354007
2025-06-17T11:15:00+05:30,229.79,230.0,227.2,227.35,419725
2025-06-17T12:15:00+05:30,227.49,228.54,225.0,226.37,744986
2025-06-17T13:15:00+05:30,226.37,227.14,225.61,226.43,268740
2025-06-17T14:15:00+05:30,226.48,226.49,224.55,225.15,462270
2025-06-17T15:15:00+05:30,225.15,225.17,224.0,224.1,350674
2025-06-18T09:15:00+05:30,224.7,227.2,223.52,226.0,854934
2025-06-18T10:15:00+05:30,226.0,226.11,224.05,225.16,346207
2025-06-18T11:15:00+05:30,225.0,225.2,223.64,224.5,229702
2025-06-18T12:15:00+05:30,224.5,224.6,223.11,224.15,246062
2025-06-18T13:15:00+05:30,224.15,225.76,223.77,224.5,401232
2025-06-18T14:15:00+05:30,224.38,224.5,223.31,223.9,313185
2025-06-18T15:15:00+05:30,223.89,224.0,223.0,223.2,249289
2025-06-19T09:15:00+05:30,223.89,224.93,221.5,222.65,746968
2025-06-19T10:15:00+05:30,222.59,222.7,220.7,221.21,423280
2025-06-19T11:15:00+05:30,221.21,221.22,218.8,219.41,536032
2025-06-19T12:15:00+05:30,219.61,219.67,217.1,218.15,841036
2025-06-19T13:15:00+05:30,218.06,218.65,217.11,218.41,504602
2025-06-19T14:15:00+05:30,218.5,219.84,217.75,218.05,549480
2025-06-19T15:15:00+05:30,218.05,218.2,216.3,216.9,376075
2025-06-20T09:15:00+05:30,218.75,222.78,218.63,220.74,1509467
2025-06-20T10:15:00+05:30,220.75,223.8,220.66,223.47,1019793
2025-06-20T11:15:00+05:30,223.35,224.6,223.35,224.06,737823
2025-06-20T12:15:00+05:30,224.17,224.28,222.73,223.69,533974
2025-06-20T13:15:00+05:30,223.58,225.09,223.53,224.3,685867
2025-06-20T14:15:00+05:30,224.2,227.0,224.2,226.99,1482881
2025-06-20T15:15:00+05:30,226.99,227.99,226.91,227.84,830157
2025-06-23T09:15:00+05:30,224.92,229.25,224.2,228.96,3204801
2025-06-23T10:15:00+05:30,228.95,230.94,227.61,229.36,3173330
2025-06-23T11:15:00+05:30,229.36,230.9,228.61,229.33,1213951
2025-06-23T12:15:00+05:30,229.35,230.17,227.81,229.68,571941
2025-06-23T13:15:00+05:30,229.72,232.29,229.32,231.72,1233221
2025-06-23T14:15:00+05:30,231.7,232.3,231.02,231.81,1410514
2025-06-23T15:15:00+05:30,231.81,232.92,231.19,231.7,883393
2025-06-24T09:15:00+05:30,234.34,236.0,233.56,234.1,1838309
2025-06-24T10:15:00+05:30,234.01,235.5,233.6,235.05,527522
2025-06-24T11:15:00+05:30,235.05,235.45,233.7,233.99,489002
2025-06-24T12:15:00+05:30,233.92,234.61,232.81,233.86,477920
2025-06-24T13:15:00+05:30,233.86,234.0,231.05,232.91,657588
2025-06-24T14:15:00+05:30,232.96,234.48,232.66,233.39,571087
2025-06-24T15:15:00+05:30,233.36,233.67,232.3,232.84,317981
2025-06-25T09:15:00+05:30,233.49,236.87,233.05,236.33,1255185
2025-06-25T10:15:00+05:30,236.31,236.67,234.85,236.47,612283
2025-06-25T11:15:00+05:30,236.47,238.45,236.01,237.7,1212519
2025-06-25T12:15:00+05:30,237.7,240.17,237.05,238.63,1539178
2025-06-25T13:15:00+05:30,238.63,240.0,237.85,239.09,994214
2025-06-25T14:15:00+05:30,239.09,240.45,238.55,239.26,1657737
2025-06-25T15:15:00+05:30,239.26,239.91,239.15,239.23,862526
2025-06-26T09:15:00+05:30,239.62,240.39,237.61,239.57,1216673
2025-06-26T10:15:00+05:30,239.5,240.04,237.88,238.13,614416
2025-06-26T11:15:00+05:30,238.13,240.3,237.42,239.11,680099
2025-06-26T12:15:00+05:30,239.11,239.25,237.7,237.89,259189
2025-06-26T13:15:00+05:30,237.89,239.34,237.5,239.24,382302
