timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,1417.0,1420.9,1414.2,1416.5,846097
2025-06-16T10:15:00+05:30,1416.5,1424.5,1415.6,1422.8,999009
2025-06-16T11:15:00+05:30,1422.5,1426.7,1419.5,1423.5,488650
2025-06-16T12:15:00+05:30,1423.5,1425.5,1420.7,1423.1,363020
2025-06-16T13:15:00+05:30,1423.2,1427.7,1421.5,1426.9,460174
2025-06-16T14:15:00+05:30,1427.0,1427.8,1424.2,1426.6,1274763
2025-06-16T15:15:00+05:30,1426.7,1429.0,1425.5,1427.9,975326
2025-06-17T09:15:00+05:30,1426.9,1429.8,1422.0,1425.4,1179984
2025-06-17T10:15:00+05:30,1425.4,1427.9,1423.3,1424.5,617943
2025-06-17T11:15:00+05:30,1424.0,1425.3,1422.6,1422.9,416566
2025-06-17T12:15:00+05:30,1422.9,1424.5,1419.0,1419.5,941745
2025-06-17T13:15:00+05:30,1419.9,1421.5,1417.8,1420.7,640690
2025-06-17T14:15:00+05:30,1420.8,1424.0,1419.5,1423.5,2024660
2025-06-17T15:15:00+05:30,1423.5,1425.8,1422.0,1422.0,1033565
2025-06-18T09:15:00+05:30,1418.2,1432.0,1416.6,1423.0,934009
2025-06-18T10:15:00+05:30,1422.9,1423.9,1415.9,1416.1,771603
2025-06-18T11:15:00+05:30,1416.1,1416.7,1413.4,1415.1,802012
2025-06-18T12:15:00+05:30,1415.1,1415.4,1412.5,1414.0,587160
2025-06-18T13:15:00+05:30,1414.0,1414.1,1410.2,1412.5,1091926
2025-06-18T14:15:00+05:30,1412.5,1415.1,1411.4,1412.7,1646730
2025-06-18T15:15:00+05:30,1412.7,1413.7,1411.5,1413.0,880384
2025-06-19T09:15:00+05:30,1408.0,1414.0,1405.4,1413.4,1655664
2025-06-19T10:15:00+05:30,1413.8,1414.7,1407.3,1407.8,1102767
2025-06-19T11:15:00+05:30,1407.8,1408.0,1404.7,1406.1,1222764
2025-06-19T12:15:00+05:30,1406.1,1412.6,1405.7,1411.9,1024972
2025-06-19T13:15:00+05:30,1411.8,1412.8,1408.9,1410.3,898601
2025-06-19T14:15:00+05:30,1410.4,1414.0,1407.8,1411.2,1974488
2025-06-19T15:15:00+05:30,1411.2,1412.9,1408.4,1410.0,906963
2025-06-20T09:15:00+05:30,1411.3,1416.8,1410.2,1415.4,555931
2025-06-20T10:15:00+05:30,1415.3,1426.0,1415.3,1425.9,658379
2025-06-20T11:15:00+05:30,1426.0,1430.8,1424.6,1430.3,959855
2025-06-20T12:15:00+05:30,1430.2,1432.0,1427.1,1431.6,561952
2025-06-20T13:15:00+05:30,1431.6,1433.3,1428.0,1428.9,495067
2025-06-20T14:15:00+05:30,1428.6,1429.7,1424.2,1425.0,4892711
2025-06-20T15:15:00+05:30,1425.1,1433.1,1424.6,1426.4,4267256
2025-06-23T09:15:00+05:30,1417.0,1421.0,1411.9,1414.0,799542
2025-06-23T10:15:00+05:30,1414.0,1417.0,1412.2,1416.1,476704
2025-06-23T11:15:00+05:30,1416.2,1416.8,1412.5,1413.2,494350
2025-06-23T12:15:00+05:30,1413.1,1416.1,1412.8,1415.2,592033
2025-06-23T13:15:00+05:30,1415.2,1423.2,1414.7,1420.2,923097
2025-06-23T14:15:00+05:30,1420.1,1421.8,1417.4,1419.2,1519112
2025-06-23T15:15:00+05:30,1419.2,1421.0,1418.0,1419.1,650727
2025-06-24T09:15:00+05:30,1427.7,1435.9,1423.8,1431.4,1705441
2025-06-24T10:15:00+05:30,1431.5,1432.9,1425.4,1431.2,829580
2025-06-24T11:15:00+05:30,1431.1,1435.0,1429.8,1434.1,1027686
2025-06-24T12:15:00+05:30,1434.1,1434.5,1421.3,1424.0,1687716
2025-06-24T13:15:00+05:30,1424.0,1425.2,1416.5,1419.8,2100690
2025-06-24T14:15:00+05:30,1419.8,1424.8,1418.6,1423.6,2566307
2025-06-24T15:15:00+05:30,1423.5,1425.7,1423.0,1424.0,1135911
2025-06-25T09:15:00+05:30,1422.0,1427.4,1415.3,1422.9,1502645
2025-06-25T10:15:00+05:30,1422.9,1424.9,1420.4,1420.7,846468
2025-06-25T11:15:00+05:30,1420.8,1423.4,1420.5,1422.2,817522
2025-06-25T12:15:00+05:30,1422.2,1422.7,1420.1,1422.0,840691
2025-06-25T13:15:00+05:30,1421.9,1424.9,1421.0,1424.5,804245
2025-06-25T14:15:00+05:30,1424.8,1428.9,1423.2,1425.0,1364967
2025-06-25T15:15:00+05:30,1425.1,1426.3,1422.6,1424.5,912459
2025-06-26T09:15:00+05:30,1424.7,1436.1,1421.7,1428.6,1890386
2025-06-26T10:15:00+05:30,1428.7,1430.7,1425.0,1427.4,975132
2025-06-26T11:15:00+05:30,1427.4,1443.4,1426.1,1440.1,1474562
2025-06-26T12:15:00+05:30,1439.8,1441.0,1432.2,1433.7,1006006
2025-06-26T13:15:00+05:30,1433.6,1446.8,1432.2,1446.8,1951659
2025-06-26T14:15:00+05:30,1446.5,1447.5,1436.5,1438.0,4149817
2025-06-26T15:15:00+05:30,1437.9,1440.9,1436.1,1440.0,2092674
2025-06-27T09:15:00+05:30,1438.0,1446.9,1437.1,1446.8,1163520
2025-06-27T10:15:00+05:30,1446.8,1451.4,1443.7,1448.4,1431986
2025-06-27T11:15:00+05:30,1448.9,1449.5,1442.7,1447.3,1254175
2025-06-27T12:15:00+05:30,1447.3,1454.7,1446.8,1453.4,1423533
2025-06-27T13:15:00+05:30,1453.4,1454.7,1451.4,1454.3,1190560
2025-06-27T14:15:00+05:30,1454.3,1463.9,1452.1,1463.1,8579483
2025-06-27T15:15:00+05:30,1463.0,1466.0,1455.9,1457.9,7265961
2025-06-30T09:15:00+05:30,1461.1,1461.9,1452.9,1453.8,1025265
2025-06-30T10:15:00+05:30,1453.7,1454.7,1448.8,1450.1,460715
2025-06-30T11:15:00+05:30,1450.1,1455.1,1447.8,1454.3,654294
2025-06-30T12:15:00+05:30,1454.4,1455.1,1449.0,1449.8,908258
2025-06-30T13:15:00+05:30,1449.8,1450.1,1445.1,1446.3,522730
2025-06-30T14:15:00+05:30,1446.1,1447.7,1442.3,1445.9,1782730
2025-06-30T15:15:00+05:30,1445.9,1449.0,1443.9,1449.0,889424
2025-07-01T09:15:00+05:30,1445.8,1447.6,1438.2,1442.0,912300
2025-07-01T10:15:00+05:30,1442.0,1442.3,1434.4,1434.9,1219695
2025-07-01T11:15:00+05:30,1434.9,1436.9,1433.5,1435.7,761206
2025-07-01T12:15:00+05:30,1435.7,1437.0,1434.0,1434.7,610009
2025-07-01T13:15:00+05:30,1434.8,1438.3,1434.1,1437.7,1051547
2025-07-01T14:15:00+05:30,1437.6,1437.9,1429.9,1430.6,2146926
2025-07-01T15:15:00+05:30,1430.9,1434.6,1429.6,1431.7,942299
2025-07-02T09:15:00+05:30,1434.0,1451.0,1432.6,1435.8,2195100
2025-07-02T10:15:00+05:30,1435.8,1436.8,1430.0,1432.0,1377923
2025-07-02T11:15:00+05:30,1431.9,1433.7,1430.3,1432.0,1746045
2025-07-02T12:15:00+05:30,1432.0,1432.9,1426.4,1426.5,1516324
2025-07-02T13:15:00+05:30,1426.6,1428.3,1424.1,1425.4,2075036
2025-07-02T14:15:00+05:30,1425.6,1429.8,1422.6,1428.1,3120047
2025-07-02T15:15:00+05:30,1428.1,1428.1,1426.5,1427.8,1079423
2025-07-03T09:15:00+05:30,1432.2,1446.1,1432.1,1442.9,1395617
2025-07-03T10:15:00+05:30,1442.8,1442.9,1432.1,1432.8,932412
2025-07-03T11:15:00+05:30,1432.8,1433.3,1427.9,1429.5,1008658
