timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,70.0,70.28,69.22,69.69,4134015
2025-06-16T10:15:00+05:30,69.69,70.24,69.68,70.04,2533547
2025-06-16T11:15:00+05:30,70.04,70.35,69.93,70.34,1805072
2025-06-16T12:15:00+05:30,70.34,70.4,70.15,70.32,1917160
2025-06-16T13:15:00+05:30,70.35,70.51,70.25,70.47,2320846
2025-06-16T14:15:00+05:30,70.49,71.05,70.48,70.91,3670807
2025-06-16T15:15:00+05:30,70.94,71.0,70.84,70.9,1618268
2025-06-17T09:15:00+05:30,70.88,71.6,70.55,71.19,5346964
2025-06-17T10:15:00+05:30,71.2,71.25,70.85,70.99,1770446
2025-06-17T11:15:00+05:30,70.98,70.99,70.66,70.73,2009480
2025-06-17T12:15:00+05:30,70.73,70.89,70.25,70.85,4992418
2025-06-17T13:15:00+05:30,70.85,70.9,70.34,70.48,1394456
2025-06-17T14:15:00+05:30,70.48,70.51,70.13,70.26,7189195
2025-06-17T15:15:00+05:30,70.26,70.26,69.71,69.99,1621438
2025-06-18T09:15:00+05:30,70.58,70.9,69.7,70.8,3690257
2025-06-18T10:15:00+05:30,70.8,71.48,70.58,70.92,4366516
2025-06-18T11:15:00+05:30,70.93,71.16,70.76,71.03,2533652
2025-06-18T12:15:00+05:30,71.04,71.23,70.86,71.06,2254493
2025-06-18T13:15:00+05:30,71.09,71.12,70.8,70.81,1343116
2025-06-18T14:15:00+05:30,70.82,71.1,70.52,70.73,5766446
2025-06-18T15:15:00+05:30,70.75,70.9,70.69,70.85,1183135
2025-06-19T09:15:00+05:30,70.77,70.85,70.13,70.35,2015760
2025-06-19T10:15:00+05:30,70.32,70.59,70.04,70.37,2876609
2025-06-19T11:15:00+05:30,70.36,70.4,70.1,70.18,1200209
2025-06-19T12:15:00+05:30,70.15,70.17,69.6,69.74,2024939
2025-06-19T13:15:00+05:30,69.71,69.88,69.46,69.76,2201348
2025-06-19T14:15:00+05:30,69.8,69.96,69.61,69.71,3781932
2025-06-19T15:15:00+05:30,69.71,69.75,69.3,69.48,1364954
2025-06-20T09:15:00+05:30,69.64,70.0,69.45,69.55,2335052
2025-06-20T10:15:00+05:30,69.56,70.17,69.48,70.17,2711198
2025-06-20T11:15:00+05:30,70.17,70.24,69.92,70.03,2417984
2025-06-20T12:15:00+05:30,70.06,70.08,69.66,69.85,2451316
2025-06-20T13:15:00+05:30,69.87,70.19,69.85,70.01,2080317
2025-06-20T14:15:00+05:30,70.04,70.35,69.94,70.14,6699872
2025-06-20T15:15:00+05:30,70.15,70.4,70.07,70.11,3004745
2025-06-23T09:15:00+05:30,69.41,70.34,69.31,70.06,4409100
2025-06-23T10:15:00+05:30,70.08,70.9,70.04,70.85,5146287
2025-06-23T11:15:00+05:30,70.85,70.97,70.65,70.84,2275154
2025-06-23T12:15:00+05:30,70.83,71.15,70.79,71.05,3075150
2025-06-23T13:15:00+05:30,71.07,71.25,70.95,71.0,3034942
2025-06-23T14:15:00+05:30,71.01,71.18,70.89,71.05,3813944
2025-06-23T15:15:00+05:30,71.03,71.08,70.97,71.04,1878533
2025-06-24T09:15:00+05:30,71.52,72.1,71.2,71.38,8648369
2025-06-24T10:15:00+05:30,71.36,72.19,71.35,72.07,3659863
2025-06-24T11:15:00+05:30,72.05,72.39,72.0,72.24,3837105
2025-06-24T12:15:00+05:30,72.24,72.45,72.12,72.37,3092787
2025-06-24T13:15:00+05:30,72.4,72.41,71.87,71.98,3046981
2025-06-24T14:15:00+05:30,72.0,72.2,71.91,72.0,3094304
2025-06-24T15:15:00+05:30,72.0,72.1,71.88,72.0,1399477
2025-06-25T09:15:00+05:30,72.3,72.41,71.91,72.0,2964217
2025-06-25T10:15:00+05:30,71.98,72.03,71.6,71.66,1496035
2025-06-25T11:15:00+05:30,71.66,71.93,71.57,71.88,1272960
