timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,469.0,471.95,460.45,465.75,335974
2025-06-16T10:15:00+05:30,465.95,476.8,465.7,476.15,264559
2025-06-16T11:15:00+05:30,476.2,479.7,473.4,476.4,435251
2025-06-16T12:15:00+05:30,476.2,478.2,474.9,477.4,258574
2025-06-16T13:15:00+05:30,477.6,482.65,477.05,482.65,169760
2025-06-16T14:15:00+05:30,482.5,485.45,479.7,485.2,440590
2025-06-16T15:15:00+05:30,485.5,486.55,483.55,485.0,474516
2025-06-17T09:15:00+05:30,486.0,490.5,482.05,489.5,412505
2025-06-17T10:15:00+05:30,489.55,494.0,488.6,492.8,426721
2025-06-17T11:15:00+05:30,492.7,494.8,489.65,491.8,440426
2025-06-17T12:15:00+05:30,491.45,492.5,487.0,489.0,332062
2025-06-17T13:15:00+05:30,489.0,491.65,488.2,490.6,283833
2025-06-17T14:15:00+05:30,490.6,490.9,487.95,488.5,351484
2025-06-17T15:15:00+05:30,488.5,488.55,485.6,487.0,196296
2025-06-18T09:15:00+05:30,480.65,490.4,480.0,485.4,361990
2025-06-18T10:15:00+05:30,485.6,490.9,483.2,490.4,308973
2025-06-18T11:15:00+05:30,490.35,491.5,486.7,489.35,154633
2025-06-18T12:15:00+05:30,489.35,489.35,483.6,483.75,159146
2025-06-18T13:15:00+05:30,483.75,487.75,482.75,484.4,151723
2025-06-18T14:15:00+05:30,484.5,486.45,483.25,485.15,185749
2025-06-18T15:15:00+05:30,485.1,486.4,483.35,483.45,102708
2025-06-19T09:15:00+05:30,482.5,488.4,480.9,482.75,201149
2025-06-19T10:15:00+05:30,482.5,484.2,477.9,482.05,595050
2025-06-19T11:15:00+05:30,481.9,482.15,475.6,476.85,228653
2025-06-19T12:15:00+05:30,476.9,476.9,471.8,472.7,164289
2025-06-19T13:15:00+05:30,472.55,475.9,471.7,474.7,192191
2025-06-19T14:15:00+05:30,474.65,476.35,473.6,474.65,149865
2025-06-19T15:15:00+05:30,474.75,476.3,471.0,473.0,114646
2025-06-20T09:15:00+05:30,474.95,480.2,471.05,473.45,205262
2025-06-20T10:15:00+05:30,473.5,478.95,473.5,478.2,191798
2025-06-20T11:15:00+05:30,478.65,480.0,476.7,477.0,130246
2025-06-20T12:15:00+05:30,477.0,477.6,473.6,475.9,109581
2025-06-20T13:15:00+05:30,475.6,477.5,474.75,475.35,69769
2025-06-20T14:15:00+05:30,475.35,477.95,472.75,475.75,2451780
2025-06-20T15:15:00+05:30,475.75,477.8,471.0,477.8,2986129
2025-06-23T09:15:00+05:30,471.8,475.8,467.75,473.5,250515
2025-06-23T10:15:00+05:30,473.25,480.0,471.6,479.05,192059
2025-06-23T11:15:00+05:30,478.95,480.7,477.05,479.2,258638
2025-06-23T12:15:00+05:30,479.1,483.5,479.0,481.15,252864
2025-06-23T13:15:00+05:30,480.95,483.6,480.3,481.8,155826
2025-06-23T14:15:00+05:30,481.8,482.35,478.1,479.7,154415
2025-06-23T15:15:00+05:30,479.7,480.8,479.0,479.65,98415
2025-06-24T09:15:00+05:30,489.05,489.05,475.0,475.8,330255
2025-06-24T10:15:00+05:30,475.95,478.85,475.9,476.95,96646
2025-06-24T11:15:00+05:30,477.3,480.95,476.8,478.5,126800
2025-06-24T12:15:00+05:30,478.8,480.1,476.7,479.35,99826
2025-06-24T13:15:00+05:30,479.55,479.95,475.4,477.6,101761
2025-06-24T14:15:00+05:30,477.85,478.9,477.05,477.75,122607
2025-06-24T15:15:00+05:30,477.9,480.0,477.5,479.2,69142
2025-06-25T09:15:00+05:30,480.5,482.5,478.3,480.4,1008728
2025-06-25T10:15:00+05:30,480.4,480.9,477.35,479.7,320078
