timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,817.1,821.5,810.25,813.05,694949
2025-06-16T10:15:00+05:30,813.05,821.0,812.6,819.2,224147
2025-06-16T11:15:00+05:30,819.4,820.5,815.05,818.7,277511
2025-06-16T12:15:00+05:30,818.7,824.0,817.45,822.65,234703
2025-06-16T13:15:00+05:30,822.65,824.8,821.6,822.9,198797
2025-06-16T14:15:00+05:30,823.0,824.4,819.2,821.1,419349
2025-06-16T15:15:00+05:30,821.2,823.15,820.15,820.15,229358
2025-06-17T09:15:00+05:30,820.0,820.95,808.5,811.05,697782
2025-06-17T10:15:00+05:30,811.05,815.75,810.85,814.7,278941
2025-06-17T11:15:00+05:30,814.7,816.2,811.9,813.55,178840
2025-06-17T12:15:00+05:30,813.55,814.8,810.5,810.9,172932
2025-06-17T13:15:00+05:30,810.8,811.0,808.0,809.15,224656
2025-06-17T14:15:00+05:30,809.2,810.2,806.05,809.7,495402
2025-06-17T15:15:00+05:30,809.7,810.5,809.0,810.3,285703
2025-06-18T09:15:00+05:30,818.85,855.5,815.55,851.75,7709203
2025-06-18T10:15:00+05:30,851.75,854.5,837.05,838.5,4333195
2025-06-18T11:15:00+05:30,838.45,845.8,834.55,844.9,2099024
2025-06-18T12:15:00+05:30,844.85,849.4,843.4,847.5,1636091
2025-06-18T13:15:00+05:30,847.35,847.5,841.5,841.9,933688
2025-06-18T14:15:00+05:30,841.9,852.95,840.35,851.4,2807368
2025-06-18T15:15:00+05:30,851.4,852.0,846.25,847.1,1260544
2025-06-19T09:15:00+05:30,846.6,849.6,840.8,842.75,1247983
2025-06-19T10:15:00+05:30,842.7,842.7,839.2,840.95,552136
2025-06-19T11:15:00+05:30,840.75,843.8,839.55,840.8,342731
2025-06-19T12:15:00+05:30,840.8,841.05,836.4,839.5,671918
2025-06-19T13:15:00+05:30,839.5,839.55,836.1,837.45,476301
2025-06-19T14:15:00+05:30,837.5,838.75,836.1,838.1,658436
2025-06-19T15:15:00+05:30,838.05,838.3,835.45,835.5,368894
2025-06-20T09:15:00+05:30,835.95,837.9,829.0,836.95,781527
2025-06-20T10:15:00+05:30,836.95,843.85,836.55,843.55,465041
2025-06-20T11:15:00+05:30,843.55,845.0,841.5,843.8,264760
2025-06-20T12:15:00+05:30,843.5,844.3,839.4,841.85,203563
2025-06-20T13:15:00+05:30,841.85,847.5,841.65,843.8,334741
