timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,173.46,174.41,167.77,169.83,2251371
2025-06-16T10:15:00+05:30,169.81,172.25,169.67,171.75,1132837
2025-06-16T11:15:00+05:30,171.69,172.0,170.87,171.76,526141
2025-06-16T12:15:00+05:30,171.79,173.86,171.18,173.21,824689
2025-06-16T13:15:00+05:30,173.21,173.34,172.43,173.0,646043
2025-06-16T14:15:00+05:30,173.0,173.2,172.21,172.42,783733
2025-06-16T15:15:00+05:30,172.48,173.2,172.33,173.0,731998
2025-06-17T09:15:00+05:30,172.51,175.23,172.21,174.07,1359384
2025-06-17T10:15:00+05:30,174.07,174.85,173.3,173.87,358539
2025-06-17T11:15:00+05:30,173.85,173.9,171.65,171.93,497932
2025-06-17T12:15:00+05:30,171.93,172.07,169.6,170.16,1764917
2025-06-17T13:15:00+05:30,170.16,170.6,169.25,169.84,474049
2025-06-17T14:15:00+05:30,169.79,169.95,168.9,169.42,806927
2025-06-17T15:15:00+05:30,169.48,169.48,168.55,168.6,565599
2025-06-18T09:15:00+05:30,169.5,171.37,168.16,169.69,1527696
2025-06-18T10:15:00+05:30,169.69,169.69,168.31,169.35,573275
2025-06-18T11:15:00+05:30,169.39,170.65,168.25,170.5,433405
2025-06-18T12:15:00+05:30,170.5,170.5,169.05,169.49,417228
2025-06-18T13:15:00+05:30,169.43,170.83,168.77,169.39,1882198
2025-06-18T14:15:00+05:30,169.44,170.25,168.5,169.75,602427
2025-06-18T15:15:00+05:30,169.75,169.98,169.1,169.3,273389
2025-06-19T09:15:00+05:30,169.5,170.84,168.62,168.68,947526
2025-06-19T10:15:00+05:30,168.66,168.75,166.96,167.76,691412
2025-06-19T11:15:00+05:30,167.76,167.84,166.3,166.6,386023
2025-06-19T12:15:00+05:30,166.55,166.91,165.3,165.44,456643
2025-06-19T13:15:00+05:30,165.4,167.0,164.91,166.9,638965
2025-06-19T14:15:00+05:30,166.91,167.6,165.37,165.71,832636
2025-06-19T15:15:00+05:30,165.65,166.72,165.4,165.89,823146
2025-06-20T09:15:00+05:30,165.84,168.64,165.53,167.7,910391
2025-06-20T10:15:00+05:30,167.7,169.17,167.54,168.95,711951
