timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,140.0,141.5,138.9,139.13,5263447
2025-06-16T10:15:00+05:30,139.1,140.46,138.9,140.05,3020362
2025-06-16T11:15:00+05:30,140.05,140.39,139.57,139.82,870421
2025-06-16T12:15:00+05:30,139.86,140.65,139.75,140.57,734966
2025-06-16T13:15:00+05:30,140.56,142.16,140.52,141.93,2105005
2025-06-16T14:15:00+05:30,141.93,142.2,141.5,141.92,1936769
2025-06-16T15:15:00+05:30,141.96,141.99,141.52,141.52,1076185
2025-06-17T09:15:00+05:30,141.29,143.47,141.2,142.72,3066970
2025-06-17T10:15:00+05:30,142.78,143.3,142.72,143.05,1078920
2025-06-17T11:15:00+05:30,143.05,143.3,142.14,142.36,1342865
2025-06-17T12:15:00+05:30,142.37,142.5,141.32,141.73,1034329
2025-06-17T13:15:00+05:30,141.75,141.95,141.51,141.63,547573
2025-06-17T14:15:00+05:30,141.58,142.0,141.38,141.76,1684915
2025-06-17T15:15:00+05:30,141.75,141.8,141.4,141.65,1057934
2025-06-18T09:15:00+05:30,141.3,142.09,140.5,140.6,2772431
2025-06-18T10:15:00+05:30,140.58,140.99,140.25,140.78,1519130
2025-06-18T11:15:00+05:30,140.73,140.8,140.01,140.29,834968
2025-06-18T12:15:00+05:30,140.35,140.35,139.5,140.06,928716
2025-06-18T13:15:00+05:30,140.1,140.78,139.9,140.35,845895
2025-06-18T14:15:00+05:30,140.31,141.0,140.2,140.83,1317890
2025-06-18T15:15:00+05:30,140.83,140.97,140.61,140.76,766114
2025-06-19T09:15:00+05:30,140.76,141.19,139.53,139.91,1373935
2025-06-19T10:15:00+05:30,139.88,139.99,139.21,139.75,767398
2025-06-19T11:15:00+05:30,139.75,139.84,139.21,139.6,698347
2025-06-19T12:15:00+05:30,139.6,139.7,138.7,138.8,929384
2025-06-19T13:15:00+05:30,138.76,139.13,138.33,139.09,814399
2025-06-19T14:15:00+05:30,139.09,139.46,138.7,138.82,811168
2025-06-19T15:15:00+05:30,138.85,138.87,138.33,138.41,525613
2025-06-20T09:15:00+05:30,138.28,138.94,137.41,137.6,3996123
2025-06-20T10:15:00+05:30,137.6,138.27,137.6,138.21,2771931
2025-06-20T11:15:00+05:30,138.21,139.03,137.64,137.94,3733027
2025-06-20T12:15:00+05:30,137.91,137.96,137.0,137.56,2504906
