timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,49.97,50.14,48.69,49.07,4756217
2025-06-16T10:15:00+05:30,49.07,49.49,49.05,49.35,1305372
2025-06-16T11:15:00+05:30,49.35,49.58,49.18,49.52,953821
2025-06-16T12:15:00+05:30,49.54,49.67,49.44,49.63,696025
2025-06-16T13:15:00+05:30,49.64,50.03,49.6,50.02,1407062
2025-06-16T14:15:00+05:30,50.03,50.07,49.86,50.01,1319541
2025-06-16T15:15:00+05:30,50.03,50.08,49.94,50.0,525505
2025-06-17T09:15:00+05:30,50.19,50.26,49.66,49.99,2425311
2025-06-17T10:15:00+05:30,50.0,50.09,49.66,49.75,970564
2025-06-17T11:15:00+05:30,49.75,49.84,49.46,49.53,871503
2025-06-17T12:15:00+05:30,49.53,49.58,49.21,49.3,520892
2025-06-17T13:15:00+05:30,49.29,49.67,49.25,49.49,1203533
2025-06-17T14:15:00+05:30,49.49,49.55,49.22,49.37,1171648
2025-06-17T15:15:00+05:30,49.37,49.38,49.07,49.25,977983
2025-06-18T09:15:00+05:30,49.25,49.48,48.81,49.17,2108328
2025-06-18T10:15:00+05:30,49.15,49.2,48.9,49.04,1223699
2025-06-18T11:15:00+05:30,49.01,49.06,48.64,48.85,1310092
2025-06-18T12:15:00+05:30,48.85,48.85,48.61,48.7,565683
2025-06-18T13:15:00+05:30,48.68,48.79,48.6,48.64,786493
2025-06-18T14:15:00+05:30,48.64,48.8,48.5,48.65,1892641
2025-06-18T15:15:00+05:30,48.65,48.66,48.35,48.35,1302295
2025-06-19T09:15:00+05:30,48.33,49.24,48.2,48.77,6477171
2025-06-19T10:15:00+05:30,48.76,48.99,48.42,48.73,1609762
2025-06-19T11:15:00+05:30,48.73,48.75,48.42,48.42,924944
2025-06-19T12:15:00+05:30,48.42,48.76,48.0,48.02,2303059
2025-06-19T13:15:00+05:30,48.03,48.32,47.91,48.27,1183220
2025-06-19T14:15:00+05:30,48.28,48.49,48.07,48.15,1427972
2025-06-19T15:15:00+05:30,48.15,48.17,47.8,47.98,806573
2025-06-20T09:15:00+05:30,48.06,48.49,47.9,48.13,2867150
2025-06-20T10:15:00+05:30,48.13,48.85,48.13,48.65,2089241
2025-06-20T11:15:00+05:30,48.65,48.81,48.61,48.71,801759
2025-06-20T12:15:00+05:30,48.71,48.74,48.34,48.42,940584
2025-06-20T13:15:00+05:30,48.42,48.57,48.35,48.43,855621
2025-06-20T14:15:00+05:30,48.43,48.88,48.4,48.71,19763123
2025-06-20T15:15:00+05:30,48.72,48.9,48.47,48.85,20142870
2025-06-23T09:15:00+05:30,48.2,48.65,48.0,48.51,3215874
2025-06-23T10:15:00+05:30,48.51,48.89,48.38,48.83,1096840
2025-06-23T11:15:00+05:30,48.85,49.44,48.78,49.4,1695903
2025-06-23T12:15:00+05:30,49.41,49.66,49.28,49.59,1431428
