timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,770.0,771.8,758.5,762.0,242340
2025-06-16T10:15:00+05:30,762.1,765.3,761.25,762.3,100476
2025-06-16T11:15:00+05:30,762.3,763.7,760.85,763.5,98759
2025-06-16T12:15:00+05:30,763.5,767.6,762.3,765.05,121789
2025-06-16T13:15:00+05:30,765.4,768.5,764.5,768.25,141889
2025-06-16T14:15:00+05:30,768.0,771.95,767.55,770.0,187185
2025-06-16T15:15:00+05:30,770.25,770.5,768.05,768.05,84848
2025-06-17T09:15:00+05:30,770.1,772.1,767.4,769.2,123213
2025-06-17T10:15:00+05:30,769.15,769.95,766.4,767.3,62945
2025-06-17T11:15:00+05:30,767.3,770.5,766.0,770.0,117228
2025-06-17T12:15:00+05:30,770.05,773.8,769.1,773.45,322591
2025-06-17T13:15:00+05:30,773.1,773.6,771.8,772.25,83162
2025-06-17T14:15:00+05:30,772.25,772.45,767.3,769.55,122409
2025-06-17T15:15:00+05:30,769.35,769.6,766.35,766.8,46587
2025-06-18T09:15:00+05:30,766.05,771.7,764.0,770.1,105063
2025-06-18T10:15:00+05:30,770.05,770.35,765.05,766.05,69412
2025-06-18T11:15:00+05:30,766.35,766.5,761.5,763.7,64013
2025-06-18T12:15:00+05:30,763.9,763.9,760.15,761.55,54006
2025-06-18T13:15:00+05:30,761.5,762.7,760.1,760.2,53687
2025-06-18T14:15:00+05:30,760.45,761.5,757.6,760.5,122835
2025-06-18T15:15:00+05:30,760.35,760.5,758.05,759.0,70532
2025-06-19T09:15:00+05:30,761.0,761.95,755.4,757.0,167553
2025-06-19T10:15:00+05:30,757.0,757.0,752.95,754.0,95039
2025-06-19T11:15:00+05:30,754.2,754.25,749.05,750.45,133633
2025-06-19T12:15:00+05:30,750.45,750.45,743.3,745.05,181851
2025-06-19T13:15:00+05:30,744.9,748.6,744.2,748.4,246863
2025-06-19T14:15:00+05:30,748.4,750.3,746.1,746.8,206051
2025-06-19T15:15:00+05:30,746.95,748.35,745.0,747.0,103945
2025-06-20T09:15:00+05:30,745.55,752.65,743.85,749.9,130903
2025-06-20T10:15:00+05:30,749.9,755.0,749.9,754.6,80953
2025-06-20T11:15:00+05:30,754.8,756.55,754.5,755.75,58791
2025-06-20T12:15:00+05:30,755.95,756.0,752.7,755.25,52374
2025-06-20T13:15:00+05:30,755.25,757.8,754.75,757.0,58489
2025-06-20T14:15:00+05:30,757.1,757.5,754.25,755.95,289774
2025-06-20T15:15:00+05:30,755.95,758.4,755.0,756.0,187908
2025-06-23T09:15:00+05:30,748.95,755.9,746.6,755.85,211029
2025-06-23T10:15:00+05:30,755.9,757.65,753.35,757.65,103411
2025-06-23T11:15:00+05:30,757.65,758.8,755.55,757.55,61515
2025-06-23T12:15:00+05:30,757.9,758.8,757.1,757.9,58135
2025-06-23T13:15:00+05:30,757.9,759.75,754.65,758.4,82452
2025-06-23T14:15:00+05:30,758.45,759.2,756.1,758.0,106180
2025-06-23T15:15:00+05:30,758.0,758.75,755.4,756.7,50347
2025-06-24T09:15:00+05:30,763.1,768.45,761.7,767.45,161385
2025-06-24T10:15:00+05:30,767.45,770.65,766.1,766.4,111333
2025-06-24T11:15:00+05:30,766.15,769.0,766.05,768.35,42472
2025-06-24T12:15:00+05:30,768.35,768.5,765.5,766.1,46376
2025-06-24T13:15:00+05:30,766.1,766.8,761.1,761.7,57747
2025-06-24T14:15:00+05:30,761.7,765.8,761.1,762.45,91025
2025-06-24T15:15:00+05:30,762.4,762.45,761.1,761.85,45693
2025-06-25T09:15:00+05:30,769.6,772.6,765.5,768.7,280418
2025-06-25T10:15:00+05:30,768.4,770.8,768.3,768.8,99255
2025-06-25T11:15:00+05:30,768.75,770.15,767.1,767.75,80594
2025-06-25T12:15:00+05:30,768.15,768.65,766.1,768.15,68749
2025-06-25T13:15:00+05:30,768.55,768.75,766.55,766.9,48236
2025-06-25T14:15:00+05:30,766.7,768.85,766.25,768.35,136043
2025-06-25T15:15:00+05:30,768.45,768.45,766.25,767.95,85271
2025-06-26T09:15:00+05:30,769.55,771.4,765.2,767.75,149703
