timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,137.35,139.17,135.56,136.64,5246897
2025-06-16T10:15:00+05:30,136.67,138.34,136.6,137.86,1792473
2025-06-16T11:15:00+05:30,137.89,138.75,137.66,138.72,1289290
2025-06-16T12:15:00+05:30,138.72,138.98,138.22,138.85,1056975
2025-06-16T13:15:00+05:30,138.86,140.0,138.66,139.98,1595130
2025-06-16T14:15:00+05:30,140.0,140.21,139.41,140.18,1665333
2025-06-16T15:15:00+05:30,140.18,140.29,139.82,140.1,996390
2025-06-17T09:15:00+05:30,139.96,140.68,138.82,139.64,3119634
2025-06-17T10:15:00+05:30,139.61,140.02,139.25,139.44,843754
2025-06-17T11:15:00+05:30,139.47,139.6,138.4,138.61,871370
2025-06-17T12:15:00+05:30,138.59,138.7,137.72,138.1,931224
2025-06-17T13:15:00+05:30,138.1,138.45,137.8,138.23,502825
2025-06-17T14:15:00+05:30,138.24,138.44,137.72,138.05,1326096
2025-06-17T15:15:00+05:30,138.06,138.15,137.5,137.75,809256
2025-06-18T09:15:00+05:30,137.73,138.55,136.69,138.21,2908350
2025-06-18T10:15:00+05:30,138.24,138.5,136.85,137.56,1614991
2025-06-18T11:15:00+05:30,137.55,137.66,136.7,137.26,1019479
2025-06-18T12:15:00+05:30,137.26,137.26,136.2,136.32,893610
2025-06-18T13:15:00+05:30,136.33,136.74,136.12,136.15,740264
2025-06-18T14:15:00+05:30,136.2,136.5,135.7,136.15,1433268
2025-06-18T15:15:00+05:30,136.11,136.16,135.72,135.87,753475
2025-06-19T09:15:00+05:30,135.9,136.71,135.15,135.48,2642273
2025-06-19T10:15:00+05:30,135.47,135.47,134.5,134.74,1517747
2025-06-19T11:15:00+05:30,134.78,134.78,132.99,133.1,2398464
2025-06-19T12:15:00+05:30,133.1,133.1,131.56,131.95,2149781
2025-06-19T13:15:00+05:30,131.95,132.93,131.7,132.87,1596653
2025-06-19T14:15:00+05:30,132.88,133.57,132.38,132.53,1844590
2025-06-19T15:15:00+05:30,132.53,132.55,131.82,132.0,1177067
2025-06-20T09:15:00+05:30,132.36,135.2,132.3,135.02,5500679
2025-06-20T10:15:00+05:30,135.05,135.75,134.85,135.7,2529420
2025-06-20T11:15:00+05:30,135.68,136.1,134.6,134.6,2008136
2025-06-20T12:15:00+05:30,134.61,134.87,133.9,133.9,1542268
2025-06-20T13:15:00+05:30,133.9,134.43,133.5,133.66,2004474
2025-06-20T14:15:00+05:30,133.66,134.46,133.53,134.11,3327161
2025-06-20T15:15:00+05:30,134.12,134.7,134.06,134.5,2173583
2025-06-23T09:15:00+05:30,132.25,135.14,132.05,134.91,5275688
2025-06-23T10:15:00+05:30,134.91,136.23,134.37,136.23,2611865
2025-06-23T11:15:00+05:30,136.23,136.72,135.8,136.45,2239198
2025-06-23T12:15:00+05:30,136.44,137.2,136.19,137.0,2080606
2025-06-23T13:15:00+05:30,137.03,137.26,136.42,136.88,2085233
2025-06-23T14:15:00+05:30,136.88,137.37,136.6,136.96,2781050
2025-06-23T15:15:00+05:30,136.9,137.28,136.55,136.77,1313655
2025-06-24T09:15:00+05:30,138.1,139.29,138.1,138.72,4305017
2025-06-24T10:15:00+05:30,138.72,140.15,138.61,139.45,2730992
2025-06-24T11:15:00+05:30,139.41,139.88,139.21,139.51,1418725
2025-06-24T12:15:00+05:30,139.5,139.6,138.85,139.4,1198658
2025-06-24T13:15:00+05:30,139.4,139.49,138.03,138.49,1665535
2025-06-24T14:15:00+05:30,138.49,138.85,138.4,138.61,1327766
2025-06-24T15:15:00+05:30,138.61,138.89,138.38,138.76,826540
2025-06-25T09:15:00+05:30,138.76,141.33,138.7,140.59,5027818
2025-06-25T10:15:00+05:30,140.59,140.71,139.79,140.06,1773314
2025-06-25T11:15:00+05:30,140.06,140.44,139.8,139.89,840981
2025-06-25T12:15:00+05:30,139.89,140.34,139.63,140.11,959737
2025-06-25T13:15:00+05:30,140.11,140.17,139.7,139.87,666101
2025-06-25T14:15:00+05:30,139.9,139.95,139.62,139.71,1034916
2025-06-25T15:15:00+05:30,139.75,139.78,139.25,139.37,906597
2025-06-26T09:15:00+05:30,139.6,140.32,139.1,139.29,2735243
2025-06-26T10:15:00+05:30,139.28,139.5,138.6,138.65,1235909
2025-06-26T11:15:00+05:30,138.68,138.8,138.2,138.75,999680
2025-06-26T12:15:00+05:30,138.7,139.3,138.51,139.07,759371
2025-06-26T13:15:00+05:30,139.05,139.25,138.7,139.05,790304
2025-06-26T14:15:00+05:30,139.11,139.94,139.04,139.84,2142414
2025-06-26T15:15:00+05:30,139.83,140.05,139.51,139.94,2979328
2025-06-27T09:15:00+05:30,140.49,141.8,140.15,141.28,4000237
2025-06-27T10:15:00+05:30,141.28,142.3,141.2,141.3,2417094
2025-06-27T11:15:00+05:30,141.24,141.3,140.71,140.79,1137823
2025-06-27T12:15:00+05:30,140.8,141.15,140.05,140.21,1146439
2025-06-27T13:15:00+05:30,140.21,140.57,139.85,140.25,1135989
2025-06-27T14:15:00+05:30,140.21,140.52,140.0,140.05,1301988
2025-06-27T15:15:00+05:30,140.01,140.14,139.65,140.06,1095367
2025-06-30T09:15:00+05:30,140.15,142.79,140.1,141.76,4859566
2025-06-30T10:15:00+05:30,141.72,142.5,141.52,141.77,1930397
2025-06-30T11:15:00+05:30,141.76,142.11,141.6,141.8,1005075
2025-06-30T12:15:00+05:30,141.84,142.3,141.7,141.81,1185280
2025-06-30T13:15:00+05:30,141.81,142.0,141.24,141.55,933886
2025-06-30T14:15:00+05:30,141.55,141.95,141.16,141.71,1097599
2025-06-30T15:15:00+05:30,141.73,141.9,141.52,141.8,812011
2025-07-01T09:15:00+05:30,142.06,143.15,141.0,141.01,3604875
2025-07-01T10:15:00+05:30,141.01,141.45,140.72,141.15,1119115
2025-07-01T11:15:00+05:30,141.11,141.3,140.78,141.03,526248
2025-07-01T12:15:00+05:30,141.01,141.9,140.96,141.5,938192
2025-07-01T13:15:00+05:30,141.51,141.6,141.05,141.42,449271
2025-07-01T14:15:00+05:30,141.42,141.69,141.2,141.51,871225
2025-07-01T15:15:00+05:30,141.55,141.7,141.4,141.5,719353
2025-07-02T09:15:00+05:30,141.5,142.6,140.5,140.63,2807266
2025-07-02T10:15:00+05:30,140.61,140.95,140.1,140.48,1003459
2025-07-02T11:15:00+05:30,140.49,141.03,140.22,140.75,738286
