timestamp,O,H,L,C,V
2025-06-16T09:15:00+05:30,15.08,15.47,14.64,14.65,0
2025-06-16T10:15:00+05:30,14.66,14.84,14.55,14.81,0
2025-06-16T11:15:00+05:30,14.82,14.82,14.68,14.8,0
2025-06-16T12:15:00+05:30,14.79,14.79,14.68,14.73,0
2025-06-16T13:15:00+05:30,14.74,14.87,14.71,14.84,0
2025-06-16T14:15:00+05:30,14.86,14.87,14.76,14.85,0
2025-06-16T15:15:00+05:30,14.86,14.91,14.81,14.86,0
2025-06-17T09:15:00+05:30,14.84,15.02,14.57,14.61,0
2025-06-17T10:15:00+05:30,14.62,14.63,14.38,14.45,0
2025-06-17T11:15:00+05:30,14.44,14.49,14.38,14.47,0
2025-06-17T12:15:00+05:30,14.46,14.62,14.39,14.48,0
2025-06-17T13:15:00+05:30,14.47,14.52,14.3,14.31,0
2025-06-17T14:15:00+05:30,14.32,14.41,14.3,14.41,0
2025-06-17T15:15:00+05:30,14.4,14.49,14.39,14.48,0
2025-06-18T09:15:00+05:30,14.4,14.82,14.11,14.3,0
2025-06-18T10:15:00+05:30,14.31,14.36,14.22,14.23,0
2025-06-18T11:15:00+05:30,14.24,14.45,14.21,14.23,0
2025-06-18T12:15:00+05:30,14.24,14.38,14.2,14.26,0
2025-06-18T13:15:00+05:30,14.25,14.37,14.14,14.3,0
2025-06-18T14:15:00+05:30,14.29,14.38,14.19,14.29,0
2025-06-18T15:15:00+05:30,14.3,14.32,14.24,14.26,0
2025-06-19T09:15:00+05:30,14.28,14.28,13.74,13.76,0
2025-06-19T10:15:00+05:30,13.75,13.92,13.74,13.89,0
2025-06-19T11:15:00+05:30,13.9,14.04,13.89,14.0,0
2025-06-19T12:15:00+05:30,13.99,14.17,13.98,14.13,0
2025-06-19T13:15:00+05:30,14.12,14.23,14.05,14.14,0
2025-06-19T14:15:00+05:30,14.15,14.33,14.12,14.32,0
2025-06-19T15:15:00+05:30,14.33,14.37,14.1,14.19,0
2025-06-20T09:15:00+05:30,14.26,14.26,13.41,13.45,0
2025-06-20T10:15:00+05:30,13.46,13.85,13.45,13.65,0
2025-06-20T11:15:00+05:30,13.64,13.73,13.39,13.51,0
2025-06-20T12:15:00+05:30,13.5,13.54,13.32,13.51,0
2025-06-20T13:15:00+05:30,13.5,13.73,13.47,13.68,0
2025-06-20T14:15:00+05:30,13.67,13.79,13.61,13.71,0
2025-06-20T15:15:00+05:30,13.72,13.73,13.57,13.6,0
2025-06-23T09:15:00+05:30,13.67,14.52,13.66,14.29,0
2025-06-23T10:15:00+05:30,14.3,14.32,14.05,14.19,0
2025-06-23T11:15:00+05:30,14.2,14.21,14.04,14.07,0
2025-06-23T12:15:00+05:30,14.06,14.1,14.02,14.05,0
2025-06-23T13:15:00+05:30,14.06,14.17,14.03,14.1,0
2025-06-23T14:15:00+05:30,14.11,14.14,14.02,14.08,0
2025-06-23T15:15:00+05:30,14.09,14.1,13.96,13.97,0
2025-06-24T09:15:00+05:30,14.05,14.05,13.31,13.87,0
2025-06-24T10:15:00+05:30,13.88,14.05,13.69,13.87,0
2025-06-24T11:15:00+05:30,13.88,13.99,13.68,13.72,0
2025-06-24T12:15:00+05:30,13.73,14.01,13.59,13.75,0
2025-06-24T13:15:00+05:30,13.77,14.34,13.71,14.02,0
2025-06-24T14:15:00+05:30,14.01,14.05,13.63,13.7,0
2025-06-24T15:15:00+05:30,13.67,13.68,13.41,13.53,0
2025-06-25T09:15:00+05:30,13.64,13.64,13.15,13.28,0
2025-06-25T10:15:00+05:30,13.3,13.36,13.14,13.2,0
2025-06-25T11:15:00+05:30,13.19,13.28,13.1,13.16,0
2025-06-25T12:15:00+05:30,13.15,13.24,12.97,13.12,0
2025-06-25T13:15:00+05:30,13.13,13.26,13.0,13.1,0
2025-06-25T14:15:00+05:30,13.11,13.17,12.92,12.99,0
2025-06-25T15:15:00+05:30,13.0,13.02,12.9,12.97,0
2025-06-26T09:15:00+05:30,12.96,13.33,12.7,13.17,0
2025-06-26T10:15:00+05:30,13.18,13.27,13.04,13.07,0
2025-06-26T11:15:00+05:30,13.05,13.22,12.96,13.07,0
2025-06-26T12:15:00+05:30,13.06,13.24,12.95,13.11,0
2025-06-26T13:15:00+05:30,13.1,13.3,12.91,13.03,0
2025-06-26T14:15:00+05:30,13.04,13.1,12.52,12.53,0
2025-06-26T15:15:00+05:30,12.54,12.69,12.54,12.58,0
2025-06-27T09:15:00+05:30,12.59,12.92,12.54,12.71,0
2025-06-27T10:15:00+05:30,12.72,12.73,12.5,12.59,0
2025-06-27T11:15:00+05:30,12.58,12.59,12.43,12.46,0
2025-06-27T12:15:00+05:30,12.45,12.57,12.4,12.41,0
2025-06-27T13:15:00+05:30,12.42,12.48,12.36,12.39,0
2025-06-27T14:15:00+05:30,12.4,12.47,12.32,12.4,0
2025-06-27T15:15:00+05:30,12.39,12.45,12.35,12.36,0
2025-06-30T09:15:00+05:30,12.39,12.96,12.39,12.74,0
2025-06-30T10:15:00+05:30,12.75,12.86,12.68,12.79,0
2025-06-30T11:15:00+05:30,12.8,12.82,12.63,12.64,0
2025-06-30T12:15:00+05:30,12.65,12.92,12.63,12.87,0
2025-06-30T13:15:00+05:30,12.89,13.03,12.81,12.87,0
2025-06-30T14:15:00+05:30,12.88,12.93,12.72,12.73,0
2025-06-30T15:15:00+05:30,12.75,12.83,12.68,12.74,0
2025-07-01T09:15:00+05:30,12.79,12.99,12.58,12.63,0
2025-07-01T10:15:00+05:30,12.62,12.67,12.5,12.55,0
2025-07-01T11:15:00+05:30,12.54,12.57,12.46,12.52,0
2025-07-01T12:15:00+05:30,12.53,12.59,12.48,12.53,0
2025-07-01T13:15:00+05:30,12.52,12.59,12.44,12.55,0
2025-07-01T14:15:00+05:30,12.54,12.58,12.44,12.52,0
2025-07-01T15:15:00+05:30,12.53,12.57,12.46,12.48,0
